block,street,floor,area,year,lease,price,date
24, Marsiling Dr,01 to 03,"67.00
New Generation",1977,"53 years
2 months ","$300,500.00",05/01/23
15, Marsiling Lane,10 to 12,"65.00
Improved",1976,"51 years
9 months ","$315,000.00",05/01/23
180A, Marsiling Rd,22 to 24,"67.00
Model A",2015,"91 years
3 months ","$430,000.00",05/01/23
693B, Woodlands Ave 6,07 to 09,"68.00
Model A",2018,"94 years
5 months ","$445,000.00",05/01/23
694C, Woodlands Dr 62,07 to 09,"68.00
Model A",2018,"94 years
5 months ","$450,000.00",05/01/23
145, Woodlands St 13,07 to 09,"68.00
New Generation",1985,"60 years
11 months ","$362,000.00",05/01/23
2, Marsiling Dr,01 to 03,"65.00
Improved",1974,"50 years
4 months ","$310,000.00",04/01/23
24, Marsiling Dr,10 to 12,"67.00
New Generation",1977,"53 years
3 months ","$320,000.00",04/01/23
204, Marsiling Dr,04 to 06,"68.00
New Generation",1981,"57 years
1 month ","$335,000.00",04/01/23
206, Marsiling Dr,01 to 03,"68.00
New Generation",1981,57 years,"$335,000.00",04/01/23
13, Marsiling Lane,07 to 09,"65.00
Improved",1976,52 years,"$310,000.00",04/01/23
180A, Marsiling Rd,07 to 09,"67.00
Model A",2015,"91 years
3 months ","$399,128.00",04/01/23
180A, Marsiling Rd,16 to 18,"66.00
Model A",2015,"91 years
3 months ","$422,000.00",04/01/23
180A, Marsiling Rd,31 to 33,"66.00
Model A",2015,"91 years
4 months ","$425,000.00",04/01/23
180A, Marsiling Rd,28 to 30,"67.00
Model A",2015,"91 years
3 months ","$428,000.00",04/01/23
887B, Woodlands Dr 50,13 to 15,"67.00
Premium Apartment",2015,"90 years
10 months ","$488,000.00",04/01/23
694A, Woodlands Dr 62,10 to 12,"68.00
Model A",2018,"94 years
6 months ","$458,000.00",04/01/23
694C, Woodlands Dr 62,01 to 03,"68.00
Model A",2018,"94 years
5 months ","$415,000.00",04/01/23
694D, Woodlands Dr 62,01 to 03,"68.00
Model A",2018,"94 years
6 months ","$420,000.00",04/01/23
101, Woodlands St 13,04 to 06,"67.00
New Generation",1985,"61 years
1 month ","$362,000.00",04/01/23
149, Woodlands St 13,04 to 06,"68.00
New Generation",1985,"60 years
11 months ","$352,000.00",04/01/23
157, Woodlands St 13,10 to 12,"73.00
Model A",1985,61 years,"$385,000.00",04/01/23
158, Woodlands St 13,01 to 03,"73.00
Model A",1990,"66 years
2 months ","$372,000.00",04/01/23
159, Woodlands St 13,04 to 06,"73.00
Model A",1990,"66 years
1 month ","$372,000.00",04/01/23
310, Woodlands St 31,10 to 12,"73.00
Model A",1993,"69 years
5 months ","$388,888.00",04/01/23
311, Woodlands St 31,07 to 09,"73.00
Model A",1993,"69 years
6 months ","$375,000.00",04/01/23
318, Woodlands St 31,01 to 03,"83.00
Model A",1993,"69 years
8 months ","$400,000.00",04/01/23
411, Woodlands St 41,01 to 03,"68.00
New Generation",1995,"71 years
5 months ","$358,000.00",04/01/23
820, Woodlands St 82,01 to 03,"69.00
New Generation",1995,71 years,"$363,000.00",04/01/23
2, Marsiling Dr,04 to 06,"65.00
Improved",1974,"50 years
4 months ","$315,000.00",03/01/23
6, Marsiling Dr,04 to 06,"65.00
Improved",1976,"51 years
10 months ","$300,000.00",03/01/23
23, Marsiling Dr,01 to 03,"67.00
New Generation",1977,"53 years
8 months ","$308,000.00",03/01/23
12, Marsiling Lane,10 to 12,"65.00
Improved",1976,52 years,"$308,000.00",03/01/23
180A, Marsiling Rd,07 to 09,"66.00
Model A",2015,"91 years
4 months ","$390,000.00",03/01/23
180A, Marsiling Rd,13 to 15,"67.00
Model A",2015,"91 years
5 months ","$410,000.00",03/01/23
693C, Woodlands Ave 6,04 to 06,"68.00
Model A",2018,"94 years
6 months ","$430,000.00",03/01/23
693C, Woodlands Ave 6,10 to 12,"68.00
Model A",2018,"94 years
7 months ","$452,000.00",03/01/23
782D, Woodlands Cres,13 to 15,"67.00
Model A",2015,"91 years
3 months ","$425,000.00",03/01/23
