town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
ANG MO KIO,3 ROOM,321,ANG MO KIO AVE 1,73.0,New Generation,1977,54 years,368000.0,2.0,65.0
ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,68.0,New Generation,1981,57 years 07 months,350000.0,5.0,65.0
ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,67.0,New Generation,1977,54 years 01 month,348000.0,11.0,65.0
ANG MO KIO,3 ROOM,456,ANG MO KIO AVE 10,89.0,New Generation,1980,56 years 08 months,425000.0,8.0,65.0
ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,68.0,New Generation,1980,56 years 09 months,355000.0,8.0,65.0
ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,82.0,New Generation,1980,56 years 08 months,448888.0,14.0,65.0
ANG MO KIO,3 ROOM,549,ANG MO KIO AVE 10,68.0,New Generation,1981,57 years 08 months,388000.0,14.0,65.0
ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,75.0,New Generation,1980,56 years 08 months,330000.0,2.0,65.0
ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,68.0,New Generation,1980,56 years 07 months,365000.0,2.0,65.0
ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,68.0,New Generation,1981,57 years 07 months,375000.0,11.0,65.0
ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,68.0,New Generation,1980,56 years 07 months,378000.0,11.0,65.0
ANG MO KIO,3 ROOM,584,ANG MO KIO AVE 3,67.0,New Generation,1979,56 years 01 month,392000.0,8.0,65.0
ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,73.0,New Generation,1978,54 years 10 months,375000.0,8.0,65.0
ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,67.0,New Generation,1979,56 years,355000.0,5.0,65.0
ANG MO KIO,3 ROOM,301,ANG MO KIO AVE 3,73.0,New Generation,1978,54 years 10 months,370000.0,11.0,65.0
ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,82.0,New Generation,1978,55 years 05 months,404000.0,2.0,65.0
ANG MO KIO,3 ROOM,301,ANG MO KIO AVE 3,73.0,New Generation,1978,54 years 10 months,370000.0,2.0,65.0
ANG MO KIO,3 ROOM,328,ANG MO KIO AVE 3,73.0,New Generation,1978,55 years 05 months,342000.0,2.0,65.0
ANG MO KIO,3 ROOM,117,ANG MO KIO AVE 4,74.0,New Generation,1978,55 years,355000.0,5.0,65.0
ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,67.0,New Generation,1978,55 years 04 months,340000.0,8.0,65.0
ANG MO KIO,3 ROOM,172,ANG MO KIO AVE 4,60.0,Improved,1986,62 years 08 months,346800.0,8.0,65.0
ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,60.0,Improved,1986,62 years 07 months,342000.0,5.0,65.0
ANG MO KIO,3 ROOM,503,ANG MO KIO AVE 5,68.0,New Generation,1981,57 years 08 months,340000.0,11.0,65.0
ANG MO KIO,3 ROOM,611,ANG MO KIO AVE 5,82.0,New Generation,1980,57 years 01 month,395000.0,8.0,65.0
ANG MO KIO,3 ROOM,154,ANG MO KIO AVE 5,68.0,New Generation,1981,57 years 08 months,361500.0,11.0,65.0
ANG MO KIO,3 ROOM,605,ANG MO KIO AVE 5,67.0,New Generation,1980,57 years 01 month,340000.0,2.0,65.0
ANG MO KIO,3 ROOM,604,ANG MO KIO AVE 5,67.0,New Generation,1980,57 years,320000.0,2.0,65.0
ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,67.0,New Generation,1980,56 years 09 months,330888.0,5.0,65.0
ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,68.0,New Generation,1980,57 years 04 months,415000.0,8.0,65.0
ANG MO KIO,3 ROOM,709,ANG MO KIO AVE 8,82.0,New Generation,1980,57 years 02 months,430000.0,2.0,65.0
ANG MO KIO,3 ROOM,455C,ANG MO KIO ST 44,68.0,Model A,2018,94 years 10 months,565000.0,8.0,65.0
ANG MO KIO,3 ROOM,455C,ANG MO KIO ST 44,68.0,Model A,2018,94 years 10 months,590000.0,23.0,65.0
ANG MO KIO,3 ROOM,455C,ANG MO KIO ST 44,68.0,Model A,2018,94 years 09 months,630000.0,17.0,65.0
ANG MO KIO,4 ROOM,337,ANG MO KIO AVE 1,91.0,New Generation,1982,58 years 09 months,450000.0,11.0,65.0
ANG MO KIO,4 ROOM,205,ANG MO KIO AVE 1,98.0,New Generation,1977,53 years 08 months,468000.0,2.0,65.0
ANG MO KIO,4 ROOM,310C,ANG MO KIO AVE 1,94.0,Model A,2012,89 years 04 months,665000.0,5.0,65.0
ANG MO KIO,4 ROOM,303,ANG MO KIO AVE 1,97.0,New Generation,1977,53 years 10 months,488000.0,8.0,65.0
ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,98.0,New Generation,1976,53 years 02 months,436000.0,5.0,65.0
ANG MO KIO,4 ROOM,304,ANG MO KIO AVE 1,97.0,New Generation,1977,53 years 10 months,485000.0,2.0,65.0
ANG MO KIO,4 ROOM,308A,ANG MO KIO AVE 1,94.0,Model A,2012,89 years 03 months,810000.0,20.0,65.0
ANG MO KIO,4 ROOM,219,ANG MO KIO AVE 1,92.0,New Generation,1977,54 years 01 month,450000.0,8.0,65.0
ANG MO KIO,4 ROOM,547,ANG MO KIO AVE 10,92.0,New Generation,1981,57 years 08 months,405000.0,2.0,65.0
ANG MO KIO,4 ROOM,544,ANG MO KIO AVE 10,92.0,New Generation,1981,57 years 08 months,453000.0,11.0,65.0
ANG MO KIO,4 ROOM,546,ANG MO KIO AVE 10,92.0,New Generation,1981,57 years 08 months,450000.0,11.0,65.0
ANG MO KIO,4 ROOM,432,ANG MO KIO AVE 10,92.0,New Generation,1979,55 years 08 months,480000.0,11.0,65.0
ANG MO KIO,4 ROOM,415,ANG MO KIO AVE 10,92.0,New Generation,1979,56 years 03 months,440000.0,11.0,65.0
ANG MO KIO,4 ROOM,436,ANG MO KIO AVE 10,92.0,New Generation,1979,55 years 08 months,478000.0,11.0,65.0
ANG MO KIO,4 ROOM,211,ANG MO KIO AVE 3,81.0,New Generation,1977,53 years 11 months,450000.0,8.0,65.0
ANG MO KIO,4 ROOM,103,ANG MO KIO AVE 3,90.0,New Generation,1978,54 years 08 months,436888.0,5.0,65.0
ANG MO KIO,4 ROOM,204,ANG MO KIO AVE 3,92.0,New Generation,1977,53 years 08 months,450888.0,5.0,65.0
ANG MO KIO,4 ROOM,612,ANG MO KIO AVE 4,92.0,New Generation,1980,57 years 02 months,470000.0,11.0,65.0
ANG MO KIO,4 ROOM,522,ANG MO KIO AVE 5,91.0,New Generation,1980,57 years 03 months,462000.0,5.0,65.0
ANG MO KIO,4 ROOM,523,ANG MO KIO AVE 5,93.0,New Generation,1980,57 years 03 months,490000.0,14.0,65.0
ANG MO KIO,4 ROOM,606,ANG MO KIO AVE 5,91.0,New Generation,1980,57 years 01 month,455000.0,8.0,65.0
ANG MO KIO,4 ROOM,635,ANG MO KIO AVE 6,92.0,New Generation,1980,57 years 04 months,538000.0,5.0,65.0
ANG MO KIO,4 ROOM,646,ANG MO KIO AVE 6,99.0,New Generation,1980,57 years 06 months,505000.0,8.0,65.0
ANG MO KIO,4 ROOM,511,ANG MO KIO AVE 8,91.0,New Generation,1980,57 years 02 months,472000.0,5.0,65.0
ANG MO KIO,4 ROOM,260B,ANG MO KIO ST 21,93.0,Model A,2018,95 years 01 month,835000.0,11.0,65.0
ANG MO KIO,4 ROOM,260B,ANG MO KIO ST 21,93.0,Model A,2018,95 years 01 month,825050.0,11.0,65.0
ANG MO KIO,4 ROOM,260B,ANG MO KIO ST 21,92.0,Model A,2018,95 years 01 month,873800.0,20.0,65.0
ANG MO KIO,4 ROOM,317,ANG MO KIO ST 31,113.0,Model A,1994,71 years 07 months,650000.0,2.0,65.0
ANG MO KIO,4 ROOM,351,ANG MO KIO ST 32,95.0,Model A,2001,78 years 04 months,715000.0,20.0,65.0
ANG MO KIO,4 ROOM,354,ANG MO KIO ST 32,90.0,Model A,2001,78 years 04 months,600000.0,17.0,65.0
ANG MO KIO,4 ROOM,455B,ANG MO KIO ST 44,93.0,Model A,2018,94 years 10 months,878000.0,32.0,65.0
ANG MO KIO,4 ROOM,455B,ANG MO KIO ST 44,93.0,Model A,2018,94 years 10 months,900000.0,29.0,65.0
ANG MO KIO,4 ROOM,455B,ANG MO KIO ST 44,93.0,Model A,2018,94 years 10 months,888000.0,29.0,65.0
ANG MO KIO,4 ROOM,455C,ANG MO KIO ST 44,93.0,Model A,2018,94 years 10 months,875000.0,29.0,65.0
ANG MO KIO,4 ROOM,455C,ANG MO KIO ST 44,93.0,Model A,2018,94 years 10 months,841080.0,32.0,65.0
ANG MO KIO,4 ROOM,455C,ANG MO KIO ST 44,93.0,Model A,2018,94 years 10 months,896888.0,29.0,65.0
ANG MO KIO,4 ROOM,455C,ANG MO KIO ST 44,93.0,Model A,2018,94 years 10 months,800000.0,11.0,65.0
ANG MO KIO,4 ROOM,455B,ANG MO KIO ST 44,93.0,Model A,2018,94 years 09 months,915000.0,32.0,65.0
ANG MO KIO,4 ROOM,596D,ANG MO KIO ST 52,91.0,Model A,2003,79 years 08 months,702000.0,5.0,65.0
ANG MO KIO,4 ROOM,588C,ANG MO KIO ST 52,90.0,DBSS,2011,88 years 03 months,838000.0,29.0,65.0
ANG MO KIO,4 ROOM,596D,ANG MO KIO ST 52,91.0,Model A,2003,79 years 08 months,668000.0,8.0,65.0
ANG MO KIO,5 ROOM,539,ANG MO KIO AVE 10,118.0,Improved,1980,56 years 09 months,670000.0,20.0,65.0
ANG MO KIO,5 ROOM,553,ANG MO KIO AVE 10,119.0,Improved,1980,57 years 02 months,580000.0,5.0,65.0
ANG MO KIO,5 ROOM,259,ANG MO KIO AVE 2,135.0,Model A,1982,58 years 11 months,785000.0,11.0,65.0
ANG MO KIO,5 ROOM,132,ANG MO KIO AVE 3,123.0,Standard,1979,55 years 08 months,670000.0,8.0,65.0
ANG MO KIO,5 ROOM,171,ANG MO KIO AVE 4,127.0,Improved,1982,58 years 08 months,710000.0,8.0,65.0
ANG MO KIO,5 ROOM,648,ANG MO KIO AVE 5,125.0,Improved,1980,57 years 07 months,590000.0,8.0,65.0
