town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
BEDOK,2 ROOM,535,BEDOK NTH ST 3,45.0,Improved,1986,62 years 08 months,255000.0,2.0,65.0
BEDOK,3 ROOM,424,BEDOK NTH AVE 1,67.0,New Generation,1979,55 years 08 months,398000.0,11.0,65.0
BEDOK,3 ROOM,423,BEDOK NTH AVE 1,81.0,New Generation,1979,55 years 08 months,420000.0,11.0,65.0
BEDOK,3 ROOM,418,BEDOK NTH AVE 2,67.0,New Generation,1978,55 years 06 months,370000.0,8.0,65.0
BEDOK,3 ROOM,515,BEDOK NTH AVE 2,82.0,New Generation,1979,56 years 02 months,392000.0,2.0,65.0
BEDOK,3 ROOM,105,BEDOK NTH AVE 4,67.0,New Generation,1977,54 years 01 month,345000.0,11.0,65.0
BEDOK,3 ROOM,77,BEDOK NTH RD,60.0,Improved,1986,62 years 11 months,335000.0,8.0,65.0
BEDOK,3 ROOM,74,BEDOK NTH RD,59.0,Improved,1978,54 years 08 months,308000.0,8.0,65.0
BEDOK,3 ROOM,107,BEDOK NTH RD,67.0,New Generation,1977,54 years 02 months,368000.0,8.0,65.0
BEDOK,3 ROOM,107,BEDOK NTH RD,82.0,New Generation,1977,54 years 02 months,390000.0,11.0,65.0
BEDOK,3 ROOM,110,BEDOK NTH RD,67.0,New Generation,1977,54 years 02 months,320000.0,2.0,65.0
BEDOK,3 ROOM,74,BEDOK NTH RD,59.0,Improved,1978,54 years 08 months,300500.0,5.0,65.0
BEDOK,3 ROOM,76,BEDOK NTH RD,59.0,Improved,1978,54 years 07 months,305000.0,8.0,65.0
BEDOK,3 ROOM,501,BEDOK NTH ST 3,59.0,Improved,1978,54 years 11 months,293000.0,2.0,65.0
BEDOK,3 ROOM,529,BEDOK NTH ST 3,68.0,New Generation,1979,56 years 03 months,305000.0,8.0,65.0
BEDOK,3 ROOM,526,BEDOK NTH ST 3,67.0,New Generation,1979,56 years 02 months,345000.0,8.0,65.0
