town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
BISHAN,3 ROOM,115,BISHAN ST 12,64.0,Simplified,1986,62 years 08 months,470000.0,8.0,65.0
BISHAN,3 ROOM,121,BISHAN ST 12,64.0,Simplified,1986,63 years 01 month,435000.0,5.0,65.0
BISHAN,3 ROOM,171,BISHAN ST 13,64.0,Simplified,1988,64 years 08 months,420000.0,8.0,65.0
BISHAN,3 ROOM,313,SHUNFU RD,67.0,New Generation,1985,62 years 01 month,476888.0,5.0,65.0
BISHAN,3 ROOM,307,SHUNFU RD,67.0,New Generation,1985,61 years 11 months,495000.0,11.0,65.0
BISHAN,3 ROOM,308,SHUNFU RD,67.0,New Generation,1984,61 years 07 months,466000.0,5.0,65.0
BISHAN,3 ROOM,406,SIN MING AVE,64.0,Simplified,1987,63 years 10 months,488000.0,5.0,65.0
BISHAN,3 ROOM,22,SIN MING RD,67.0,Improved,1973,50 years 05 months,303000.0,5.0,65.0
BISHAN,3 ROOM,22,SIN MING RD,68.0,Improved,1973,50 years 05 months,318000.0,11.0,65.0
BISHAN,4 ROOM,131,BISHAN ST 12,105.0,Model A,1986,62 years 08 months,725000.0,11.0,65.0
BISHAN,4 ROOM,121,BISHAN ST 12,84.0,Simplified,1986,63 years 01 month,540000.0,5.0,65.0
BISHAN,4 ROOM,120,BISHAN ST 12,88.0,Simplified,1986,62 years 11 months,538000.0,2.0,65.0
BISHAN,4 ROOM,116,BISHAN ST 12,89.0,Simplified,1985,62 years 06 months,625000.0,8.0,65.0
BISHAN,4 ROOM,107,BISHAN ST 12,84.0,Simplified,1985,62 years 05 months,568000.0,11.0,65.0
BISHAN,4 ROOM,176,BISHAN ST 13,88.0,Simplified,1988,64 years 11 months,560000.0,2.0,65.0
BISHAN,4 ROOM,181,BISHAN ST 13,84.0,Simplified,1987,63 years 09 months,518000.0,2.0,65.0
BISHAN,4 ROOM,243,BISHAN ST 22,105.0,Model A,1992,69 years 03 months,550000.0,2.0,65.0
BISHAN,4 ROOM,243,BISHAN ST 22,105.0,Model A,1992,69 years 03 months,632000.0,5.0,65.0
BISHAN,4 ROOM,203,BISHAN ST 23,103.0,Model A,1992,68 years 11 months,680000.0,5.0,65.0
BISHAN,4 ROOM,226,BISHAN ST 23,117.0,Model A,1992,68 years 11 months,645000.0,2.0,65.0
BISHAN,4 ROOM,266,BISHAN ST 24,112.0,Model A,1992,69 years 03 months,705000.0,8.0,65.0
BISHAN,4 ROOM,273A,BISHAN ST 24,95.0,DBSS,2011,88 years 03 months,925000.0,23.0,65.0
BISHAN,4 ROOM,286,BISHAN ST 24,108.0,Model A,1992,69 years 02 months,735000.0,8.0,65.0
BISHAN,4 ROOM,272,BISHAN ST 24,105.0,Model A,1992,69 years 02 months,610000.0,2.0,65.0
BISHAN,4 ROOM,307,SHUNFU RD,92.0,New Generation,1985,61 years 11 months,630000.0,11.0,65.0
BISHAN,4 ROOM,455,SIN MING AVE,105.0,Model A,1990,66 years 09 months,580000.0,2.0,65.0
BISHAN,4 ROOM,407,SIN MING AVE,89.0,Simplified,1986,63 years 03 months,550000.0,2.0,65.0
BISHAN,5 ROOM,140,BISHAN ST 12,122.0,Improved,1988,65 years 03 months,810000.0,8.0,65.0
BISHAN,5 ROOM,101,BISHAN ST 12,121.0,Improved,1987,63 years 08 months,833000.0,11.0,65.0
BISHAN,5 ROOM,138,BISHAN ST 12,119.0,Improved,1987,64 years 01 month,680000.0,8.0,65.0
BISHAN,5 ROOM,155,BISHAN ST 13,121.0,Improved,1987,64 years 06 months,815000.0,11.0,65.0
BISHAN,5 ROOM,164,BISHAN ST 13,121.0,Improved,1988,65 years 02 months,850000.0,17.0,65.0
BISHAN,5 ROOM,178,BISHAN ST 13,123.0,Improved,1987,64 years 05 months,888000.0,5.0,65.0
BISHAN,5 ROOM,263,BISHAN ST 22,133.0,Model A,1992,69 years 02 months,863000.0,14.0,65.0
BISHAN,5 ROOM,262,BISHAN ST 22,133.0,Model A,1992,69 years 02 months,868000.0,8.0,65.0
BISHAN,5 ROOM,273A,BISHAN ST 24,120.0,DBSS,2011,88 years 03 months,1295000.0,17.0,65.0
BISHAN,5 ROOM,275A,BISHAN ST 24,120.0,DBSS,2011,88 years 04 months,1310000.0,29.0,65.0
BISHAN,5 ROOM,275A,BISHAN ST 24,120.0,DBSS,2011,88 years 03 months,1218000.0,11.0,65.0
BISHAN,5 ROOM,289,BISHAN ST 24,121.0,Premium Apartment,1998,75 years 01 month,880000.0,8.0,65.0
BISHAN,5 ROOM,273B,BISHAN ST 24,120.0,DBSS,2011,88 years 03 months,1270000.0,26.0,65.0
BISHAN,EXECUTIVE,187,BISHAN ST 13,146.0,Maisonette,1987,63 years 08 months,1150000.0,8.0,65.0
BISHAN,EXECUTIVE,187,BISHAN ST 13,146.0,Maisonette,1987,63 years 08 months,949000.0,5.0,65.0
BISHAN,EXECUTIVE,219,BISHAN ST 23,146.0,Maisonette,1992,68 years 11 months,1100000.0,5.0,65.0
BISHAN,EXECUTIVE,231,BISHAN ST 23,148.0,Maisonette,1992,68 years 11 months,954000.0,2.0,65.0
BISHAN,EXECUTIVE,401,SIN MING AVE,149.0,Maisonette,1985,62 years 05 months,950000.0,2.0,65.0
BISHAN,3 ROOM,309,SHUNFU RD,67.0,New Generation,1984,61 years 05 months,460000.0,11.0,66.0
BISHAN,3 ROOM,307,SHUNFU RD,67.0,New Generation,1985,61 years 10 months,465000.0,11.0,66.0
BISHAN,3 ROOM,309,SHUNFU RD,67.0,New Generation,1984,61 years 05 months,405000.0,2.0,66.0
BISHAN,3 ROOM,308,SHUNFU RD,67.0,New Generation,1984,61 years 06 months,428000.0,2.0,66.0
BISHAN,3 ROOM,407,SIN MING AVE,64.0,Simplified,1986,63 years 02 months,428000.0,5.0,66.0
BISHAN,3 ROOM,22,SIN MING RD,68.0,Improved,1973,50 years 04 months,295000.0,2.0,66.0
BISHAN,4 ROOM,130,BISHAN ST 12,84.0,Simplified,1986,62 years 08 months,485000.0,2.0,66.0
BISHAN,4 ROOM,130,BISHAN ST 12,84.0,Simplified,1986,62 years 08 months,580000.0,8.0,66.0
BISHAN,4 ROOM,136,BISHAN ST 12,84.0,Simplified,1987,64 years 05 months,568000.0,8.0,66.0
BISHAN,4 ROOM,114,BISHAN ST 12,84.0,Simplified,1986,62 years 07 months,518000.0,2.0,66.0
BISHAN,4 ROOM,109,BISHAN ST 12,105.0,Model A,1985,62 years 06 months,685000.0,5.0,66.0
BISHAN,4 ROOM,181,BISHAN ST 13,86.0,Simplified,1987,63 years 08 months,538000.0,8.0,66.0
BISHAN,4 ROOM,176,BISHAN ST 13,84.0,Simplified,1988,64 years 10 months,535000.0,2.0,66.0
BISHAN,4 ROOM,178,BISHAN ST 13,83.0,Simplified,1987,64 years 04 months,550000.0,5.0,66.0
BISHAN,4 ROOM,232,BISHAN ST 22,105.0,Model A,1992,68 years 10 months,615000.0,5.0,66.0
BISHAN,4 ROOM,243,BISHAN ST 22,114.0,Model A,1992,69 years 02 months,710000.0,8.0,66.0
BISHAN,4 ROOM,236,BISHAN ST 22,119.0,Model A,1992,68 years 11 months,700000.0,5.0,66.0
BISHAN,4 ROOM,285,BISHAN ST 22,108.0,Model A,1992,69 years 01 month,750000.0,11.0,66.0
BISHAN,4 ROOM,214,BISHAN ST 23,105.0,Model A,1992,68 years 10 months,665888.0,8.0,66.0
BISHAN,4 ROOM,265,BISHAN ST 24,104.0,Model A,1992,69 years 02 months,608000.0,2.0,66.0
BISHAN,4 ROOM,288,BISHAN ST 24,100.0,Premium Apartment,1998,75 years,720000.0,14.0,66.0
BISHAN,4 ROOM,304,SHUNFU RD,95.0,New Generation,1985,61 years 09 months,658000.0,11.0,66.0
BISHAN,4 ROOM,309,SHUNFU RD,95.0,New Generation,1984,61 years 05 months,630000.0,8.0,66.0
BISHAN,4 ROOM,312,SHUNFU RD,97.0,New Generation,1985,61 years 11 months,698000.0,5.0,66.0
BISHAN,4 ROOM,454,SIN MING AVE,103.0,Model A,1989,66 years 05 months,691888.0,5.0,66.0
BISHAN,5 ROOM,135,BISHAN ST 12,121.0,Improved,1987,64 years,868000.0,20.0,66.0
BISHAN,5 ROOM,103,BISHAN ST 12,121.0,Improved,1986,63 years 05 months,815000.0,11.0,66.0
BISHAN,5 ROOM,128,BISHAN ST 12,121.0,Improved,1987,63 years 08 months,870000.0,20.0,66.0
BISHAN,5 ROOM,182,BISHAN ST 13,121.0,Improved,1987,64 years 01 month,870000.0,5.0,66.0
BISHAN,5 ROOM,156,BISHAN ST 13,121.0,Improved,1988,65 years 03 months,700000.0,2.0,66.0
BISHAN,5 ROOM,173,BISHAN ST 13,121.0,Improved,1987,63 years 10 months,860000.0,11.0,66.0
BISHAN,5 ROOM,156,BISHAN ST 13,121.0,Improved,1988,65 years 02 months,808000.0,11.0,66.0
BISHAN,5 ROOM,237,BISHAN ST 22,121.0,Improved,1992,68 years 11 months,1035000.0,8.0,66.0
BISHAN,5 ROOM,273B,BISHAN ST 24,120.0,DBSS,2011,88 years 02 months,1238000.0,8.0,66.0
BISHAN,5 ROOM,303,SHUNFU RD,126.0,Improved,1985,61 years 09 months,900000.0,8.0,66.0
BISHAN,5 ROOM,408,SIN MING AVE,120.0,Improved,1986,63 years,825000.0,8.0,66.0
BISHAN,EXECUTIVE,119,BISHAN ST 12,143.0,Maisonette,1987,63 years 11 months,1030000.0,5.0,66.0
BISHAN,EXECUTIVE,168,BISHAN ST 13,163.0,Maisonette,1986,63 years 05 months,1190000.0,20.0,66.0
BISHAN,EXECUTIVE,186,BISHAN ST 13,142.0,Apartment,1987,64 years 02 months,1128000.0,11.0,66.0
BISHAN,EXECUTIVE,238,BISHAN ST 22,151.0,Maisonette,1992,69 years 01 month,1080000.0,5.0,66.0
BISHAN,EXECUTIVE,257,BISHAN ST 22,146.0,Maisonette,1992,68 years 11 months,890000.0,2.0,66.0
BISHAN,EXECUTIVE,222,BISHAN ST 23,146.0,Maisonette,1992,69 years 02 months,966000.0,5.0,66.0
BISHAN,EXECUTIVE,219,BISHAN ST 23,149.0,Maisonette,1992,68 years 11 months,1088000.0,8.0,66.0
BISHAN,EXECUTIVE,222,BISHAN ST 23,146.0,Maisonette,1992,69 years 01 month,1238000.0,11.0,66.0
