town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
BUKIT BATOK,3 ROOM,283,BT BATOK EAST AVE 3,64.0,Simplified,1988,64 years 10 months,330000.0,2.0,65.0
BUKIT BATOK,3 ROOM,264,BT BATOK EAST AVE 4,73.0,Model A,1985,61 years 11 months,350000.0,5.0,65.0
BUKIT BATOK,3 ROOM,238,BT BATOK EAST AVE 5,67.0,New Generation,1986,63 years 06 months,350000.0,5.0,65.0
BUKIT BATOK,3 ROOM,249,BT BATOK EAST AVE 5,73.0,Model A,1985,61 years 10 months,360000.0,8.0,65.0
BUKIT BATOK,3 ROOM,239,BT BATOK EAST AVE 5,67.0,New Generation,1985,61 years 09 months,363000.0,14.0,65.0
BUKIT BATOK,3 ROOM,250,BT BATOK EAST AVE 5,73.0,Model A,1985,62 years,358000.0,2.0,65.0
BUKIT BATOK,3 ROOM,238,BT BATOK EAST AVE 5,67.0,New Generation,1986,63 years 06 months,335000.0,2.0,65.0
BUKIT BATOK,3 ROOM,152,BT BATOK ST 11,67.0,New Generation,1998,74 years 08 months,330000.0,2.0,65.0
BUKIT BATOK,3 ROOM,296B,BT BATOK ST 22,68.0,Premium Apartment,2018,94 years 10 months,478000.0,11.0,65.0
BUKIT BATOK,3 ROOM,296B,BT BATOK ST 22,68.0,Premium Apartment,2018,94 years 10 months,485000.0,8.0,65.0
BUKIT BATOK,3 ROOM,361,BT BATOK ST 31,68.0,New Generation,1987,63 years 09 months,361000.0,2.0,65.0
BUKIT BATOK,3 ROOM,360,BT BATOK ST 31,68.0,New Generation,1987,64 years 04 months,350000.0,11.0,65.0
BUKIT BATOK,3 ROOM,367,BT BATOK ST 31,68.0,New Generation,1987,64 years 02 months,335000.0,5.0,65.0
BUKIT BATOK,3 ROOM,307,BT BATOK ST 31,68.0,New Generation,1985,62 years 04 months,365000.0,8.0,65.0
BUKIT BATOK,3 ROOM,534,BT BATOK ST 51,69.0,Improved,1987,64 years 01 month,330000.0,2.0,65.0
BUKIT BATOK,3 ROOM,534,BT BATOK ST 51,60.0,Improved,1987,64 years 01 month,360000.0,11.0,65.0
BUKIT BATOK,3 ROOM,523,BT BATOK ST 52,69.0,Improved,1987,64 years,365000.0,8.0,65.0
BUKIT BATOK,3 ROOM,503,BT BATOK ST 52,64.0,Simplified,1987,64 years 02 months,330000.0,5.0,65.0
BUKIT BATOK,3 ROOM,422,BT BATOK WEST AVE 2,68.0,New Generation,1988,65 years 02 months,312000.0,5.0,65.0
BUKIT BATOK,3 ROOM,194B,BT BATOK WEST AVE 6,68.0,Premium Apartment,2017,94 years 02 months,466000.0,14.0,65.0
BUKIT BATOK,3 ROOM,129,BT BATOK WEST AVE 6,73.0,Model A,1984,61 years 05 months,380000.0,8.0,65.0
BUKIT BATOK,3 ROOM,182,BT BATOK WEST AVE 8,82.0,New Generation,1984,61 years 06 months,415000.0,8.0,65.0
BUKIT BATOK,4 ROOM,272,BT BATOK EAST AVE 4,89.0,Simplified,1986,63 years 03 months,435000.0,5.0,65.0
BUKIT BATOK,4 ROOM,249,BT BATOK EAST AVE 5,103.0,Model A,1985,61 years 10 months,460000.0,5.0,65.0
BUKIT BATOK,4 ROOM,247,BT BATOK EAST AVE 5,103.0,Model A,1985,61 years 10 months,495000.0,8.0,65.0
BUKIT BATOK,4 ROOM,205,BT BATOK ST 21,104.0,Model A,1985,61 years 10 months,510000.0,8.0,65.0
BUKIT BATOK,4 ROOM,211,BT BATOK ST 21,104.0,Model A,1985,61 years 11 months,510000.0,14.0,65.0
BUKIT BATOK,4 ROOM,202,BT BATOK ST 21,104.0,Model A,1985,62 years 02 months,470000.0,2.0,65.0
BUKIT BATOK,4 ROOM,296B,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 10 months,653000.0,8.0,65.0
BUKIT BATOK,4 ROOM,296B,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 10 months,712000.0,17.0,65.0
BUKIT BATOK,4 ROOM,296A,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 10 months,692000.0,23.0,65.0
BUKIT BATOK,4 ROOM,296C,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 10 months,658000.0,23.0,65.0
BUKIT BATOK,4 ROOM,296B,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 10 months,730000.0,29.0,65.0
BUKIT BATOK,4 ROOM,296C,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 10 months,700000.0,20.0,65.0
BUKIT BATOK,4 ROOM,296C,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 09 months,760000.0,35.0,65.0
BUKIT BATOK,4 ROOM,296C,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 09 months,750000.0,29.0,65.0
BUKIT BATOK,4 ROOM,296B,BT BATOK ST 22,92.0,Premium Apartment,2018,94 years 09 months,663000.0,11.0,65.0
BUKIT BATOK,4 ROOM,291A,BT BATOK ST 24,102.0,Model A,1997,74 years 07 months,520000.0,5.0,65.0
