town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,31.0,Improved,1975,51 years 10 months,248000.0,2.0,65.0
BUKIT MERAH,2 ROOM,48,MOH GUAN TER,44.0,Standard,1973,49 years 07 months,432000.0,2.0,65.0
BUKIT MERAH,2 ROOM,76,TELOK BLANGAH DR,44.0,Improved,1978,54 years 08 months,240000.0,8.0,65.0
BUKIT MERAH,3 ROOM,119,BT MERAH VIEW,65.0,Improved,1983,59 years 08 months,325000.0,2.0,65.0
BUKIT MERAH,3 ROOM,129,BT MERAH VIEW,65.0,Improved,1973,50 years 02 months,362000.0,11.0,65.0
BUKIT MERAH,3 ROOM,105A,DEPOT RD,67.0,Model A,2017,94 years 06 months,570000.0,17.0,65.0
BUKIT MERAH,3 ROOM,110A,DEPOT RD,67.0,Model A,2017,94 years 06 months,600000.0,17.0,65.0
BUKIT MERAH,3 ROOM,3,EVERTON PK,72.0,New Generation,1980,57 years 06 months,498000.0,5.0,65.0
BUKIT MERAH,3 ROOM,26A,JLN MEMBINA,60.0,Model A,2008,85 years 07 months,535000.0,11.0,65.0
BUKIT MERAH,3 ROOM,26A,JLN MEMBINA,60.0,Model A,2008,85 years 07 months,625000.0,23.0,65.0
BUKIT MERAH,3 ROOM,26A,JLN MEMBINA,60.0,Model A,2008,85 years 07 months,618000.0,14.0,65.0
BUKIT MERAH,3 ROOM,127C,KIM TIAN RD,62.0,Model A,2013,89 years 09 months,600000.0,5.0,65.0
BUKIT MERAH,3 ROOM,86,REDHILL CL,59.0,Improved,1973,49 years 08 months,368000.0,11.0,65.0
BUKIT MERAH,3 ROOM,1,TELOK BLANGAH CRES,66.0,Improved,1983,59 years 11 months,355000.0,2.0,65.0
BUKIT MERAH,3 ROOM,16,TELOK BLANGAH CRES,65.0,Improved,1975,51 years 11 months,345000.0,11.0,65.0
BUKIT MERAH,3 ROOM,47,TELOK BLANGAH DR,65.0,Improved,1976,52 years 08 months,388000.0,8.0,65.0
BUKIT MERAH,3 ROOM,65,TELOK BLANGAH DR,67.0,New Generation,1978,55 years 01 month,388000.0,8.0,65.0
BUKIT MERAH,3 ROOM,44,TELOK BLANGAH DR,65.0,Improved,1976,52 years 07 months,323000.0,2.0,65.0
BUKIT MERAH,3 ROOM,63,TELOK BLANGAH HTS,88.0,New Generation,1976,53 years 04 months,460000.0,11.0,65.0
BUKIT MERAH,3 ROOM,28,TELOK BLANGAH RISE,70.0,Improved,1976,52 years 11 months,345000.0,2.0,65.0
BUKIT MERAH,3 ROOM,80B,TELOK BLANGAH ST 31,67.0,Premium Apartment,2013,90 years 03 months,661000.0,17.0,65.0
BUKIT MERAH,3 ROOM,33,TELOK BLANGAH WAY,59.0,Improved,1976,52 years 11 months,305000.0,5.0,65.0
BUKIT MERAH,3 ROOM,24,TIONG BAHRU RD,88.0,Standard,1973,49 years 08 months,720000.0,5.0,65.0
BUKIT MERAH,4 ROOM,38,BEO CRES,110.0,Adjoined flat,1971,47 years 08 months,620000.0,8.0,65.0
BUKIT MERAH,4 ROOM,10A,BOON TIONG RD,92.0,Model A,2016,92 years 07 months,940000.0,38.0,65.0
BUKIT MERAH,4 ROOM,6A,BOON TIONG RD,100.0,Model A,2005,82 years 05 months,950000.0,14.0,65.0
BUKIT MERAH,4 ROOM,10B,BOON TIONG RD,87.0,Model A,2016,92 years 08 months,1158000.0,29.0,65.0
BUKIT MERAH,4 ROOM,120,BT MERAH VIEW,88.0,Improved,1973,49 years 08 months,455000.0,14.0,65.0
BUKIT MERAH,4 ROOM,110,BT PURMEI RD,104.0,Model A,1984,61 years 04 months,616888.0,11.0,65.0
BUKIT MERAH,4 ROOM,110,BT PURMEI RD,104.0,Model A,1984,61 years 04 months,547000.0,2.0,65.0
BUKIT MERAH,4 ROOM,18,CANTONMENT CL,75.0,Model A,2002,79 years 07 months,710000.0,11.0,65.0
BUKIT MERAH,4 ROOM,9,CANTONMENT CL,90.0,Model A,2002,79 years 07 months,855000.0,26.0,65.0
BUKIT MERAH,4 ROOM,103B,DEPOT RD,100.0,Model A,2002,79 years,680000.0,5.0,65.0
BUKIT MERAH,4 ROOM,103A,DEPOT RD,90.0,Model A,2002,79 years,621000.0,14.0,65.0
BUKIT MERAH,4 ROOM,110A,DEPOT RD,92.0,Model A,2017,94 years 06 months,800000.0,23.0,65.0
BUKIT MERAH,4 ROOM,110A,DEPOT RD,92.0,Model A,2017,94 years 06 months,810000.0,23.0,65.0
BUKIT MERAH,4 ROOM,105A,DEPOT RD,92.0,Model A,2017,94 years 06 months,770000.0,8.0,65.0
