town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
BUKIT TIMAH,3 ROOM,8,EMPRESS RD,65.0,Improved,1976,52 years 11 months,368000.0,5.0,65.0
BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974,50 years 11 months,628000.0,2.0,65.0
BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974,50 years 11 months,600000.0,8.0,65.0
BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974,50 years 10 months,528000.0,5.0,65.0
BUKIT TIMAH,3 ROOM,8,EMPRESS RD,76.0,Improved,1976,52 years 10 months,475000.0,14.0,66.0
BUKIT TIMAH,3 ROOM,18,TOH YI DR,64.0,Simplified,1989,65 years 11 months,456000.0,5.0,66.0
BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974,50 years 10 months,575000.0,2.0,66.0
BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974,50 years 10 months,621888.0,11.0,66.0
BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974,50 years 10 months,560000.0,8.0,66.0
BUKIT TIMAH,4 ROOM,17,TOH YI DR,104.0,Model A,1988,65 years 01 month,768000.0,5.0,66.0
BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974,50 years 10 months,900000.0,5.0,66.0
BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,146.0,Maisonette,1988,65 years 02 months,1120777.0,5.0,66.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974,50 years 09 months,458000.0,5.0,67.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974,50 years 09 months,420000.0,5.0,67.0
BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974,50 years 09 months,530000.0,2.0,67.0
BUKIT TIMAH,4 ROOM,5,TOH YI DR,104.0,Model A,1989,65 years 11 months,773000.0,11.0,67.0
BUKIT TIMAH,3 ROOM,6,FARRER RD,76.0,Improved,1974,50 years 08 months,490000.0,8.0,68.0
BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974,50 years 08 months,565000.0,2.0,68.0
BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974,50 years 08 months,560000.0,5.0,68.0
BUKIT TIMAH,4 ROOM,1,TOH YI DR,104.0,Model A,1988,64 years 11 months,743888.0,5.0,68.0
BUKIT TIMAH,5 ROOM,13,TOH YI DR,122.0,Improved,1988,65 years 01 month,905000.0,11.0,68.0
BUKIT TIMAH,5 ROOM,5,TOH YI DR,122.0,Improved,1989,65 years 10 months,898000.0,5.0,68.0
BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,146.0,Maisonette,1989,65 years 11 months,1280000.0,8.0,68.0
BUKIT TIMAH,3 ROOM,8,EMPRESS RD,65.0,Improved,1976,52 years 07 months,445000.0,11.0,69.0
BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974,50 years 07 months,635000.0,11.0,69.0
BUKIT TIMAH,4 ROOM,16,TOH YI DR,104.0,Model A,1988,65 years 02 months,790000.0,5.0,69.0
BUKIT TIMAH,5 ROOM,12,TOH YI DR,122.0,Improved,1989,65 years 08 months,900000.0,5.0,69.0
BUKIT TIMAH,5 ROOM,5,TOH YI DR,122.0,Improved,1989,65 years 09 months,981888.88,8.0,69.0
BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,146.0,Maisonette,1989,66 years,1200000.0,8.0,69.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974,50 years 06 months,400000.0,2.0,70.0
BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974,50 years 06 months,590000.0,11.0,70.0
BUKIT TIMAH,4 ROOM,17,TOH YI DR,104.0,Model A,1988,64 years 09 months,838000.0,11.0,70.0
BUKIT TIMAH,5 ROOM,11,TOH YI DR,122.0,Improved,1989,65 years 09 months,845000.0,2.0,70.0
BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,146.0,Maisonette,1988,64 years 10 months,1275000.0,11.0,70.0
BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974,50 years 05 months,588000.0,5.0,71.0
BUKIT TIMAH,4 ROOM,14,TOH YI DR,104.0,Model A,1988,64 years 10 months,615000.0,5.0,71.0
BUKIT TIMAH,5 ROOM,5,FARRER RD,123.0,Standard,1974,50 years 05 months,990000.0,14.0,71.0
BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,150.0,Maisonette,1988,64 years 09 months,1290800.0,2.0,71.0
BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,150.0,Maisonette,1988,64 years 09 months,1300000.0,11.0,71.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974,50 years 04 months,465000.0,11.0,72.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974,50 years 03 months,465000.0,5.0,72.0
BUKIT TIMAH,4 ROOM,4,TOH YI DR,104.0,Model A,1988,64 years 08 months,840000.0,8.0,72.0
BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,154.0,Maisonette,1988,64 years 08 months,1288000.0,5.0,72.0
BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974,50 years 02 months,607888.0,11.0,73.0
BUKIT TIMAH,4 ROOM,16,TOH YI DR,104.0,Model A,1988,64 years 09 months,755000.0,8.0,73.0
BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974,50 years 02 months,620000.0,8.0,74.0
BUKIT TIMAH,4 ROOM,17,TOH YI DR,104.0,Model A,1988,64 years 05 months,813000.0,8.0,74.0
BUKIT TIMAH,4 ROOM,9,TOH YI DR,104.0,Model A,1989,65 years 01 month,745000.0,5.0,74.0
BUKIT TIMAH,4 ROOM,5,TOH YI DR,104.0,Model A,1989,65 years 03 months,800000.0,2.0,74.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,63.0,Improved,1974,50 years,428000.0,8.0,75.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974,50 years,475000.0,8.0,75.0
BUKIT TIMAH,4 ROOM,11,TOH YI DR,104.0,Model A,1989,65 years 03 months,810000.0,2.0,75.0
BUKIT TIMAH,5 ROOM,12,TOH YI DR,127.0,Improved,1989,65 years 01 month,985000.0,5.0,75.0
BUKIT TIMAH,3 ROOM,6,FARRER RD,76.0,Improved,1974,50 years,570000.0,5.0,76.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,74.0,Improved,1974,50 years,450000.0,11.0,76.0
BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974,49 years 11 months,485000.0,11.0,76.0
