town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
CENTRAL AREA,3 ROOM,30,KELANTAN RD,65.0,Improved,1981,58 years 02 months,420000.0,11.0,65.0
CENTRAL AREA,3 ROOM,269A,QUEEN ST,67.0,New Generation,1984,60 years 11 months,465000.0,5.0,65.0
CENTRAL AREA,3 ROOM,335A,SMITH ST,73.0,Improved,1984,60 years 10 months,480000.0,8.0,65.0
CENTRAL AREA,3 ROOM,2,TG PAGAR PLAZA,59.0,Improved,1977,53 years 09 months,440000.0,5.0,65.0
CENTRAL AREA,3 ROOM,34,UPP CROSS ST,65.0,Improved,1975,52 years 01 month,420000.0,17.0,65.0
CENTRAL AREA,3 ROOM,635,VEERASAMY RD,72.0,Model A,1985,62 years 01 month,388000.0,2.0,65.0
CENTRAL AREA,3 ROOM,263,WATERLOO ST,68.0,Improved,1978,55 years 02 months,538000.0,17.0,65.0
CENTRAL AREA,3 ROOM,264,WATERLOO ST,68.0,Improved,1986,63 years 04 months,480000.0,14.0,65.0
CENTRAL AREA,4 ROOM,661,BUFFALO RD,91.0,Improved,1982,59 years,500000.0,17.0,65.0
CENTRAL AREA,4 ROOM,1D,CANTONMENT RD,94.0,Type S1,2011,87 years 08 months,970000.0,11.0,65.0
CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,93.0,Type S1,2011,87 years 08 months,1000000.0,14.0,65.0
CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,94.0,Type S1,2011,87 years 08 months,1038888.0,26.0,65.0
CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,93.0,Type S1,2011,87 years 08 months,1038000.0,17.0,65.0
CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,93.0,Type S1,2011,87 years 07 months,1130000.0,32.0,65.0
CENTRAL AREA,4 ROOM,8,TG PAGAR PLAZA,83.0,Improved,1980,57 years,870088.0,17.0,65.0
CENTRAL AREA,4 ROOM,8,TG PAGAR PLAZA,83.0,Improved,1980,57 years,740000.0,23.0,65.0
CENTRAL AREA,4 ROOM,7,TG PAGAR PLAZA,83.0,Improved,1980,57 years,698000.0,17.0,65.0
CENTRAL AREA,5 ROOM,1D,CANTONMENT RD,108.0,Type S2,2011,87 years 08 months,1123888.0,8.0,65.0
CENTRAL AREA,3 ROOM,9,SELEGIE RD,56.0,Standard,1974,50 years 07 months,372000.0,11.0,66.0
CENTRAL AREA,3 ROOM,9,SELEGIE RD,56.0,Standard,1974,50 years 07 months,365000.0,5.0,66.0
CENTRAL AREA,3 ROOM,335A,SMITH ST,69.0,Improved,1984,60 years 09 months,540000.0,14.0,66.0
CENTRAL AREA,3 ROOM,34,UPP CROSS ST,65.0,Improved,1975,51 years 11 months,418000.0,17.0,66.0
CENTRAL AREA,3 ROOM,633,VEERASAMY RD,72.0,Model A,1985,62 years,458888.0,2.0,66.0
CENTRAL AREA,3 ROOM,264,WATERLOO ST,60.0,Improved,1986,63 years 03 months,460000.0,8.0,66.0
CENTRAL AREA,3 ROOM,264,WATERLOO ST,60.0,Improved,1986,63 years 03 months,463000.0,17.0,66.0
CENTRAL AREA,4 ROOM,663,BUFFALO RD,85.0,Improved,1982,59 years,508000.0,8.0,66.0
CENTRAL AREA,4 ROOM,663,BUFFALO RD,82.0,Improved,1982,58 years 11 months,518000.0,8.0,66.0
CENTRAL AREA,4 ROOM,1G,CANTONMENT RD,93.0,Type S1,2011,87 years 07 months,1200000.0,41.0,66.0
CENTRAL AREA,4 ROOM,641,ROWELL RD,108.0,Model A,1983,60 years 04 months,676888.0,14.0,66.0
CENTRAL AREA,4 ROOM,632,VEERASAMY RD,107.0,Model A,1985,62 years 02 months,700000.0,20.0,66.0
CENTRAL AREA,5 ROOM,1E,CANTONMENT RD,106.0,Type S2,2011,87 years 07 months,1188000.0,20.0,66.0
CENTRAL AREA,5 ROOM,672A,KLANG LANE,105.0,Improved,2002,79 years 01 month,750000.0,20.0,66.0
CENTRAL AREA,2 ROOM,32,NEW MKT RD,63.0,Standard,1983,59 years 09 months,420000.0,8.0,67.0
CENTRAL AREA,3 ROOM,640,ROWELL RD,74.0,Model A,1984,60 years 11 months,425000.0,8.0,67.0
CENTRAL AREA,3 ROOM,4,SAGO LANE,137.0,Improved,1974,51 years 03 months,590000.0,5.0,67.0
CENTRAL AREA,3 ROOM,4,SAGO LANE,57.0,Improved,1974,51 years,370000.0,8.0,67.0
CENTRAL AREA,3 ROOM,8,SELEGIE RD,67.0,Standard,1974,50 years 06 months,500000.0,8.0,67.0
CENTRAL AREA,3 ROOM,34,UPP CROSS ST,65.0,Improved,1975,51 years 11 months,430000.0,20.0,67.0
CENTRAL AREA,3 ROOM,263,WATERLOO ST,60.0,Improved,1978,55 years,500000.0,20.0,67.0
CENTRAL AREA,4 ROOM,232,BAIN ST,82.0,Improved,1980,56 years 10 months,610000.0,5.0,67.0
CENTRAL AREA,4 ROOM,233,BAIN ST,82.0,Improved,1980,56 years 09 months,640000.0,5.0,67.0
CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,95.0,Type S1,2011,87 years 06 months,1021000.0,11.0,67.0
CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,96.0,Type S1,2011,87 years 06 months,1190000.0,20.0,67.0
CENTRAL AREA,4 ROOM,671A,KLANG LANE,85.0,Model A,2003,79 years 07 months,613000.0,8.0,67.0
CENTRAL AREA,4 ROOM,8,TG PAGAR PLAZA,83.0,Improved,1980,56 years 10 months,628000.0,8.0,67.0
CENTRAL AREA,4 ROOM,262,WATERLOO ST,82.0,Improved,1978,55 years 02 months,635000.0,11.0,67.0
CENTRAL AREA,5 ROOM,1G,CANTONMENT RD,107.0,Type S2,2011,87 years 06 months,1160000.0,23.0,67.0
CENTRAL AREA,5 ROOM,1C,CANTONMENT RD,106.0,Type S2,2011,87 years 06 months,1150000.0,20.0,67.0
CENTRAL AREA,2 ROOM,32,NEW MKT RD,52.0,Standard,1983,59 years 07 months,353000.0,5.0,68.0
CENTRAL AREA,3 ROOM,664,BUFFALO RD,60.0,Improved,1982,58 years 09 months,380000.0,5.0,68.0
CENTRAL AREA,3 ROOM,668,CHANDER RD,74.0,Model A,1984,61 years 02 months,410000.0,5.0,68.0
CENTRAL AREA,3 ROOM,29,KELANTAN RD,74.0,Improved,1977,54 years 03 months,480000.0,11.0,68.0
CENTRAL AREA,3 ROOM,4,SAGO LANE,67.0,Improved,1974,50 years 11 months,445000.0,8.0,68.0
CENTRAL AREA,3 ROOM,9,SELEGIE RD,58.0,Standard,1974,50 years 05 months,385000.0,11.0,68.0
CENTRAL AREA,3 ROOM,4,TG PAGAR PLAZA,59.0,Improved,1977,53 years 06 months,460000.0,8.0,68.0
CENTRAL AREA,3 ROOM,1,TG PAGAR PLAZA,59.0,Improved,1977,53 years 06 months,482000.0,11.0,68.0
CENTRAL AREA,3 ROOM,2,TG PAGAR PLAZA,59.0,Improved,1977,53 years 05 months,500000.0,11.0,68.0
CENTRAL AREA,3 ROOM,4,TG PAGAR PLAZA,59.0,Improved,1977,53 years 05 months,468000.0,5.0,68.0
CENTRAL AREA,3 ROOM,538,UPP CROSS ST,60.0,Improved,1978,55 years 02 months,465000.0,8.0,68.0
CENTRAL AREA,3 ROOM,532,UPP CROSS ST,68.0,Improved,1980,56 years 11 months,548000.0,8.0,68.0
CENTRAL AREA,3 ROOM,264,WATERLOO ST,60.0,Improved,1986,63 years 01 month,485000.0,8.0,68.0
CENTRAL AREA,4 ROOM,663,BUFFALO RD,82.0,Improved,1982,58 years 09 months,575000.0,17.0,68.0
CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,93.0,Type S1,2011,87 years 04 months,1190000.0,44.0,68.0
CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,93.0,Type S1,2011,87 years 05 months,1218000.0,44.0,68.0
CENTRAL AREA,4 ROOM,1B,CANTONMENT RD,93.0,Type S1,2011,87 years 05 months,970000.0,5.0,68.0
CENTRAL AREA,4 ROOM,334,KRETA AYER RD,83.0,Improved,1981,57 years 07 months,680000.0,23.0,68.0
CENTRAL AREA,4 ROOM,269B,QUEEN ST,114.0,New Generation,1984,60 years 10 months,828000.0,17.0,68.0
CENTRAL AREA,4 ROOM,639,ROWELL RD,101.0,Model A,1983,60 years 02 months,642000.0,11.0,68.0
CENTRAL AREA,4 ROOM,641,ROWELL RD,108.0,Model A,1983,60 years 02 months,700000.0,20.0,68.0
CENTRAL AREA,4 ROOM,641,ROWELL RD,103.0,Model A,1983,60 years 01 month,728000.0,20.0,68.0
CENTRAL AREA,4 ROOM,634,VEERASAMY RD,107.0,Model A,1985,62 years 01 month,700000.0,11.0,68.0
CENTRAL AREA,4 ROOM,637,VEERASAMY RD,103.0,Model A,1985,61 years 09 months,638000.0,8.0,68.0
CENTRAL AREA,5 ROOM,1C,CANTONMENT RD,105.0,Type S2,2011,87 years 05 months,1288888.0,32.0,68.0
CENTRAL AREA,5 ROOM,29,KELANTAN RD,139.0,Adjoined flat,1977,54 years 03 months,900000.0,5.0,68.0
CENTRAL AREA,3 ROOM,29,KELANTAN RD,74.0,Improved,1977,54 years 02 months,405000.0,5.0,69.0
