town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
CHOA CHU KANG,2 ROOM,535,CHOA CHU KANG ST 51,46.0,Model A,2011,88 years 03 months,305000.0,11.0,65.0
CHOA CHU KANG,2 ROOM,166A,TECK WHYE CRES,47.0,2-room,2015,91 years 09 months,290000.0,11.0,65.0
CHOA CHU KANG,3 ROOM,807A,CHOA CHU KANG AVE 1,67.0,Model A,2017,93 years 11 months,400000.0,11.0,65.0
CHOA CHU KANG,3 ROOM,818A,CHOA CHU KANG AVE 1,67.0,Model A,2017,94 years 04 months,463000.0,17.0,65.0
CHOA CHU KANG,3 ROOM,811B,CHOA CHU KANG AVE 7,68.0,Model A,2017,94 years 06 months,410000.0,17.0,65.0
CHOA CHU KANG,3 ROOM,811B,CHOA CHU KANG AVE 7,68.0,Model A,2017,94 years 06 months,410000.0,8.0,65.0
CHOA CHU KANG,3 ROOM,802C,KEAT HONG CL,67.0,Model A,2018,94 years 09 months,400000.0,5.0,65.0
CHOA CHU KANG,3 ROOM,804A,KEAT HONG CL,68.0,Model A,2017,94 years,425000.0,2.0,65.0
CHOA CHU KANG,3 ROOM,10,TECK WHYE AVE,67.0,New Generation,1978,55 years,321000.0,5.0,65.0
CHOA CHU KANG,3 ROOM,111,TECK WHYE LANE,73.0,Model A,1989,66 years 04 months,339000.0,2.0,65.0
CHOA CHU KANG,4 ROOM,808A,CHOA CHU KANG AVE 1,92.0,Model A,2017,93 years 11 months,508000.0,8.0,65.0
CHOA CHU KANG,4 ROOM,251,CHOA CHU KANG AVE 2,104.0,Model A,1994,71 years 07 months,480000.0,11.0,65.0
CHOA CHU KANG,4 ROOM,252,CHOA CHU KANG AVE 2,108.0,Model A,1994,71 years 06 months,448000.0,11.0,65.0
CHOA CHU KANG,4 ROOM,413,CHOA CHU KANG AVE 3,104.0,Model A,1992,69 years 02 months,450000.0,11.0,65.0
CHOA CHU KANG,4 ROOM,412,CHOA CHU KANG AVE 3,104.0,Model A,1992,69 years 02 months,502800.0,11.0,65.0
