town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
CLEMENTI,3 ROOM,424,CLEMENTI AVE 1,73.0,Model A,2013,90 years 04 months,615000.0,17.0,65.0
CLEMENTI,3 ROOM,420,CLEMENTI AVE 1,74.0,Model A,2013,90 years 04 months,590000.0,29.0,65.0
CLEMENTI,3 ROOM,354,CLEMENTI AVE 2,67.0,New Generation,1979,56 years 05 months,360000.0,5.0,65.0
CLEMENTI,3 ROOM,334,CLEMENTI AVE 2,67.0,New Generation,1978,55 years 02 months,368000.0,2.0,65.0
CLEMENTI,3 ROOM,335,CLEMENTI AVE 2,67.0,New Generation,1978,55 years 06 months,355000.0,2.0,65.0
CLEMENTI,3 ROOM,365,CLEMENTI AVE 2,67.0,New Generation,1978,54 years 08 months,360000.0,11.0,65.0
CLEMENTI,3 ROOM,449,CLEMENTI AVE 3,68.0,New Generation,1980,57 years 01 month,445000.0,2.0,65.0
CLEMENTI,3 ROOM,428,CLEMENTI AVE 3,67.0,New Generation,1978,55 years,385000.0,2.0,65.0
CLEMENTI,3 ROOM,320,CLEMENTI AVE 4,67.0,New Generation,1979,55 years 11 months,360000.0,5.0,65.0
CLEMENTI,3 ROOM,306,CLEMENTI AVE 4,67.0,New Generation,1979,55 years 11 months,350000.0,2.0,65.0
CLEMENTI,3 ROOM,305,CLEMENTI AVE 4,67.0,New Generation,1979,55 years 10 months,400000.0,8.0,65.0
CLEMENTI,3 ROOM,309,CLEMENTI AVE 4,82.0,New Generation,1980,56 years 08 months,406000.0,2.0,65.0
CLEMENTI,3 ROOM,327,CLEMENTI AVE 5,67.0,New Generation,1978,55 years 03 months,350000.0,2.0,65.0
CLEMENTI,3 ROOM,345,CLEMENTI AVE 5,82.0,New Generation,1979,55 years 10 months,460000.0,11.0,65.0
CLEMENTI,3 ROOM,327,CLEMENTI AVE 5,67.0,New Generation,1978,55 years 02 months,395000.0,14.0,65.0
CLEMENTI,3 ROOM,208A,CLEMENTI AVE 6,68.0,Model A,2017,94 years 05 months,590000.0,17.0,65.0
CLEMENTI,3 ROOM,208B,CLEMENTI AVE 6,68.0,Model A,2017,94 years 04 months,601000.0,26.0,65.0
CLEMENTI,3 ROOM,208A,CLEMENTI AVE 6,68.0,Model A,2017,94 years 04 months,575000.0,17.0,65.0
CLEMENTI,3 ROOM,611,CLEMENTI WEST ST 1,74.0,Model A,1983,60 years 05 months,369000.0,8.0,65.0
CLEMENTI,3 ROOM,602,CLEMENTI WEST ST 1,67.0,New Generation,1979,56 years 05 months,338000.0,8.0,65.0
CLEMENTI,3 ROOM,711,CLEMENTI WEST ST 2,82.0,New Generation,1980,57 years 06 months,368000.0,5.0,65.0
CLEMENTI,3 ROOM,715,CLEMENTI WEST ST 2,68.0,New Generation,1981,58 years 04 months,309000.0,2.0,65.0
CLEMENTI,3 ROOM,728,CLEMENTI WEST ST 2,68.0,New Generation,1980,57 years 03 months,338000.0,8.0,65.0
CLEMENTI,3 ROOM,729,CLEMENTI WEST ST 2,68.0,New Generation,1983,60 years 04 months,348000.0,8.0,65.0
CLEMENTI,3 ROOM,506,WEST COAST DR,67.0,New Generation,1978,55 years 03 months,330000.0,8.0,65.0
CLEMENTI,3 ROOM,702,WEST COAST RD,82.0,New Generation,1980,57 years 04 months,375000.0,11.0,65.0
CLEMENTI,3 ROOM,702,WEST COAST RD,67.0,New Generation,1980,57 years 04 months,330000.0,5.0,65.0
CLEMENTI,3 ROOM,704,WEST COAST RD,67.0,New Generation,1980,57 years 04 months,360000.0,11.0,65.0
CLEMENTI,4 ROOM,421,CLEMENTI AVE 1,99.0,Model A,2013,90 years 03 months,850000.0,35.0,65.0
CLEMENTI,4 ROOM,364,CLEMENTI AVE 2,90.0,New Generation,1978,54 years 08 months,495000.0,11.0,65.0
