town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
GEYLANG,2 ROOM,109,ALJUNIED CRES,45.0,Improved,1986,62 years 11 months,238000.0,11.0,65.0
GEYLANG,2 ROOM,45,CIRCUIT RD,42.0,Standard,1971,47 years 08 months,240000.0,5.0,65.0
GEYLANG,2 ROOM,45,CIRCUIT RD,42.0,Standard,1971,47 years 08 months,240000.0,8.0,65.0
GEYLANG,2 ROOM,70,CIRCUIT RD,42.0,Standard,1969,45 years 08 months,250000.0,11.0,65.0
GEYLANG,3 ROOM,32,BALAM RD,57.0,Standard,1973,50 years 01 month,270000.0,5.0,65.0
GEYLANG,3 ROOM,36,CASSIA CRES,59.0,Improved,1986,62 years 09 months,423888.0,11.0,65.0
GEYLANG,3 ROOM,36,CASSIA CRES,68.0,Improved,1986,62 years 08 months,445000.0,11.0,65.0
GEYLANG,3 ROOM,39,CIRCUIT RD,57.0,Standard,1971,47 years 08 months,278000.0,8.0,65.0
GEYLANG,3 ROOM,58,CIRCUIT RD,56.0,Standard,1969,45 years 08 months,260000.0,8.0,65.0
GEYLANG,3 ROOM,18C,CIRCUIT RD,67.0,Model A,2016,93 years 06 months,580000.0,11.0,65.0
GEYLANG,3 ROOM,59,CIRCUIT RD,60.0,Standard,1969,45 years 08 months,305000.0,5.0,65.0
GEYLANG,3 ROOM,67,CIRCUIT RD,61.0,Standard,1969,45 years 08 months,330000.0,8.0,65.0
GEYLANG,3 ROOM,57,CIRCUIT RD,56.0,Standard,1969,45 years 08 months,288000.0,5.0,65.0
GEYLANG,3 ROOM,35,CIRCUIT RD,63.1,Standard,1971,47 years 08 months,298000.0,8.0,65.0
GEYLANG,3 ROOM,49,CIRCUIT RD,56.0,Standard,1969,45 years 08 months,265000.0,8.0,65.0
GEYLANG,3 ROOM,47,CIRCUIT RD,56.0,Standard,1969,45 years 07 months,270000.0,8.0,65.0
GEYLANG,3 ROOM,125,GEYLANG EAST AVE 1,74.0,Model A,1984,60 years 10 months,389000.0,11.0,65.0
GEYLANG,3 ROOM,3,JOO CHIAT RD,90.0,Model A,1985,62 years 07 months,530000.0,17.0,65.0
GEYLANG,3 ROOM,95,OLD AIRPORT RD,56.0,Standard,1969,45 years 08 months,300000.0,5.0,65.0
GEYLANG,3 ROOM,99,OLD AIRPORT RD,56.0,Standard,1969,45 years 08 months,328000.0,8.0,65.0
GEYLANG,3 ROOM,41,SIMS DR,66.0,Improved,1981,57 years 10 months,315000.0,2.0,65.0
GEYLANG,3 ROOM,63,SIMS PL,68.0,Model A,2016,93 years 07 months,538888.0,5.0,65.0
GEYLANG,3 ROOM,302,UBI AVE 1,64.0,Simplified,2000,77 years,390000.0,5.0,65.0
GEYLANG,4 ROOM,104,ALJUNIED CRES,92.0,New Generation,1978,54 years 09 months,428000.0,2.0,65.0
GEYLANG,4 ROOM,111,ALJUNIED CRES,92.0,New Generation,1978,54 years 08 months,485000.0,8.0,65.0
GEYLANG,4 ROOM,28,BALAM RD,106.0,Model A,1997,74 years 01 month,720000.0,20.0,65.0
GEYLANG,4 ROOM,18D,CIRCUIT RD,93.0,Model A,2016,93 years 06 months,770000.0,5.0,65.0
GEYLANG,4 ROOM,43,CIRCUIT RD,92.0,Adjoined flat,1971,47 years 08 months,450000.0,2.0,65.0
GEYLANG,4 ROOM,60,DAKOTA CRES,104.0,Model A,1983,60 years 05 months,780000.0,14.0,65.0
GEYLANG,4 ROOM,9,EUNOS CRES,91.0,New Generation,1978,55 years 02 months,495000.0,2.0,65.0
GEYLANG,4 ROOM,10,EUNOS CRES,91.0,New Generation,1978,55 years 01 month,535000.0,11.0,65.0
GEYLANG,4 ROOM,415,EUNOS RD 5,107.0,Model A,1984,61 years 05 months,678800.0,11.0,65.0
GEYLANG,4 ROOM,3A,GEYLANG SERAI,93.0,Model A,2011,88 years 07 months,795000.0,17.0,65.0
GEYLANG,4 ROOM,8,HAIG RD,92.0,New Generation,1976,53 years 02 months,485000.0,2.0,65.0
GEYLANG,4 ROOM,47,JLN TIGA,93.0,Model A,2005,81 years 11 months,645000.0,5.0,65.0
GEYLANG,4 ROOM,49,JLN TIGA,93.0,Model A,2005,81 years 11 months,637000.0,2.0,65.0
GEYLANG,4 ROOM,5,PINE CL,95.0,Model A,2000,77 years 01 month,750000.0,2.0,65.0
GEYLANG,4 ROOM,322,UBI AVE 1,84.0,Simplified,1985,62 years 05 months,425000.0,11.0,65.0
GEYLANG,4 ROOM,315,UBI AVE 1,84.0,Simplified,1985,62 years 02 months,450000.0,5.0,65.0
