town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
HOUGANG,3 ROOM,986B,BUANGKOK CRES,67.0,Model A,2012,89 years,403000.0,8.0,65.0
HOUGANG,3 ROOM,126,HOUGANG AVE 1,70.0,New Generation,1983,59 years 09 months,368000.0,8.0,65.0
HOUGANG,3 ROOM,117,HOUGANG AVE 1,80.0,New Generation,1982,59 years,410000.0,2.0,65.0
HOUGANG,3 ROOM,415,HOUGANG AVE 10,67.0,New Generation,1985,62 years 04 months,345000.0,2.0,65.0
HOUGANG,3 ROOM,412,HOUGANG AVE 10,67.0,New Generation,1985,62 years 03 months,367500.0,2.0,65.0
HOUGANG,3 ROOM,252,HOUGANG AVE 3,67.0,New Generation,1985,61 years 07 months,340000.0,2.0,65.0
HOUGANG,3 ROOM,662,HOUGANG AVE 4,74.0,Model A,1987,64 years 03 months,365000.0,5.0,65.0
HOUGANG,3 ROOM,530,HOUGANG AVE 6,64.0,Simplified,1986,63 years 06 months,365000.0,5.0,65.0
HOUGANG,3 ROOM,317,HOUGANG AVE 7,67.0,New Generation,1983,60 years 02 months,380000.0,11.0,65.0
HOUGANG,3 ROOM,620,HOUGANG AVE 8,60.0,Improved,1985,62 years 03 months,327000.0,5.0,65.0
HOUGANG,3 ROOM,501,HOUGANG AVE 8,64.0,Simplified,1986,62 years 11 months,360000.0,8.0,65.0
HOUGANG,3 ROOM,642,HOUGANG AVE 8,60.0,Improved,1987,64 years 06 months,312000.0,5.0,65.0
HOUGANG,3 ROOM,154,HOUGANG ST 11,67.0,New Generation,1984,61 years 06 months,370000.0,8.0,65.0
HOUGANG,3 ROOM,241,HOUGANG ST 22,77.0,Model A,1985,61 years 11 months,365000.0,2.0,65.0
HOUGANG,3 ROOM,691,HOUGANG ST 61,64.0,Simplified,1987,64 years 03 months,350000.0,2.0,65.0
HOUGANG,3 ROOM,473A,UPP SERANGOON CRES,68.0,Model A,2017,94 years 01 month,480000.0,14.0,65.0
HOUGANG,3 ROOM,471B,UPP SERANGOON CRES,67.0,Model A,2015,92 years,450000.0,11.0,65.0
HOUGANG,3 ROOM,471A,UPP SERANGOON CRES,67.0,Model A,2015,92 years,400000.0,5.0,65.0
HOUGANG,3 ROOM,473A,UPP SERANGOON CRES,68.0,Model A,2017,94 years 01 month,445000.0,14.0,65.0
HOUGANG,3 ROOM,364A,UPP SERANGOON RD,67.0,Model A,2018,94 years 09 months,504000.0,11.0,65.0
HOUGANG,3 ROOM,476A,UPP SERANGOON VIEW,67.0,Premium Apartment,2016,92 years 10 months,470000.0,20.0,65.0
HOUGANG,4 ROOM,981D,BUANGKOK CRES,90.0,Model A,2003,80 years 01 month,425000.0,2.0,65.0
HOUGANG,4 ROOM,978D,BUANGKOK CRES,90.0,Model A,2003,80 years 02 months,468888.0,5.0,65.0
HOUGANG,4 ROOM,987A,BUANGKOK GREEN,93.0,Model A,2015,91 years 09 months,550000.0,17.0,65.0
HOUGANG,4 ROOM,987C,BUANGKOK GREEN,93.0,Model A,2015,91 years 09 months,526000.0,14.0,65.0
HOUGANG,4 ROOM,988A,BUANGKOK GREEN,93.0,Model A,2015,91 years 10 months,482500.0,2.0,65.0
HOUGANG,4 ROOM,988B,BUANGKOK GREEN,93.0,Model A,2015,91 years 09 months,530000.0,14.0,65.0
HOUGANG,4 ROOM,103,HOUGANG AVE 1,108.0,Model A,1983,60 years 07 months,455000.0,2.0,65.0
HOUGANG,4 ROOM,173,HOUGANG AVE 1,100.0,Model A,1997,74 years 07 months,480000.0,2.0,65.0
HOUGANG,4 ROOM,172,HOUGANG AVE 1,101.0,Model A,1997,74 years 07 months,545000.0,8.0,65.0
HOUGANG,4 ROOM,166,HOUGANG AVE 1,101.0,Model A,1997,74 years 05 months,460000.0,2.0,65.0
HOUGANG,4 ROOM,236,HOUGANG AVE 1,104.0,Model A,1984,61 years,518000.0,8.0,65.0
HOUGANG,4 ROOM,171,HOUGANG AVE 1,101.0,Model A,1998,74 years 07 months,508000.0,8.0,65.0
HOUGANG,4 ROOM,405,HOUGANG AVE 10,93.0,New Generation,1985,62 years 07 months,505000.0,14.0,65.0
HOUGANG,4 ROOM,15,HOUGANG AVE 3,82.0,Improved,1975,52 years 06 months,405000.0,8.0,65.0
HOUGANG,4 ROOM,662,HOUGANG AVE 4,103.0,Model A,1987,64 years 03 months,480000.0,2.0,65.0
HOUGANG,4 ROOM,605,HOUGANG AVE 4,104.0,Model A,1985,62 years 05 months,500000.0,5.0,65.0
HOUGANG,4 ROOM,324,HOUGANG AVE 5,104.0,Model A,1983,59 years 11 months,448000.0,2.0,65.0
HOUGANG,4 ROOM,520,HOUGANG AVE 6,85.0,Simplified,1987,63 years 10 months,440000.0,2.0,65.0
HOUGANG,4 ROOM,625,HOUGANG AVE 8,89.0,Simplified,1986,62 years 08 months,428000.0,2.0,65.0
HOUGANG,4 ROOM,636,HOUGANG AVE 8,84.0,Simplified,1987,64 years 07 months,432000.0,5.0,65.0
HOUGANG,4 ROOM,616,HOUGANG AVE 8,103.0,Model A,1986,63 years 03 months,493000.0,11.0,65.0
HOUGANG,4 ROOM,614,HOUGANG AVE 8,104.0,Model A,1986,62 years 08 months,520000.0,11.0,65.0
HOUGANG,4 ROOM,506,HOUGANG AVE 8,103.0,Model A,1987,63 years 10 months,560000.0,8.0,65.0
HOUGANG,4 ROOM,630,HOUGANG AVE 8,84.0,Simplified,1986,63 years 06 months,423000.0,11.0,65.0
HOUGANG,4 ROOM,932B,HOUGANG AVE 9,92.0,Model A,2017,94 years 06 months,606000.0,11.0,65.0
HOUGANG,4 ROOM,932B,HOUGANG AVE 9,92.0,Model A,2017,94 years 06 months,614000.0,14.0,65.0
HOUGANG,4 ROOM,155,HOUGANG ST 11,93.0,New Generation,1984,61 years 05 months,450000.0,2.0,65.0
