town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
JURONG EAST,2 ROOM,372,JURONG EAST ST 32,44.0,2-room,2014,90 years 08 months,265000.0,2.0,65.0
JURONG EAST,3 ROOM,237,JURONG EAST ST 21,84.0,New Generation,1982,59 years,392000.0,2.0,65.0
JURONG EAST,3 ROOM,237,JURONG EAST ST 21,67.0,New Generation,1982,59 years,375000.0,5.0,65.0
JURONG EAST,3 ROOM,229,JURONG EAST ST 21,67.0,New Generation,1981,58 years 01 month,378000.0,11.0,65.0
JURONG EAST,3 ROOM,210,JURONG EAST ST 21,82.0,New Generation,1983,60 years 01 month,395000.0,8.0,65.0
JURONG EAST,3 ROOM,203,JURONG EAST ST 21,67.0,New Generation,1984,60 years 11 months,350000.0,2.0,65.0
JURONG EAST,3 ROOM,231,JURONG EAST ST 21,67.0,New Generation,1981,58 years,335000.0,8.0,65.0
JURONG EAST,3 ROOM,252,JURONG EAST ST 24,67.0,New Generation,1985,62 years 01 month,338800.0,5.0,65.0
JURONG EAST,3 ROOM,253,JURONG EAST ST 24,67.0,New Generation,1985,62 years 01 month,318300.0,2.0,65.0
JURONG EAST,3 ROOM,301,JURONG EAST ST 32,68.0,New Generation,1983,59 years 11 months,348000.0,14.0,65.0
JURONG EAST,3 ROOM,57,TEBAN GDNS RD,67.0,Model A,2016,93 years 06 months,445000.0,32.0,65.0
JURONG EAST,3 ROOM,40,TEBAN GDNS RD,77.0,Improved,1978,54 years 11 months,400000.0,8.0,65.0
JURONG EAST,3 ROOM,49,TEBAN GDNS RD,64.0,Simplified,1986,63 years 05 months,330000.0,2.0,65.0
JURONG EAST,3 ROOM,34,TEBAN GDNS RD,77.0,Improved,1977,54 years 01 month,300000.0,2.0,65.0
JURONG EAST,3 ROOM,20,TEBAN GDNS RD,72.0,Model A,2013,90 years 04 months,428000.0,32.0,65.0
JURONG EAST,4 ROOM,112,JURONG EAST ST 13,90.0,New Generation,1981,58 years 01 month,468000.0,11.0,65.0
JURONG EAST,4 ROOM,320,JURONG EAST ST 31,105.0,Model A,1984,61 years 05 months,506000.0,14.0,65.0
JURONG EAST,4 ROOM,314,JURONG EAST ST 32,104.0,Model A,1984,61 years 02 months,460000.0,11.0,65.0
JURONG EAST,4 ROOM,64,TEBAN GDNS RD,90.0,Model A,2003,80 years 01 month,475000.0,23.0,65.0
JURONG EAST,4 ROOM,65,TEBAN GDNS RD,91.0,Model A,2003,80 years 01 month,430000.0,2.0,65.0
JURONG EAST,4 ROOM,57,TEBAN GDNS RD,92.0,Model A,2016,93 years 05 months,550000.0,29.0,65.0
JURONG EAST,4 ROOM,269,TOH GUAN RD,100.0,Model A,1999,75 years 11 months,525000.0,5.0,65.0
JURONG EAST,4 ROOM,280,TOH GUAN RD,91.0,Model A2,1998,75 years 04 months,470000.0,5.0,65.0
JURONG EAST,4 ROOM,273,TOH GUAN RD,101.0,Model A,1999,75 years 09 months,560000.0,5.0,65.0
JURONG EAST,4 ROOM,268,TOH GUAN RD,101.0,Model A,1999,75 years 09 months,520000.0,5.0,65.0
JURONG EAST,5 ROOM,331,JURONG EAST AVE 1,131.0,Model A,1985,62 years,570000.0,2.0,65.0
JURONG EAST,5 ROOM,340,JURONG EAST AVE 1,155.0,Model A-Maisonette,1984,61 years 01 month,750000.0,11.0,65.0
JURONG EAST,5 ROOM,288A,JURONG EAST ST 21,122.0,Improved,2000,77 years 02 months,718000.0,14.0,65.0
JURONG EAST,5 ROOM,258,JURONG EAST ST 24,121.0,Improved,1983,59 years 09 months,608000.0,11.0,65.0
JURONG EAST,5 ROOM,258,JURONG EAST ST 24,121.0,Improved,1983,59 years 08 months,540000.0,8.0,65.0
JURONG EAST,5 ROOM,312,JURONG EAST ST 32,135.0,Model A,1984,61 years 03 months,638000.0,8.0,65.0
JURONG EAST,5 ROOM,405,PANDAN GDNS,117.0,Standard,1979,56 years 05 months,555555.0,23.0,65.0
JURONG EAST,5 ROOM,403,PANDAN GDNS,114.0,Standard,1979,55 years 11 months,458000.0,2.0,65.0
JURONG EAST,5 ROOM,406,PANDAN GDNS,104.0,Standard,1979,55 years 11 months,445000.0,5.0,65.0
JURONG EAST,5 ROOM,272,TOH GUAN RD,121.0,Improved,1999,75 years 11 months,690000.0,14.0,65.0
JURONG EAST,5 ROOM,270,TOH GUAN RD,121.0,Improved,1999,75 years 10 months,650000.0,8.0,65.0
JURONG EAST,5 ROOM,265,TOH GUAN RD,121.0,Improved,1998,75 years 05 months,760000.0,23.0,65.0
JURONG EAST,EXECUTIVE,334,JURONG EAST AVE 1,149.0,Maisonette,1984,61 years,628000.0,2.0,65.0
JURONG EAST,EXECUTIVE,337,JURONG EAST AVE 1,147.0,Maisonette,1985,62 years 01 month,735000.0,8.0,65.0
JURONG EAST,EXECUTIVE,337,JURONG EAST AVE 1,149.0,Maisonette,1985,62 years 02 months,700000.0,11.0,65.0
JURONG EAST,EXECUTIVE,285D,TOH GUAN RD,142.0,Apartment,1998,75 years 07 months,920000.0,17.0,65.0
JURONG EAST,2 ROOM,372,JURONG EAST ST 32,44.0,Model A,2014,90 years 08 months,280000.0,5.0,66.0
JURONG EAST,3 ROOM,115,JURONG EAST ST 13,67.0,New Generation,1981,57 years 11 months,353000.0,11.0,66.0
JURONG EAST,3 ROOM,101,JURONG EAST ST 13,68.0,New Generation,1983,59 years 09 months,390000.0,8.0,66.0
JURONG EAST,3 ROOM,102,JURONG EAST ST 13,68.0,New Generation,1982,58 years 11 months,385000.0,11.0,66.0
JURONG EAST,3 ROOM,211,JURONG EAST ST 21,67.0,New Generation,1983,59 years 10 months,332000.0,5.0,66.0
JURONG EAST,3 ROOM,211,JURONG EAST ST 21,67.0,New Generation,1983,59 years 10 months,375888.0,8.0,66.0
JURONG EAST,3 ROOM,210,JURONG EAST ST 21,67.0,New Generation,1983,60 years,358000.0,5.0,66.0
JURONG EAST,3 ROOM,253,JURONG EAST ST 24,70.0,New Generation,1985,62 years,342000.0,2.0,66.0
JURONG EAST,3 ROOM,301,JURONG EAST ST 32,68.0,New Generation,1983,60 years,320000.0,2.0,66.0
JURONG EAST,3 ROOM,371,JURONG EAST ST 32,64.0,Model A,2014,90 years 08 months,400000.0,8.0,66.0
JURONG EAST,3 ROOM,306,JURONG EAST ST 32,68.0,New Generation,1983,60 years 03 months,363000.0,5.0,66.0
JURONG EAST,3 ROOM,304,JURONG EAST ST 32,67.0,New Generation,1983,60 years 02 months,350000.0,11.0,66.0
JURONG EAST,3 ROOM,36,TEBAN GDNS RD,74.0,Improved,1977,54 years,295000.0,2.0,66.0
JURONG EAST,3 ROOM,57,TEBAN GDNS RD,67.0,Model A,2016,93 years 05 months,430000.0,26.0,66.0
JURONG EAST,4 ROOM,221A,JURONG EAST ST 21,91.0,New Generation,1984,61 years 03 months,435000.0,5.0,66.0
JURONG EAST,4 ROOM,225A,JURONG EAST ST 21,93.0,New Generation,1984,61 years 05 months,459000.0,2.0,66.0
JURONG EAST,4 ROOM,409,PANDAN GDNS,97.0,New Generation,1978,55 years 05 months,430000.0,8.0,66.0
JURONG EAST,4 ROOM,414,PANDAN GDNS,97.0,New Generation,1978,55 years 04 months,393000.0,2.0,66.0
