town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
JURONG WEST,2 ROOM,560A,JURONG WEST ST 42,47.0,Model A,2018,94 years 08 months,325000.0,8.0,65.0
JURONG WEST,3 ROOM,187,BOON LAY AVE,59.0,Improved,1978,55 years 02 months,285000.0,17.0,65.0
JURONG WEST,3 ROOM,216B,BOON LAY AVE,68.0,Model A,2018,95 years 02 months,420000.0,8.0,65.0
JURONG WEST,3 ROOM,186,BOON LAY AVE,59.0,Improved,1975,52 years 05 months,270000.0,11.0,65.0
JURONG WEST,3 ROOM,185,BOON LAY AVE,59.0,Improved,1975,52 years 05 months,275000.0,17.0,65.0
JURONG WEST,3 ROOM,187,BOON LAY AVE,59.0,Improved,1978,55 years 01 month,275000.0,14.0,65.0
JURONG WEST,3 ROOM,181B,BOON LAY DR,68.0,Model A,2014,91 years,388000.0,2.0,65.0
JURONG WEST,3 ROOM,181B,BOON LAY DR,68.0,Model A,2014,91 years,370000.0,2.0,65.0
JURONG WEST,3 ROOM,207,BOON LAY PL,65.0,Improved,1976,53 years,316888.0,8.0,65.0
JURONG WEST,3 ROOM,209,BOON LAY PL,65.0,Improved,1976,53 years,280000.0,2.0,65.0
JURONG WEST,3 ROOM,207,BOON LAY PL,65.0,Improved,1976,53 years,282000.0,5.0,65.0
JURONG WEST,3 ROOM,208,BOON LAY PL,65.0,Improved,1976,53 years 06 months,270000.0,8.0,65.0
JURONG WEST,3 ROOM,214,BOON LAY PL,66.0,Improved,1974,51 years 05 months,285000.0,2.0,65.0
JURONG WEST,3 ROOM,211,BOON LAY PL,65.0,Improved,1976,53 years 06 months,305000.0,17.0,65.0
JURONG WEST,3 ROOM,207,BOON LAY PL,65.0,Improved,1976,52 years 11 months,285000.0,11.0,65.0
JURONG WEST,3 ROOM,207,BOON LAY PL,65.0,Improved,1976,52 years 11 months,290000.0,8.0,65.0
JURONG WEST,3 ROOM,119,HO CHING RD,67.0,Improved,1972,48 years 08 months,310888.0,11.0,65.0
JURONG WEST,3 ROOM,120,HO CHING RD,67.0,Improved,1972,48 years 08 months,281500.0,2.0,65.0
JURONG WEST,3 ROOM,120,HO CHING RD,67.0,Improved,1972,48 years 08 months,280000.0,2.0,65.0
JURONG WEST,3 ROOM,487,JURONG WEST AVE 1,73.0,Model A,1984,61 years 03 months,388000.0,8.0,65.0
JURONG WEST,3 ROOM,489,JURONG WEST AVE 1,73.0,Model A,1984,61 years 03 months,332000.0,2.0,65.0
JURONG WEST,3 ROOM,502,JURONG WEST AVE 1,74.0,Model A,1986,62 years 10 months,345000.0,5.0,65.0
JURONG WEST,3 ROOM,489,JURONG WEST AVE 1,73.0,Model A,1984,61 years 03 months,350000.0,2.0,65.0
JURONG WEST,3 ROOM,698B,JURONG WEST CTRL 3,68.0,Model A,2017,94 years 05 months,470000.0,17.0,65.0
JURONG WEST,3 ROOM,462,JURONG WEST ST 41,73.0,Model A,1984,61 years 01 month,363000.0,5.0,65.0
JURONG WEST,3 ROOM,561B,JURONG WEST ST 42,68.0,Model A,2018,94 years 09 months,395000.0,2.0,65.0
JURONG WEST,3 ROOM,561B,JURONG WEST ST 42,68.0,Model A,2018,94 years 09 months,425000.0,14.0,65.0
JURONG WEST,3 ROOM,561A,JURONG WEST ST 42,68.0,Model A,2018,94 years 09 months,395000.0,2.0,65.0
JURONG WEST,3 ROOM,434,JURONG WEST ST 42,81.0,Model A,1984,61 years 05 months,335000.0,2.0,65.0
JURONG WEST,3 ROOM,561B,JURONG WEST ST 42,68.0,Model A,2018,94 years 09 months,413000.0,8.0,65.0
JURONG WEST,3 ROOM,561B,JURONG WEST ST 42,68.0,Model A,2018,94 years 09 months,430000.0,11.0,65.0
JURONG WEST,3 ROOM,515,JURONG WEST ST 52,75.0,Model A,1984,61 years 01 month,370000.0,8.0,65.0
JURONG WEST,3 ROOM,511,JURONG WEST ST 52,74.0,Model A,1984,60 years 10 months,394000.0,17.0,65.0
JURONG WEST,3 ROOM,516,JURONG WEST ST 52,74.0,Model A,1984,61 years 03 months,395000.0,14.0,65.0
JURONG WEST,3 ROOM,531,JURONG WEST ST 52,67.0,New Generation,1983,60 years 02 months,355000.0,11.0,65.0
JURONG WEST,3 ROOM,936,JURONG WEST ST 91,73.0,Model A,1989,65 years 11 months,320000.0,5.0,65.0
JURONG WEST,3 ROOM,916,JURONG WEST ST 91,73.0,Model A,1988,65 years 02 months,338000.0,8.0,65.0
JURONG WEST,3 ROOM,904,JURONG WEST ST 91,73.0,Model A,1988,65 years 05 months,340000.0,11.0,65.0
JURONG WEST,3 ROOM,339C,KANG CHING RD,67.0,Model A,2012,88 years 10 months,390000.0,5.0,65.0
JURONG WEST,4 ROOM,183C,BOON LAY AVE,92.0,Model A,2015,91 years 08 months,528000.0,14.0,65.0
JURONG WEST,4 ROOM,217A,BOON LAY AVE,94.0,Model A,2018,95 years 02 months,540000.0,5.0,65.0
JURONG WEST,4 ROOM,218C,BOON LAY AVE,94.0,Model A,2018,95 years 02 months,515000.0,5.0,65.0
JURONG WEST,4 ROOM,216B,BOON LAY AVE,94.0,Model A,2018,95 years 02 months,534000.0,5.0,65.0
JURONG WEST,4 ROOM,268C,BOON LAY DR,90.0,Model A,2002,78 years 09 months,435000.0,14.0,65.0
JURONG WEST,4 ROOM,197A,BOON LAY DR,93.0,Model A,2015,91 years 11 months,538000.0,8.0,65.0
JURONG WEST,4 ROOM,197C,BOON LAY DR,93.0,Model A,2015,92 years,575000.0,17.0,65.0
JURONG WEST,4 ROOM,196A,BOON LAY DR,93.0,Model A,2015,91 years 11 months,535000.0,8.0,65.0
