town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
KALLANG/WHAMPOA,2 ROOM,9,JLN BATU,50.0,Standard,1970,47 years,255000.0,2.0,65.0
KALLANG/WHAMPOA,3 ROOM,10A,BENDEMEER RD,68.0,Model A,2017,94 years 07 months,688000.0,35.0,65.0
KALLANG/WHAMPOA,3 ROOM,10C,BENDEMEER RD,68.0,Model A,2017,94 years 07 months,692000.0,32.0,65.0
KALLANG/WHAMPOA,3 ROOM,10A,BENDEMEER RD,68.0,Model A,2017,94 years 07 months,696000.0,23.0,65.0
KALLANG/WHAMPOA,3 ROOM,73,GEYLANG BAHRU,59.0,Improved,1974,50 years 10 months,350000.0,11.0,65.0
KALLANG/WHAMPOA,3 ROOM,73,GEYLANG BAHRU,59.0,Improved,1974,50 years 10 months,320000.0,5.0,65.0
KALLANG/WHAMPOA,3 ROOM,73,GEYLANG BAHRU,59.0,Improved,1974,50 years 10 months,335000.0,14.0,65.0
KALLANG/WHAMPOA,3 ROOM,28,JLN BAHAGIA,56.0,Standard,1971,47 years 08 months,259000.0,8.0,65.0
KALLANG/WHAMPOA,3 ROOM,32,JLN BAHAGIA,56.0,Standard,1971,47 years 08 months,252000.0,5.0,65.0
KALLANG/WHAMPOA,3 ROOM,50,JLN BAHAGIA,89.0,Terrace,1972,49 years 01 month,880000.0,2.0,65.0
KALLANG/WHAMPOA,3 ROOM,2,JLN BATU,60.0,Standard,1969,45 years 08 months,315000.0,5.0,65.0
KALLANG/WHAMPOA,3 ROOM,116B,JLN TENTERAM,67.0,Model A,2017,94 years 06 months,568000.0,29.0,65.0
KALLANG/WHAMPOA,3 ROOM,113D,MCNAIR RD,68.0,Premium Apartment,2017,94 years 07 months,703000.0,29.0,65.0
KALLANG/WHAMPOA,3 ROOM,684,RACE COURSE RD,63.0,Simplified,1986,62 years 08 months,420000.0,8.0,65.0
KALLANG/WHAMPOA,3 ROOM,3,ST. GEORGE'S RD,59.0,Improved,1976,53 years,318888.0,5.0,65.0
KALLANG/WHAMPOA,3 ROOM,20,ST. GEORGE'S RD,67.0,New Generation,1984,61 years 05 months,360000.0,5.0,65.0
KALLANG/WHAMPOA,3 ROOM,8B,UPP BOON KENG RD,70.0,Premium Apartment,2017,94 years 02 months,700000.0,26.0,65.0
KALLANG/WHAMPOA,3 ROOM,8B,UPP BOON KENG RD,70.0,Premium Apartment,2017,94 years 02 months,630000.0,14.0,65.0
KALLANG/WHAMPOA,3 ROOM,74,WHAMPOA DR,66.0,Improved,1981,58 years,295000.0,2.0,65.0
KALLANG/WHAMPOA,3 ROOM,82,WHAMPOA DR,66.0,Improved,1974,51 years 01 month,350000.0,17.0,65.0
KALLANG/WHAMPOA,3 ROOM,98,WHAMPOA DR,65.0,Improved,1974,50 years 09 months,318000.0,8.0,65.0
KALLANG/WHAMPOA,3 ROOM,34,WHAMPOA WEST,68.0,Improved,1972,48 years 08 months,375000.0,8.0,65.0
KALLANG/WHAMPOA,3 ROOM,34,WHAMPOA WEST,78.0,Improved,1972,48 years 08 months,413888.0,2.0,65.0
KALLANG/WHAMPOA,4 ROOM,10C,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,855000.0,8.0,65.0
KALLANG/WHAMPOA,4 ROOM,10A,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,930000.0,38.0,65.0
KALLANG/WHAMPOA,4 ROOM,10C,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,870000.0,14.0,65.0
KALLANG/WHAMPOA,4 ROOM,10C,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,928000.0,41.0,65.0
KALLANG/WHAMPOA,4 ROOM,10A,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,903000.0,26.0,65.0
KALLANG/WHAMPOA,4 ROOM,10B,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,900000.0,35.0,65.0
KALLANG/WHAMPOA,4 ROOM,10C,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,922000.0,32.0,65.0
KALLANG/WHAMPOA,4 ROOM,38B,BENDEMEER RD,89.0,Model A,2012,89 years,695000.0,5.0,65.0
KALLANG/WHAMPOA,4 ROOM,10A,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,1000000.0,41.0,65.0
KALLANG/WHAMPOA,4 ROOM,10A,BENDEMEER RD,93.0,Model A,2017,94 years 06 months,910000.0,26.0,65.0
KALLANG/WHAMPOA,4 ROOM,10C,BENDEMEER RD,93.0,Model A,2017,94 years 06 months,923000.0,29.0,65.0
KALLANG/WHAMPOA,4 ROOM,10B,BENDEMEER RD,93.0,Model A,2017,94 years 07 months,875000.0,14.0,65.0
KALLANG/WHAMPOA,4 ROOM,4,BOON KENG RD,108.0,Model A,1996,73 years 06 months,680000.0,2.0,65.0
KALLANG/WHAMPOA,4 ROOM,4,BOON KENG RD,107.0,Model A,1996,73 years 04 months,700000.0,5.0,65.0
KALLANG/WHAMPOA,4 ROOM,37,CAMBRIDGE RD,100.0,Model A,1997,74 years 06 months,631000.0,2.0,65.0
KALLANG/WHAMPOA,4 ROOM,11,FARRER PK RD,90.0,Model A,2004,81 years 01 month,765000.0,17.0,65.0
KALLANG/WHAMPOA,4 ROOM,15,FARRER PK RD,75.0,Model A,2004,81 years 01 month,620000.0,11.0,65.0
KALLANG/WHAMPOA,4 ROOM,9,GLOUCESTER RD,92.0,New Generation,1976,53 years 06 months,542000.0,14.0,65.0
KALLANG/WHAMPOA,4 ROOM,815,JELLICOE RD,91.0,Model A,2003,79 years 10 months,810000.0,20.0,65.0
KALLANG/WHAMPOA,4 ROOM,16,JLN TENTERAM,75.0,Model A,2002,79 years 04 months,483000.0,8.0,65.0
KALLANG/WHAMPOA,4 ROOM,17,JLN TENTERAM,86.0,Model A,2001,78 years 06 months,550000.0,5.0,65.0
KALLANG/WHAMPOA,4 ROOM,117B,JLN TENTERAM,93.0,Model A,2017,94 years 05 months,790000.0,26.0,65.0
KALLANG/WHAMPOA,4 ROOM,78,LOR LIMAU,93.0,Model A,2018,95 years,860000.0,41.0,65.0
KALLANG/WHAMPOA,4 ROOM,111,MCNAIR RD,84.0,Simplified,1987,63 years 11 months,552000.0,8.0,65.0
KALLANG/WHAMPOA,4 ROOM,113B,MCNAIR RD,93.0,Premium Apartment,2017,94 years 07 months,952000.0,23.0,65.0
KALLANG/WHAMPOA,4 ROOM,113A,MCNAIR RD,93.0,Premium Apartment,2017,94 years 07 months,990000.0,35.0,65.0
KALLANG/WHAMPOA,4 ROOM,113C,MCNAIR RD,93.0,Premium Apartment,2017,94 years 07 months,907500.0,20.0,65.0
KALLANG/WHAMPOA,4 ROOM,122,MCNAIR RD,104.0,Model A,1987,63 years 11 months,628000.0,11.0,65.0
KALLANG/WHAMPOA,4 ROOM,113B,MCNAIR RD,93.0,Premium Apartment,2017,94 years 07 months,838000.0,5.0,65.0
KALLANG/WHAMPOA,4 ROOM,111,MCNAIR RD,84.0,Simplified,1987,63 years 11 months,500000.0,2.0,65.0
KALLANG/WHAMPOA,4 ROOM,113A,MCNAIR RD,93.0,Premium Apartment,2017,94 years 06 months,950000.0,17.0,65.0
KALLANG/WHAMPOA,4 ROOM,109,MCNAIR RD,103.0,Model A,1987,64 years 03 months,655000.0,8.0,65.0
KALLANG/WHAMPOA,4 ROOM,69,MOULMEIN RD,84.0,Improved,1972,49 years 02 months,518000.0,14.0,65.0
KALLANG/WHAMPOA,4 ROOM,4B,ST. GEORGE'S LANE,104.0,Model A,1996,73 years 06 months,677000.0,11.0,65.0
KALLANG/WHAMPOA,4 ROOM,107,TOWNER RD,105.0,Model A,1983,59 years 11 months,625000.0,2.0,65.0
