town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
MARINE PARADE,3 ROOM,47,MARINE CRES,65.0,Improved,1975,52 years 01 month,420000.0,5.0,65.0
MARINE PARADE,3 ROOM,47,MARINE CRES,65.0,Improved,1975,52 years 01 month,375000.0,8.0,65.0
MARINE PARADE,3 ROOM,67,MARINE DR,65.0,Improved,1976,52 years 10 months,355000.0,5.0,65.0
MARINE PARADE,3 ROOM,67,MARINE DR,65.0,Improved,1976,52 years 09 months,418000.0,14.0,65.0
MARINE PARADE,3 ROOM,4,MARINE TER,65.0,Improved,1975,51 years 08 months,330000.0,5.0,65.0
MARINE PARADE,3 ROOM,4,MARINE TER,76.0,Improved,1975,51 years 08 months,445000.0,8.0,65.0
MARINE PARADE,4 ROOM,45,MARINE CRES,88.0,Improved,1975,51 years 11 months,570000.0,11.0,65.0
MARINE PARADE,4 ROOM,61,MARINE DR,87.0,Improved,1976,52 years 08 months,580000.0,11.0,65.0
MARINE PARADE,4 ROOM,74,MARINE DR,82.0,Improved,1976,53 years 01 month,490000.0,14.0,65.0
MARINE PARADE,4 ROOM,75,MARINE DR,82.0,Improved,1976,53 years,570000.0,14.0,65.0
MARINE PARADE,4 ROOM,18,MARINE TER,88.0,Improved,1975,51 years 09 months,480000.0,5.0,65.0
MARINE PARADE,5 ROOM,29,MARINE CRES,120.0,Standard,1975,51 years 10 months,770000.0,14.0,65.0
MARINE PARADE,5 ROOM,71,MARINE DR,128.0,Standard,1977,53 years 08 months,838000.0,11.0,65.0
MARINE PARADE,5 ROOM,12,MARINE TER,120.0,Standard,1975,51 years 08 months,865000.0,14.0,65.0
MARINE PARADE,5 ROOM,12,MARINE TER,117.0,Standard,1975,51 years 08 months,875000.0,20.0,65.0
MARINE PARADE,3 ROOM,35,MARINE CRES,70.0,Improved,1975,51 years 10 months,452000.0,8.0,66.0
MARINE PARADE,3 ROOM,65,MARINE DR,65.0,Improved,1976,52 years 09 months,405000.0,11.0,66.0
MARINE PARADE,3 ROOM,67,MARINE DR,65.0,Improved,1976,52 years 09 months,410000.0,14.0,66.0
MARINE PARADE,3 ROOM,57,MARINE TER,65.0,Improved,1975,51 years 10 months,370000.0,11.0,66.0
MARINE PARADE,4 ROOM,35,MARINE CRES,82.0,Improved,1975,51 years 11 months,488000.0,2.0,66.0
MARINE PARADE,4 ROOM,61,MARINE DR,87.0,Improved,1976,52 years 07 months,568000.0,11.0,66.0
MARINE PARADE,4 ROOM,61,MARINE DR,87.0,Improved,1976,52 years 07 months,628000.0,8.0,66.0
MARINE PARADE,4 ROOM,18,MARINE TER,88.0,Improved,1975,51 years 10 months,610000.0,11.0,66.0
MARINE PARADE,5 ROOM,28,MARINE CRES,126.0,Standard,1975,51 years 09 months,1010888.0,23.0,66.0
MARINE PARADE,5 ROOM,44,MARINE CRES,120.0,Standard,1975,52 years 05 months,800000.0,2.0,66.0
MARINE PARADE,5 ROOM,28,MARINE CRES,126.0,Standard,1975,51 years 09 months,890000.0,14.0,66.0
MARINE PARADE,5 ROOM,29,MARINE CRES,120.0,Standard,1975,51 years 09 months,788000.0,14.0,66.0
MARINE PARADE,5 ROOM,78,MARINE DR,122.0,Standard,1977,53 years 07 months,812500.0,5.0,66.0
MARINE PARADE,5 ROOM,13,MARINE TER,126.0,Standard,1975,51 years 07 months,839980.0,14.0,66.0
MARINE PARADE,5 ROOM,3,MARINE TER,120.0,Standard,1975,51 years 07 months,740000.0,5.0,66.0
MARINE PARADE,5 ROOM,2,MARINE TER,117.0,Standard,1975,51 years 06 months,880000.0,17.0,66.0
MARINE PARADE,3 ROOM,47,MARINE CRES,76.0,Improved,1975,52 years,437000.0,8.0,67.0
MARINE PARADE,3 ROOM,32,MARINE CRES,76.0,Improved,1975,51 years 10 months,460000.0,11.0,67.0
MARINE PARADE,3 ROOM,33,MARINE CRES,65.0,Improved,1975,51 years 09 months,425000.0,5.0,67.0
MARINE PARADE,3 ROOM,64,MARINE DR,79.0,Improved,1976,52 years 08 months,462000.0,5.0,67.0
MARINE PARADE,3 ROOM,6,MARINE TER,65.0,Improved,1975,51 years 06 months,410000.0,11.0,67.0
MARINE PARADE,3 ROOM,8,MARINE TER,65.0,Improved,1975,51 years 06 months,400000.0,11.0,67.0
MARINE PARADE,3 ROOM,5,MARINE TER,65.0,Improved,1975,51 years 06 months,400000.0,11.0,67.0
MARINE PARADE,3 ROOM,7,MARINE TER,59.0,Improved,1975,51 years 05 months,390000.0,11.0,67.0
MARINE PARADE,4 ROOM,60,MARINE DR,87.0,Improved,1976,52 years 07 months,455000.0,2.0,67.0
MARINE PARADE,4 ROOM,54,MARINE TER,88.0,Improved,1975,51 years 06 months,550000.0,14.0,67.0
MARINE PARADE,5 ROOM,28,MARINE CRES,128.0,Standard,1975,51 years 08 months,860000.0,11.0,67.0
MARINE PARADE,5 ROOM,44,MARINE CRES,120.0,Standard,1975,52 years 04 months,828000.0,8.0,67.0
MARINE PARADE,5 ROOM,78,MARINE DR,120.0,Standard,1977,53 years 06 months,1028000.0,17.0,67.0
MARINE PARADE,5 ROOM,77,MARINE DR,120.0,Standard,1977,53 years 05 months,938000.0,23.0,67.0
MARINE PARADE,5 ROOM,14,MARINE TER,120.0,Standard,1975,51 years 06 months,938000.0,14.0,67.0
MARINE PARADE,5 ROOM,13,MARINE TER,123.0,Standard,1975,51 years 06 months,875000.0,23.0,67.0
MARINE PARADE,5 ROOM,14,MARINE TER,117.0,Standard,1975,51 years 06 months,780000.0,11.0,67.0
MARINE PARADE,3 ROOM,34,MARINE CRES,71.0,Improved,1975,51 years 09 months,370000.0,2.0,68.0
MARINE PARADE,3 ROOM,32,MARINE CRES,65.0,Improved,1975,51 years 09 months,425000.0,14.0,68.0
MARINE PARADE,3 ROOM,32,MARINE CRES,76.0,Improved,1975,51 years 08 months,480000.0,14.0,68.0
MARINE PARADE,3 ROOM,67,MARINE DR,65.0,Improved,1976,52 years 07 months,390000.0,11.0,68.0
MARINE PARADE,3 ROOM,66,MARINE DR,65.0,Improved,1976,52 years 07 months,436888.0,11.0,68.0
MARINE PARADE,3 ROOM,19,MARINE TER,77.0,Improved,1975,51 years 05 months,460000.0,2.0,68.0
MARINE PARADE,3 ROOM,4,MARINE TER,76.0,Improved,1975,51 years 05 months,466000.0,11.0,68.0
MARINE PARADE,3 ROOM,58,MARINE TER,65.0,Improved,1975,51 years 08 months,412000.0,11.0,68.0
