town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
PASIR RIS,2 ROOM,528A,PASIR RIS ST 51,47.0,Model A,2015,92 years 02 months,340000.0,5.0,65.0
PASIR RIS,3 ROOM,530A,PASIR RIS DR 1,65.0,DBSS,2015,92 years,480000.0,5.0,65.0
PASIR RIS,4 ROOM,530D,PASIR RIS DR 1,86.0,DBSS,2015,92 years,708888.0,8.0,65.0
PASIR RIS,4 ROOM,530A,PASIR RIS DR 1,86.0,DBSS,2015,92 years,680000.0,5.0,65.0
PASIR RIS,4 ROOM,480,PASIR RIS DR 4,103.0,Model A,1992,69 years 07 months,505000.0,5.0,65.0
PASIR RIS,4 ROOM,461,PASIR RIS DR 4,105.0,Model A,1992,69 years 07 months,485000.0,5.0,65.0
PASIR RIS,4 ROOM,484,PASIR RIS DR 4,105.0,Model A,1992,69 years 08 months,498000.0,5.0,65.0
PASIR RIS,4 ROOM,481,PASIR RIS DR 4,105.0,Model A,1992,69 years 07 months,505000.0,8.0,65.0
PASIR RIS,4 ROOM,425,PASIR RIS DR 6,104.0,Model A,1989,66 years 06 months,460000.0,2.0,65.0
PASIR RIS,4 ROOM,474,PASIR RIS DR 6,105.0,Model A,1989,66 years 07 months,505000.0,8.0,65.0
PASIR RIS,4 ROOM,473,PASIR RIS DR 6,103.0,Model A,1989,66 years 02 months,495888.0,11.0,65.0
PASIR RIS,4 ROOM,113,PASIR RIS ST 11,106.0,Model A,1990,66 years 10 months,487000.0,8.0,65.0
PASIR RIS,4 ROOM,143,PASIR RIS ST 11,105.0,Model A,1995,71 years 07 months,465000.0,5.0,65.0
PASIR RIS,4 ROOM,102,PASIR RIS ST 12,103.0,Model A,1988,65 years 07 months,495000.0,11.0,65.0
PASIR RIS,4 ROOM,107,PASIR RIS ST 12,104.0,Model A,1989,65 years 08 months,485000.0,14.0,65.0
PASIR RIS,4 ROOM,558,PASIR RIS ST 51,104.0,Model A,1993,70 years 03 months,505000.0,14.0,65.0
