town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
PUNGGOL,2 ROOM,672C,EDGEFIELD PLAINS,44.0,Model A,2015,92 years 07 months,280000.0,5.0,65.0
PUNGGOL,2 ROOM,672A,EDGEFIELD PLAINS,44.0,Model A,2015,92 years 07 months,310000.0,5.0,65.0
PUNGGOL,2 ROOM,222A,SUMANG LANE,48.0,Model A,2018,95 years 06 months,320000.0,8.0,65.0
PUNGGOL,3 ROOM,662A,EDGEDALE PLAINS,67.0,Premium Apartment,2017,94 years,450000.0,14.0,65.0
PUNGGOL,3 ROOM,662B,EDGEDALE PLAINS,67.0,Premium Apartment,2017,94 years,410000.0,8.0,65.0
PUNGGOL,3 ROOM,670A,EDGEFIELD PLAINS,68.0,Premium Apartment,2016,93 years 01 month,422000.0,2.0,65.0
PUNGGOL,3 ROOM,601D,PUNGGOL CTRL,70.0,Model A,2012,89 years 02 months,458000.0,14.0,65.0
PUNGGOL,3 ROOM,613B,PUNGGOL DR,68.0,Model A,2012,89 years 07 months,440000.0,11.0,65.0
PUNGGOL,3 ROOM,259B,PUNGGOL FIELD,68.0,Model A,2016,93 years 01 month,400000.0,8.0,65.0
PUNGGOL,3 ROOM,208A,PUNGGOL PL,67.0,Model A,2014,91 years 01 month,450000.0,11.0,65.0
PUNGGOL,3 ROOM,603C,PUNGGOL RD,68.0,Model A,2012,89 years 04 months,445000.0,14.0,65.0
PUNGGOL,3 ROOM,211D,PUNGGOL WALK,67.0,Model A,2014,90 years 11 months,436000.0,14.0,65.0
PUNGGOL,3 ROOM,310C,PUNGGOL WALK,67.0,Premium Apartment,2016,93 years 01 month,450000.0,8.0,65.0
PUNGGOL,3 ROOM,310B,PUNGGOL WALK,67.0,Premium Apartment,2016,93 years,428000.0,2.0,65.0
PUNGGOL,3 ROOM,224B,SUMANG LANE,68.0,Model A,2018,95 years 07 months,390000.0,2.0,65.0
PUNGGOL,4 ROOM,662A,EDGEDALE PLAINS,92.0,Premium Apartment,2017,94 years,580000.0,20.0,65.0
PUNGGOL,4 ROOM,682A,EDGEDALE PLAINS,93.0,Premium Apartment,2018,95 years 03 months,563000.0,8.0,65.0
PUNGGOL,4 ROOM,120A,EDGEDALE PLAINS,93.0,Model A,2017,94 years,540000.0,14.0,65.0
PUNGGOL,4 ROOM,109B,EDGEDALE PLAINS,90.0,Model A,2003,80 years,470000.0,17.0,65.0
PUNGGOL,4 ROOM,662A,EDGEDALE PLAINS,92.0,Premium Apartment,2017,94 years,535000.0,8.0,65.0
PUNGGOL,4 ROOM,682B,EDGEDALE PLAINS,93.0,Premium Apartment,2018,95 years 03 months,580000.0,11.0,65.0
PUNGGOL,4 ROOM,661B,EDGEDALE PLAINS,92.0,Premium Apartment,2017,94 years,570000.0,11.0,65.0
PUNGGOL,4 ROOM,661A,EDGEDALE PLAINS,92.0,Premium Apartment,2017,93 years 11 months,575000.0,11.0,65.0
PUNGGOL,4 ROOM,662B,EDGEDALE PLAINS,92.0,Premium Apartment,2017,93 years 11 months,558000.0,17.0,65.0
PUNGGOL,4 ROOM,104B,EDGEFIELD PLAINS,90.0,Model A,2003,80 years 01 month,452000.0,14.0,65.0
PUNGGOL,4 ROOM,615A,EDGEFIELD PLAINS,92.0,Model A,2012,89 years 07 months,538000.0,14.0,65.0
PUNGGOL,4 ROOM,104A,EDGEFIELD PLAINS,90.0,Model A,2003,80 years,450000.0,2.0,65.0
PUNGGOL,4 ROOM,673B,EDGEFIELD PLAINS,90.0,Model A,2015,92 years 07 months,520000.0,5.0,65.0
PUNGGOL,4 ROOM,671B,EDGEFIELD PLAINS,90.0,Model A,2015,92 years 07 months,490000.0,2.0,65.0
PUNGGOL,4 ROOM,615C,EDGEFIELD PLAINS,92.0,Model A,2012,89 years 07 months,480000.0,8.0,65.0
PUNGGOL,4 ROOM,673A,EDGEFIELD PLAINS,90.0,Model A,2015,92 years 07 months,548888.0,11.0,65.0
PUNGGOL,4 ROOM,114,EDGEFIELD PLAINS,95.0,Premium Apartment,2003,80 years 02 months,475000.0,11.0,65.0
PUNGGOL,4 ROOM,673A,EDGEFIELD PLAINS,90.0,Model A,2015,92 years 07 months,500000.0,2.0,65.0
PUNGGOL,4 ROOM,614A,EDGEFIELD PLAINS,92.0,Model A,2012,89 years 07 months,558888.0,8.0,65.0
PUNGGOL,4 ROOM,671B,EDGEFIELD PLAINS,90.0,Model A,2015,92 years 06 months,520000.0,8.0,65.0
PUNGGOL,4 ROOM,622C,PUNGGOL CTRL,94.0,Model A,2014,90 years 11 months,518000.0,5.0,65.0
PUNGGOL,4 ROOM,649,PUNGGOL CTRL,90.0,Premium Apartment,2005,81 years 08 months,470000.0,11.0,65.0
PUNGGOL,4 ROOM,623B,PUNGGOL CTRL,94.0,Model A,2014,90 years 11 months,535888.0,14.0,65.0
PUNGGOL,4 ROOM,303C,PUNGGOL CTRL,93.0,Premium Apartment,2010,87 years 02 months,655000.0,8.0,65.0
PUNGGOL,4 ROOM,161A,PUNGGOL CTRL,95.0,Premium Apartment,2004,81 years,518000.0,20.0,65.0
PUNGGOL,4 ROOM,298,PUNGGOL CTRL,92.0,Premium Apartment,2003,80 years 05 months,498000.0,2.0,65.0
PUNGGOL,4 ROOM,601D,PUNGGOL CTRL,93.0,Model A,2012,89 years 02 months,530000.0,11.0,65.0
PUNGGOL,4 ROOM,303B,PUNGGOL CTRL,93.0,Premium Apartment,2010,87 years 02 months,485000.0,2.0,65.0
PUNGGOL,4 ROOM,303C,PUNGGOL CTRL,93.0,Premium Apartment,2010,87 years 02 months,512888.0,2.0,65.0
PUNGGOL,4 ROOM,624C,PUNGGOL CTRL,94.0,Model A,2014,90 years 11 months,568000.0,8.0,65.0
PUNGGOL,4 ROOM,612A,PUNGGOL DR,93.0,Model A,2012,89 years 07 months,530000.0,17.0,65.0
PUNGGOL,4 ROOM,618D,PUNGGOL DR,93.0,Premium Apartment,2013,90 years 04 months,545000.0,8.0,65.0
PUNGGOL,4 ROOM,678B,PUNGGOL DR,93.0,Premium Apartment,2016,93 years 04 months,615000.0,17.0,65.0
PUNGGOL,4 ROOM,642A,PUNGGOL DR,91.0,Premium Apartment,2005,81 years 08 months,480000.0,17.0,65.0
PUNGGOL,4 ROOM,619D,PUNGGOL DR,93.0,Premium Apartment,2013,90 years 04 months,505000.0,5.0,65.0
PUNGGOL,4 ROOM,618D,PUNGGOL DR,93.0,Premium Apartment,2013,90 years 04 months,505000.0,5.0,65.0
PUNGGOL,4 ROOM,663A,PUNGGOL DR,90.0,Model A,2016,93 years 01 month,540000.0,14.0,65.0
PUNGGOL,4 ROOM,642D,PUNGGOL DR,92.0,Premium Apartment,2005,81 years 08 months,490000.0,2.0,65.0
PUNGGOL,4 ROOM,617A,PUNGGOL DR,93.0,Premium Apartment,2013,90 years 04 months,540000.0,11.0,65.0
PUNGGOL,4 ROOM,676A,PUNGGOL DR,93.0,Premium Apartment,2016,93 years 04 months,598000.0,11.0,65.0
PUNGGOL,4 ROOM,679C,PUNGGOL DR,93.0,Premium Apartment,2016,93 years 04 months,605000.0,11.0,65.0
PUNGGOL,4 ROOM,678B,PUNGGOL DR,93.0,Premium Apartment,2016,93 years 03 months,618888.0,14.0,65.0
PUNGGOL,4 ROOM,676C,PUNGGOL DR,93.0,Premium Apartment,2016,93 years 03 months,628000.0,14.0,65.0
PUNGGOL,4 ROOM,305D,PUNGGOL DR,93.0,Premium Apartment,2012,89 years 01 month,600000.0,14.0,65.0
PUNGGOL,4 ROOM,167C,PUNGGOL EAST,92.0,Premium Apartment,2009,85 years 10 months,435000.0,2.0,65.0
PUNGGOL,4 ROOM,167D,PUNGGOL EAST,92.0,Premium Apartment,2009,85 years 09 months,525000.0,17.0,65.0
