town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
QUEENSTOWN,3 ROOM,83,C'WEALTH CL,60.0,Standard,1967,43 years 08 months,328000.0,11.0,65.0
QUEENSTOWN,3 ROOM,97,C'WEALTH CRES,59.0,Standard,1970,47 years 01 month,293000.0,2.0,65.0
QUEENSTOWN,3 ROOM,99,C'WEALTH CRES,55.0,Standard,1970,47 years 01 month,300000.0,2.0,65.0
QUEENSTOWN,3 ROOM,51,C'WEALTH DR,63.0,Model A,2015,91 years 09 months,598000.0,11.0,65.0
QUEENSTOWN,3 ROOM,28B,DOVER CRES,69.0,Model A,2012,88 years 10 months,585000.0,38.0,65.0
QUEENSTOWN,3 ROOM,3,DOVER RD,65.0,Improved,1975,52 years 02 months,358000.0,11.0,65.0
QUEENSTOWN,3 ROOM,32,GHIM MOH LINK,68.0,Model A,2018,95 years 01 month,718000.0,29.0,65.0
QUEENSTOWN,3 ROOM,33,GHIM MOH LINK,68.0,Model A,2018,95 years 01 month,648000.0,14.0,65.0
QUEENSTOWN,3 ROOM,5,GHIM MOH RD,65.0,Improved,1976,53 years 02 months,345000.0,2.0,65.0
QUEENSTOWN,3 ROOM,6,GHIM MOH RD,65.0,Improved,1976,53 years 02 months,415000.0,14.0,65.0
QUEENSTOWN,3 ROOM,3,GHIM MOH RD,65.0,Improved,1976,53 years 01 month,375000.0,5.0,65.0
QUEENSTOWN,3 ROOM,9,HOLLAND AVE,65.0,Improved,1974,51 years,420000.0,5.0,65.0
QUEENSTOWN,3 ROOM,8,HOLLAND AVE,59.0,Improved,1974,50 years 11 months,410000.0,11.0,65.0
QUEENSTOWN,3 ROOM,13,HOLLAND DR,73.0,Improved,1975,51 years 07 months,440000.0,5.0,65.0
QUEENSTOWN,3 ROOM,153,MEI LING ST,67.0,Improved,1970,46 years 08 months,310000.0,8.0,65.0
QUEENSTOWN,3 ROOM,161,MEI LING ST,72.0,Improved,1970,47 years 02 months,442000.0,11.0,65.0
QUEENSTOWN,3 ROOM,162,MEI LING ST,66.0,Improved,1970,46 years 08 months,310000.0,11.0,65.0
QUEENSTOWN,3 ROOM,165,STIRLING RD,70.0,Improved,1970,47 years 02 months,347000.0,8.0,65.0
QUEENSTOWN,3 ROOM,171,STIRLING RD,60.0,Improved,1970,47 years 01 month,325000.0,5.0,65.0
QUEENSTOWN,4 ROOM,50,C'WEALTH DR,93.0,Model A,2015,91 years 09 months,810000.0,8.0,65.0
QUEENSTOWN,4 ROOM,50,C'WEALTH DR,96.0,Model A,2015,91 years 08 months,900000.0,35.0,65.0
QUEENSTOWN,4 ROOM,53,C'WEALTH DR,93.0,Model A,2015,91 years 08 months,830000.0,11.0,65.0
QUEENSTOWN,4 ROOM,93,DAWSON RD,97.0,Premium Apartment Loft,2016,92 years 11 months,915000.0,29.0,65.0
QUEENSTOWN,4 ROOM,88,DAWSON RD,87.0,Premium Apartment,2016,93 years 03 months,890000.0,29.0,65.0
QUEENSTOWN,4 ROOM,86,DAWSON RD,87.0,Premium Apartment,2016,93 years 03 months,858000.0,11.0,65.0
QUEENSTOWN,4 ROOM,90,DAWSON RD,83.0,Premium Apartment,2016,92 years 11 months,900000.0,23.0,65.0
QUEENSTOWN,4 ROOM,89,DAWSON RD,97.0,Premium Apartment Loft,2016,92 years 11 months,1045000.0,35.0,65.0
QUEENSTOWN,4 ROOM,89,DAWSON RD,87.0,Premium Apartment,2016,92 years 11 months,900000.0,20.0,65.0
QUEENSTOWN,4 ROOM,87,DAWSON RD,83.0,Premium Apartment,2016,93 years 03 months,950000.0,38.0,65.0
QUEENSTOWN,4 ROOM,89,DAWSON RD,95.0,Premium Apartment Loft,2016,92 years 10 months,955000.0,14.0,65.0
QUEENSTOWN,4 ROOM,86,DAWSON RD,83.0,Premium Apartment,2016,93 years 02 months,685000.0,2.0,65.0
QUEENSTOWN,4 ROOM,18,DOVER CRES,87.0,Model A,2003,80 years 04 months,640000.0,2.0,65.0
QUEENSTOWN,4 ROOM,28D,DOVER CRES,95.0,Model A,2012,88 years 10 months,783000.0,11.0,65.0
QUEENSTOWN,4 ROOM,23,DOVER CRES,88.0,Improved,1976,53 years 01 month,429888.0,5.0,65.0
QUEENSTOWN,4 ROOM,33,GHIM MOH LINK,93.0,Model A,2018,95 years 01 month,703200.0,23.0,65.0
QUEENSTOWN,4 ROOM,32,GHIM MOH LINK,93.0,Model A,2018,95 years 01 month,1018000.0,38.0,65.0
QUEENSTOWN,4 ROOM,33,GHIM MOH LINK,93.0,Model A,2018,95 years,955000.0,23.0,65.0
QUEENSTOWN,4 ROOM,15,GHIM MOH RD,82.0,Improved,1977,53 years 07 months,555000.0,14.0,65.0
QUEENSTOWN,4 ROOM,18B,HOLLAND DR,87.0,Model A,2012,89 years 04 months,780000.0,14.0,65.0
QUEENSTOWN,4 ROOM,18C,HOLLAND DR,92.0,Model A,2012,89 years 04 months,846000.0,11.0,65.0
QUEENSTOWN,4 ROOM,13,HOLLAND DR,88.0,Improved,1975,51 years 07 months,600000.0,17.0,65.0
QUEENSTOWN,4 ROOM,49,STRATHMORE AVE,90.0,Model A,2006,83 years 02 months,826000.0,26.0,65.0
QUEENSTOWN,4 ROOM,61C,STRATHMORE AVE,97.0,Model A,2011,88 years 03 months,840000.0,14.0,65.0
QUEENSTOWN,4 ROOM,61B,STRATHMORE AVE,96.0,Model A,2011,88 years 03 months,820000.0,11.0,65.0
QUEENSTOWN,4 ROOM,61B,STRATHMORE AVE,97.0,Model A,2011,88 years 02 months,828000.0,8.0,65.0
QUEENSTOWN,4 ROOM,55,STRATHMORE AVE,95.0,Model A,2002,78 years 11 months,725000.0,5.0,65.0
QUEENSTOWN,5 ROOM,132,CLARENCE LANE,121.0,Improved,1996,73 years 03 months,885000.0,5.0,65.0
QUEENSTOWN,5 ROOM,86,DAWSON RD,104.0,Premium Apartment,2016,93 years 02 months,998000.0,8.0,65.0
QUEENSTOWN,5 ROOM,12,DOVER CL EAST,117.0,Standard,1978,54 years 08 months,850000.0,26.0,65.0
QUEENSTOWN,5 ROOM,28D,DOVER CRES,124.0,Improved,2012,88 years 10 months,865000.0,2.0,65.0
QUEENSTOWN,5 ROOM,18,DOVER CRES,112.0,Improved,2003,80 years 03 months,885000.0,29.0,65.0
QUEENSTOWN,5 ROOM,28A,DOVER CRES,124.0,Improved,2012,88 years 09 months,950000.0,5.0,65.0
QUEENSTOWN,5 ROOM,21,HOLLAND DR,117.0,Standard,1975,51 years 08 months,868000.0,23.0,65.0
QUEENSTOWN,5 ROOM,21,HOLLAND DR,114.0,Standard,1975,51 years 08 months,650000.0,5.0,65.0
QUEENSTOWN,5 ROOM,83,STRATHMORE AVE,125.0,Improved,1997,74 years 02 months,905000.0,8.0,65.0
QUEENSTOWN,5 ROOM,56,STRATHMORE AVE,110.0,Improved,2002,79 years,860000.0,8.0,65.0
QUEENSTOWN,5 ROOM,59,STRATHMORE AVE,110.0,Improved,2000,77 years 05 months,1050000.0,26.0,65.0
QUEENSTOWN,5 ROOM,51,STRATHMORE AVE,110.0,Improved,2006,83 years 05 months,940000.0,20.0,65.0
QUEENSTOWN,5 ROOM,55,STRATHMORE AVE,110.0,Improved,2002,78 years 11 months,880000.0,5.0,65.0
QUEENSTOWN,2 ROOM,52,C'WEALTH DR,47.0,Model A,2015,91 years 08 months,428000.0,8.0,66.0
QUEENSTOWN,2 ROOM,18,GHIM MOH RD,45.0,Improved,1977,53 years 06 months,270000.0,8.0,66.0
QUEENSTOWN,3 ROOM,84,C'WEALTH CL,58.0,Standard,1967,43 years 07 months,268000.0,11.0,66.0
QUEENSTOWN,3 ROOM,93,C'WEALTH DR,60.0,Standard,1967,43 years 07 months,315000.0,5.0,66.0
QUEENSTOWN,3 ROOM,93,C'WEALTH DR,69.0,Standard,1967,43 years 07 months,320000.0,5.0,66.0
QUEENSTOWN,3 ROOM,87,DAWSON RD,65.0,Premium Apartment,2016,93 years 02 months,772888.0,44.0,66.0
QUEENSTOWN,3 ROOM,21,DOVER CRES,65.0,Improved,1976,53 years 01 month,333800.0,5.0,66.0
QUEENSTOWN,3 ROOM,3,DOVER RD,73.0,Improved,1975,52 years 01 month,390000.0,2.0,66.0
QUEENSTOWN,3 ROOM,3,DOVER RD,65.0,Improved,1975,52 years 01 month,379000.0,8.0,66.0
QUEENSTOWN,3 ROOM,29,GHIM MOH LINK,68.0,Model A,2018,95 years,645888.0,26.0,66.0
QUEENSTOWN,3 ROOM,29,GHIM MOH LINK,68.0,Model A,2018,95 years,635000.0,20.0,66.0
QUEENSTOWN,3 ROOM,29,GHIM MOH LINK,68.0,Model A,2018,95 years,680000.0,35.0,66.0
QUEENSTOWN,3 ROOM,32,GHIM MOH LINK,68.0,Model A,2018,94 years 11 months,700000.0,32.0,66.0
QUEENSTOWN,3 ROOM,6,GHIM MOH RD,65.0,Improved,1976,53 years 01 month,370000.0,14.0,66.0
QUEENSTOWN,3 ROOM,1,GHIM MOH RD,65.0,Improved,1976,53 years 01 month,428000.0,14.0,66.0
QUEENSTOWN,3 ROOM,21,GHIM MOH RD,65.0,Improved,1977,53 years 11 months,345000.0,2.0,66.0
QUEENSTOWN,3 ROOM,3,GHIM MOH RD,65.0,Improved,1976,53 years 01 month,363000.0,5.0,66.0
QUEENSTOWN,3 ROOM,2,GHIM MOH RD,65.0,Improved,1976,53 years 01 month,360000.0,2.0,66.0
QUEENSTOWN,3 ROOM,2,HOLLAND AVE,65.0,Improved,1974,50 years 11 months,408000.0,11.0,66.0
QUEENSTOWN,3 ROOM,2,HOLLAND AVE,65.0,Improved,1974,50 years 10 months,408000.0,5.0,66.0
QUEENSTOWN,3 ROOM,18B,HOLLAND DR,67.0,Model A,2012,89 years 03 months,598000.0,5.0,66.0
QUEENSTOWN,3 ROOM,13,HOLLAND DR,65.0,Improved,1975,51 years 07 months,468000.0,20.0,66.0
QUEENSTOWN,3 ROOM,157,MEI LING ST,69.0,Improved,1970,46 years 07 months,358000.0,14.0,66.0
QUEENSTOWN,3 ROOM,158,MEI LING ST,66.0,Improved,1970,46 years 07 months,320000.0,5.0,66.0
QUEENSTOWN,3 ROOM,157,MEI LING ST,69.0,Improved,1970,46 years 07 months,348000.0,5.0,66.0
QUEENSTOWN,3 ROOM,171,STIRLING RD,60.0,Improved,1970,47 years 01 month,342888.0,11.0,66.0
QUEENSTOWN,3 ROOM,169,STIRLING RD,70.0,Improved,1970,47 years 01 month,350000.0,8.0,66.0
QUEENSTOWN,3 ROOM,171,STIRLING RD,70.0,Improved,1970,47 years 01 month,370000.0,11.0,66.0
QUEENSTOWN,4 ROOM,87,DAWSON RD,83.0,Premium Apartment,2016,93 years 02 months,868000.0,23.0,66.0
QUEENSTOWN,4 ROOM,88,DAWSON RD,83.0,Premium Apartment,2016,93 years 02 months,855000.0,14.0,66.0
QUEENSTOWN,4 ROOM,88,DAWSON RD,83.0,Premium Apartment,2016,93 years 02 months,850000.0,14.0,66.0
QUEENSTOWN,4 ROOM,88,DAWSON RD,83.0,Premium Apartment,2016,93 years 02 months,850000.0,14.0,66.0
QUEENSTOWN,4 ROOM,87,DAWSON RD,83.0,Premium Apartment,2016,93 years 02 months,940000.0,41.0,66.0
QUEENSTOWN,4 ROOM,28C,DOVER CRES,95.0,Model A,2012,88 years 09 months,735000.0,5.0,66.0
QUEENSTOWN,4 ROOM,28C,DOVER CRES,95.0,Model A,2012,88 years 09 months,740000.0,8.0,66.0
QUEENSTOWN,4 ROOM,5,DOVER CRES,94.0,New Generation,1979,56 years 05 months,518000.0,11.0,66.0
QUEENSTOWN,4 ROOM,17,DOVER CRES,92.0,Model A,2003,80 years 03 months,720000.0,5.0,66.0
QUEENSTOWN,4 ROOM,23,DOVER CRES,88.0,Improved,1976,53 years 01 month,450000.0,5.0,66.0
QUEENSTOWN,4 ROOM,33,GHIM MOH LINK,93.0,Model A,2018,95 years,950000.0,11.0,66.0
QUEENSTOWN,4 ROOM,33,GHIM MOH LINK,93.0,Model A,2018,95 years,950000.0,35.0,66.0
QUEENSTOWN,4 ROOM,33,GHIM MOH LINK,93.0,Model A,2018,95 years,960000.0,32.0,66.0
QUEENSTOWN,4 ROOM,33,GHIM MOH LINK,93.0,Model A,2018,95 years,930000.0,8.0,66.0
QUEENSTOWN,4 ROOM,32,GHIM MOH LINK,93.0,Model A,2018,95 years,942000.0,11.0,66.0
QUEENSTOWN,4 ROOM,32,GHIM MOH LINK,93.0,Model A,2018,95 years,970000.0,26.0,66.0
QUEENSTOWN,4 ROOM,28,GHIM MOH LINK,92.0,Model A,2013,89 years 10 months,860000.0,17.0,66.0
QUEENSTOWN,4 ROOM,22,GHIM MOH LINK,93.0,Model A,2013,89 years 10 months,813000.0,5.0,66.0
QUEENSTOWN,4 ROOM,32,GHIM MOH LINK,93.0,Model A,2018,94 years 11 months,960000.0,29.0,66.0
QUEENSTOWN,4 ROOM,22,GHIM MOH LINK,92.0,Model A,2013,89 years 09 months,868000.0,8.0,66.0
QUEENSTOWN,4 ROOM,13,HOLLAND DR,88.0,Improved,1975,51 years 07 months,580000.0,17.0,66.0
QUEENSTOWN,4 ROOM,13,HOLLAND DR,88.0,Improved,1975,51 years 07 months,505000.0,11.0,66.0
QUEENSTOWN,4 ROOM,49,STRATHMORE AVE,90.0,Model A,2006,83 years 01 month,750000.0,11.0,66.0
QUEENSTOWN,4 ROOM,52,STRATHMORE AVE,90.0,Model A,2006,83 years 06 months,808000.0,20.0,66.0
QUEENSTOWN,4 ROOM,52,STRATHMORE AVE,90.0,Model A,2006,83 years 05 months,883000.0,41.0,66.0
QUEENSTOWN,4 ROOM,52,STRATHMORE AVE,90.0,Model A,2006,83 years 06 months,825000.0,5.0,66.0
QUEENSTOWN,5 ROOM,92,DAWSON RD,122.0,Premium Apartment Loft,2016,92 years 10 months,1418000.0,38.0,66.0
QUEENSTOWN,5 ROOM,86,DAWSON RD,108.0,Premium Apartment,2016,93 years 02 months,1190000.0,20.0,66.0
QUEENSTOWN,5 ROOM,26,DOVER CRES,120.0,Standard,1978,54 years 07 months,640000.0,5.0,66.0
QUEENSTOWN,5 ROOM,17,DOVER CRES,111.0,Improved,2003,80 years 03 months,840000.0,20.0,66.0
QUEENSTOWN,5 ROOM,30,HOLLAND CL,125.0,Improved,1997,74 years 04 months,980000.0,5.0,66.0
QUEENSTOWN,5 ROOM,20,HOLLAND DR,114.0,Standard,1975,51 years 07 months,805000.0,14.0,66.0
QUEENSTOWN,5 ROOM,56,STRATHMORE AVE,110.0,Improved,2002,78 years 11 months,894000.0,17.0,66.0
QUEENSTOWN,5 ROOM,62A,STRATHMORE AVE,117.0,Improved,2011,88 years 02 months,980000.0,8.0,66.0
