town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
SEMBAWANG,2 ROOM,130B,CANBERRA CRES,47.0,Model A,2018,95 years 05 months,334000.0,11.0,65.0
SEMBAWANG,2 ROOM,130A,CANBERRA CRES,38.0,Model A,2018,95 years 05 months,325000.0,11.0,65.0
SEMBAWANG,3 ROOM,130A,CANBERRA CRES,68.0,Model A,2018,95 years 05 months,452000.0,8.0,65.0
SEMBAWANG,3 ROOM,130A,CANBERRA CRES,68.0,Model A,2018,95 years 05 months,405000.0,2.0,65.0
SEMBAWANG,3 ROOM,104D,CANBERRA ST,68.0,Model A,2018,95 years 01 month,450000.0,14.0,65.0
SEMBAWANG,3 ROOM,115B,CANBERRA WALK,68.0,Model A,2018,95 years 02 months,390000.0,2.0,65.0
SEMBAWANG,4 ROOM,353C,ADMIRALTY DR,92.0,Model A,2002,78 years 10 months,518000.0,11.0,65.0
SEMBAWANG,4 ROOM,403,ADMIRALTY LINK,90.0,Model A,2001,77 years 11 months,420000.0,5.0,65.0
SEMBAWANG,4 ROOM,485,ADMIRALTY LINK,85.0,Model A2,2003,80 years 02 months,418000.0,8.0,65.0
SEMBAWANG,4 ROOM,482,ADMIRALTY LINK,87.0,Model A2,2004,80 years 09 months,430000.0,5.0,65.0
SEMBAWANG,4 ROOM,120A,CANBERRA CRES,93.0,Model A,2018,94 years 08 months,510000.0,2.0,65.0
SEMBAWANG,4 ROOM,303,CANBERRA RD,100.0,Model A,1998,75 years 07 months,445000.0,2.0,65.0
SEMBAWANG,4 ROOM,302,CANBERRA RD,97.0,Model A2,1998,75 years 05 months,425000.0,2.0,65.0
SEMBAWANG,4 ROOM,302,CANBERRA RD,91.0,Model A2,1998,75 years 04 months,430000.0,2.0,65.0
SEMBAWANG,4 ROOM,121A,CANBERRA ST,93.0,Model A,2018,94 years 08 months,535000.0,5.0,65.0
SEMBAWANG,4 ROOM,121D,CANBERRA ST,93.0,Model A,2018,94 years 08 months,555000.0,8.0,65.0
SEMBAWANG,4 ROOM,589D,MONTREAL DR,91.0,Model A,2003,79 years 08 months,458000.0,11.0,65.0
SEMBAWANG,4 ROOM,589A,MONTREAL DR,85.0,Model A2,2002,79 years 06 months,460000.0,11.0,65.0
SEMBAWANG,4 ROOM,590B,MONTREAL LINK,93.0,Model A,2015,91 years 11 months,530000.0,11.0,65.0
SEMBAWANG,4 ROOM,331,SEMBAWANG CL,101.0,Model A,1999,76 years 02 months,450000.0,5.0,65.0
SEMBAWANG,4 ROOM,326,SEMBAWANG CRES,101.0,Model A,1999,76 years 01 month,440000.0,2.0,65.0
SEMBAWANG,4 ROOM,327,SEMBAWANG CRES,102.0,Model A,1999,76 years,415000.0,2.0,65.0
SEMBAWANG,4 ROOM,338,SEMBAWANG CRES,100.0,Model A,1999,76 years 01 month,460000.0,8.0,65.0
SEMBAWANG,4 ROOM,478,SEMBAWANG DR,91.0,Model A,2000,77 years 02 months,430000.0,2.0,65.0
SEMBAWANG,4 ROOM,463B,SEMBAWANG DR,92.0,Model A,2015,92 years,488000.0,11.0,65.0
SEMBAWANG,4 ROOM,474,SEMBAWANG DR,90.0,Model A,2000,77 years 04 months,475000.0,14.0,65.0
SEMBAWANG,4 ROOM,406,SEMBAWANG DR,90.0,Model A2,2001,77 years 10 months,452000.0,5.0,65.0
SEMBAWANG,4 ROOM,508A,WELLINGTON CIRCLE,90.0,Model A,2004,81 years 03 months,435000.0,2.0,65.0
SEMBAWANG,4 ROOM,508B,WELLINGTON CIRCLE,90.0,Model A,2004,81 years 02 months,480000.0,11.0,65.0
SEMBAWANG,5 ROOM,357B,ADMIRALTY DR,110.0,Premium Apartment,2001,78 years 01 month,568000.0,8.0,65.0
SEMBAWANG,5 ROOM,360A,ADMIRALTY DR,111.0,Premium Apartment,2001,78 years 04 months,528000.0,11.0,65.0
SEMBAWANG,5 ROOM,356B,ADMIRALTY DR,110.0,Premium Apartment,2001,78 years 01 month,568000.0,14.0,65.0
SEMBAWANG,5 ROOM,357B,ADMIRALTY DR,111.0,Premium Apartment,2001,78 years 01 month,475000.0,2.0,65.0
SEMBAWANG,5 ROOM,357C,ADMIRALTY DR,111.0,Premium Apartment,2001,78 years 01 month,515000.0,2.0,65.0
SEMBAWANG,5 ROOM,492,ADMIRALTY LINK,110.0,Improved,2004,80 years 11 months,520000.0,20.0,65.0
SEMBAWANG,5 ROOM,120D,CANBERRA CRES,113.0,Improved,2018,94 years 09 months,695000.0,11.0,65.0
SEMBAWANG,5 ROOM,120A,CANBERRA CRES,113.0,Improved,2018,94 years 08 months,695000.0,11.0,65.0
SEMBAWANG,5 ROOM,351C,CANBERRA RD,113.0,Improved,2001,78 years 05 months,588000.0,14.0,65.0
SEMBAWANG,5 ROOM,417,CANBERRA RD,110.0,Improved,2001,77 years 10 months,560000.0,11.0,65.0
SEMBAWANG,5 ROOM,129C,CANBERRA ST,113.0,Improved,2018,95 years 05 months,700000.0,11.0,65.0
SEMBAWANG,5 ROOM,129C,CANBERRA ST,113.0,Improved,2018,95 years 05 months,720000.0,11.0,65.0
SEMBAWANG,5 ROOM,121D,CANBERRA ST,113.0,Improved,2018,94 years 08 months,708000.0,14.0,65.0
SEMBAWANG,5 ROOM,121C,CANBERRA ST,113.0,Improved,2018,94 years 08 months,716000.0,8.0,65.0
SEMBAWANG,5 ROOM,128A,CANBERRA ST,113.0,Improved,2018,95 years 05 months,680000.0,5.0,65.0
SEMBAWANG,5 ROOM,121D,CANBERRA ST,113.0,Improved,2018,94 years 08 months,688000.0,8.0,65.0
SEMBAWANG,5 ROOM,129C,CANBERRA ST,113.0,Improved,2018,95 years 04 months,736000.0,14.0,65.0
SEMBAWANG,5 ROOM,329,SEMBAWANG CL,115.0,Improved,1999,76 years 01 month,500000.0,2.0,65.0
SEMBAWANG,5 ROOM,341B,SEMBAWANG CL,111.0,Premium Apartment,2001,78 years,533000.0,5.0,65.0
SEMBAWANG,5 ROOM,474,SEMBAWANG DR,110.0,Improved,2000,77 years 05 months,510000.0,11.0,65.0
SEMBAWANG,5 ROOM,410,SEMBAWANG DR,110.0,Improved,2001,77 years 11 months,480888.0,2.0,65.0
SEMBAWANG,5 ROOM,501A,WELLINGTON CIRCLE,111.0,Improved,2001,78 years 03 months,523000.0,5.0,65.0
SEMBAWANG,5 ROOM,507C,WELLINGTON CIRCLE,110.0,Improved,2001,78 years 07 months,498000.0,11.0,65.0
SEMBAWANG,EXECUTIVE,359B,ADMIRALTY DR,131.0,Premium Apartment,2001,78 years 04 months,621000.0,5.0,65.0
SEMBAWANG,EXECUTIVE,357A,ADMIRALTY DR,131.0,Premium Apartment,2001,78 years,650000.0,14.0,65.0
SEMBAWANG,EXECUTIVE,357B,ADMIRALTY DR,131.0,Premium Apartment,2001,78 years,640000.0,5.0,65.0
SEMBAWANG,EXECUTIVE,471,SEMBAWANG DR,130.0,Apartment,2000,77 years 03 months,583000.0,5.0,65.0
SEMBAWANG,EXECUTIVE,472,SEMBAWANG DR,130.0,Apartment,2000,77 years 02 months,625000.0,14.0,65.0
SEMBAWANG,2 ROOM,130B,CANBERRA CRES,38.0,Model A,2018,95 years 03 months,321000.0,14.0,66.0
SEMBAWANG,2 ROOM,463A,SEMBAWANG DR,46.0,Model A,2015,91 years 11 months,310000.0,11.0,66.0
SEMBAWANG,3 ROOM,129B,CANBERRA ST,68.0,Model A,2018,95 years 04 months,440000.0,14.0,66.0
