town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
SENGKANG,2 ROOM,467B,FERNVALE LINK,47.0,Model A,2016,93 years 04 months,300000.0,5.0,65.0
SENGKANG,2 ROOM,418A,FERNVALE LINK,38.0,Model A,2018,95 years 02 months,300000.0,20.0,65.0
SENGKANG,2 ROOM,445A,FERNVALE RD,47.0,Model A,2012,89 years 06 months,320000.0,20.0,65.0
SENGKANG,2 ROOM,180B,RIVERVALE CRES,47.0,Model A,2015,91 years 10 months,315000.0,8.0,65.0
SENGKANG,2 ROOM,180A,RIVERVALE CRES,47.0,Model A,2015,91 years 10 months,305000.0,17.0,65.0
SENGKANG,2 ROOM,450B,SENGKANG WEST WAY,46.0,Model A,2014,91 years 02 months,318000.0,17.0,65.0
SENGKANG,3 ROOM,215A,COMPASSVALE DR,68.0,Premium Apartment,2017,94 years,425000.0,2.0,65.0
SENGKANG,3 ROOM,209C,COMPASSVALE LANE,67.0,Model A,2011,88 years 06 months,425000.0,5.0,65.0
SENGKANG,3 ROOM,467B,FERNVALE LINK,68.0,Model A,2016,93 years 03 months,435000.0,26.0,65.0
SENGKANG,3 ROOM,430C,FERNVALE LINK,67.0,Model A,2015,92 years,430000.0,17.0,65.0
SENGKANG,3 ROOM,418A,FERNVALE LINK,68.0,Model A,2018,95 years 02 months,440000.0,20.0,65.0
SENGKANG,3 ROOM,418A,FERNVALE LINK,68.0,Model A,2018,95 years 02 months,408000.0,2.0,65.0
SENGKANG,3 ROOM,418A,FERNVALE LINK,68.0,Model A,2018,95 years 02 months,470000.0,23.0,65.0
SENGKANG,3 ROOM,418A,FERNVALE LINK,68.0,Model A,2018,95 years 02 months,430000.0,11.0,65.0
SENGKANG,3 ROOM,418A,FERNVALE LINK,68.0,Model A,2018,95 years 02 months,460000.0,14.0,65.0
SENGKANG,3 ROOM,453D,FERNVALE RD,67.0,Model A,2015,92 years 02 months,438000.0,20.0,65.0
SENGKANG,3 ROOM,436C,FERNVALE RD,70.0,Model A,2010,86 years 09 months,455000.0,23.0,65.0
SENGKANG,3 ROOM,472B,FERNVALE ST,68.0,Model A,2016,93 years 04 months,395000.0,5.0,65.0
SENGKANG,3 ROOM,164B,RIVERVALE CRES,68.0,Model A,2017,94 years,430000.0,14.0,65.0
SENGKANG,3 ROOM,279C,SENGKANG EAST AVE,67.0,Premium Apartment,2015,92 years 03 months,442000.0,5.0,65.0
SENGKANG,3 ROOM,438B,SENGKANG WEST AVE,69.0,Model A,2011,87 years 09 months,428000.0,17.0,65.0
SENGKANG,3 ROOM,439B,SENGKANG WEST AVE,69.0,Model A,2011,87 years 09 months,420000.0,8.0,65.0
SENGKANG,3 ROOM,448B,SENGKANG WEST WAY,67.0,Model A,2014,91 years 02 months,455000.0,17.0,65.0
SENGKANG,3 ROOM,448B,SENGKANG WEST WAY,67.0,Model A,2014,91 years 02 months,408000.0,8.0,65.0
SENGKANG,3 ROOM,450B,SENGKANG WEST WAY,67.0,Model A,2014,91 years 01 month,430000.0,11.0,65.0
SENGKANG,3 ROOM,450A,SENGKANG WEST WAY,67.0,Model A,2014,91 years 02 months,420000.0,20.0,65.0
SENGKANG,4 ROOM,338C,ANCHORVALE CRES,93.0,Model A,2018,95 years,550888.0,14.0,65.0
SENGKANG,4 ROOM,338C,ANCHORVALE CRES,93.0,Model A,2018,95 years,550000.0,8.0,65.0
SENGKANG,4 ROOM,338B,ANCHORVALE CRES,93.0,Model A,2018,95 years,565000.0,14.0,65.0
SENGKANG,4 ROOM,338C,ANCHORVALE CRES,93.0,Model A,2018,95 years,510000.0,5.0,65.0
