town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
SERANGOON,3 ROOM,5,LOR LEW LIAN,64.0,Improved,1978,55 years,390000.0,8.0,65.0
SERANGOON,3 ROOM,303,SERANGOON AVE 2,69.0,Improved,1984,61 years 07 months,450000.0,5.0,65.0
SERANGOON,3 ROOM,220,SERANGOON AVE 4,67.0,New Generation,1984,61 years 07 months,380000.0,8.0,65.0
SERANGOON,3 ROOM,203,SERANGOON CTRL,64.0,Simplified,1986,62 years 08 months,438000.0,5.0,65.0
SERANGOON,3 ROOM,106,SERANGOON NTH AVE 1,69.0,Improved,1984,61 years 03 months,368000.0,8.0,65.0
SERANGOON,4 ROOM,405,SERANGOON AVE 1,113.0,Model A,1989,65 years 08 months,739888.0,11.0,65.0
SERANGOON,4 ROOM,307,SERANGOON AVE 2,95.0,New Generation,1985,62 years 04 months,530000.0,5.0,65.0
SERANGOON,4 ROOM,324,SERANGOON AVE 3,84.0,Simplified,1986,62 years 10 months,533000.0,8.0,65.0
SERANGOON,4 ROOM,246,SERANGOON AVE 3,84.0,Simplified,1986,62 years 08 months,600000.0,8.0,65.0
SERANGOON,4 ROOM,232,SERANGOON AVE 3,90.0,Simplified,1985,62 years 01 month,536000.0,8.0,65.0
SERANGOON,4 ROOM,330,SERANGOON AVE 3,84.0,Simplified,1986,63 years 01 month,588000.0,5.0,65.0
SERANGOON,4 ROOM,103,SERANGOON NTH AVE 1,91.0,New Generation,1985,62 years 03 months,412888.0,5.0,65.0
SERANGOON,4 ROOM,553,SERANGOON NTH AVE 3,102.0,Model A,1997,74 years 03 months,470000.0,5.0,65.0
SERANGOON,4 ROOM,536,SERANGOON NTH AVE 4,103.0,Model A,1992,69 years 05 months,498000.0,8.0,65.0
SERANGOON,5 ROOM,333,SERANGOON AVE 3,121.0,Improved,1986,63 years 03 months,785000.0,8.0,65.0
SERANGOON,5 ROOM,329,SERANGOON AVE 3,122.0,Improved,1986,63 years 02 months,748000.0,2.0,65.0
SERANGOON,5 ROOM,510,SERANGOON NTH AVE 4,120.0,Improved,1997,74 years 01 month,630000.0,5.0,65.0
SERANGOON,5 ROOM,528,SERANGOON NTH AVE 4,124.0,Improved,1992,69 years 06 months,608000.0,5.0,65.0
SERANGOON,5 ROOM,501,SERANGOON NTH AVE 4,125.0,Improved,1992,69 years 05 months,688888.0,14.0,65.0
SERANGOON,EXECUTIVE,520,SERANGOON NTH AVE 4,147.0,Maisonette,1992,69 years 06 months,910000.0,5.0,65.0
SERANGOON,EXECUTIVE,542,SERANGOON NTH AVE 4,147.0,Maisonette,1992,69 years 06 months,835000.0,5.0,65.0
SERANGOON,EXECUTIVE,542,SERANGOON NTH AVE 4,147.0,Maisonette,1992,69 years 05 months,785000.0,2.0,65.0
SERANGOON,3 ROOM,1,LOR LEW LIAN,73.0,Improved,1978,54 years 11 months,375000.0,8.0,66.0
SERANGOON,3 ROOM,2,LOR LEW LIAN,64.0,Improved,1983,60 years,380000.0,11.0,66.0
SERANGOON,3 ROOM,5,LOR LEW LIAN,64.0,Improved,1978,54 years 11 months,390000.0,14.0,66.0
SERANGOON,3 ROOM,303,SERANGOON AVE 2,69.0,Improved,1984,61 years 06 months,415000.0,5.0,66.0
SERANGOON,3 ROOM,306,SERANGOON AVE 2,60.0,Improved,1985,61 years 09 months,375000.0,11.0,66.0
SERANGOON,3 ROOM,227,SERANGOON AVE 4,67.0,New Generation,1984,61 years 06 months,388000.0,2.0,66.0
SERANGOON,3 ROOM,209,SERANGOON CTRL,64.0,Simplified,1985,62 years 04 months,400000.0,8.0,66.0
SERANGOON,4 ROOM,403,SERANGOON AVE 1,105.0,Model A,1988,65 years 06 months,615000.0,2.0,66.0
SERANGOON,4 ROOM,331,SERANGOON AVE 3,84.0,Simplified,1986,63 years 01 month,610000.0,5.0,66.0
SERANGOON,4 ROOM,324,SERANGOON AVE 3,84.0,Simplified,1986,62 years 09 months,530000.0,5.0,66.0
SERANGOON,4 ROOM,328,SERANGOON AVE 3,84.0,Simplified,1986,62 years 11 months,460000.0,2.0,66.0
SERANGOON,4 ROOM,236,SERANGOON AVE 3,84.0,Simplified,1985,62 years,528888.0,5.0,66.0
SERANGOON,4 ROOM,409,SERANGOON CTRL,94.0,New Generation,1989,65 years 07 months,660000.0,11.0,66.0
SERANGOON,4 ROOM,207,SERANGOON CTRL,83.0,Simplified,1986,62 years 10 months,518000.0,2.0,66.0
SERANGOON,4 ROOM,201,SERANGOON CTRL,84.0,Simplified,1985,62 years 05 months,600000.0,5.0,66.0
SERANGOON,4 ROOM,415,SERANGOON CTRL,111.0,Model A,1989,65 years 09 months,725000.0,5.0,66.0
SERANGOON,4 ROOM,413,SERANGOON CTRL,113.0,Model A,1989,65 years 09 months,788000.0,8.0,66.0
SERANGOON,4 ROOM,143,SERANGOON NTH AVE 1,83.0,Simplified,1987,64 years 03 months,438000.0,14.0,66.0
SERANGOON,4 ROOM,109,SERANGOON NTH AVE 1,93.0,New Generation,1985,61 years 10 months,515000.0,11.0,66.0
SERANGOON,4 ROOM,532,SERANGOON NTH AVE 4,103.0,Model A,1992,69 years 05 months,535000.0,8.0,66.0
SERANGOON,4 ROOM,510,SERANGOON NTH AVE 4,101.0,Model A,1997,74 years,500000.0,5.0,66.0
SERANGOON,4 ROOM,517,SERANGOON NTH AVE 4,104.0,Model A,1992,69 years 05 months,485000.0,2.0,66.0
SERANGOON,4 ROOM,530,SERANGOON NTH AVE 4,103.0,Model A,1992,69 years 05 months,458000.0,5.0,66.0
SERANGOON,4 ROOM,532,SERANGOON NTH AVE 4,103.0,Model A,1992,69 years 04 months,473000.0,8.0,66.0
SERANGOON,4 ROOM,523,SERANGOON NTH AVE 4,104.0,Model A,1992,69 years 04 months,500000.0,8.0,66.0
SERANGOON,5 ROOM,408,SERANGOON AVE 1,121.0,Improved,1989,65 years 07 months,856000.0,2.0,66.0
SERANGOON,5 ROOM,312,SERANGOON AVE 2,121.0,Improved,1985,62 years 01 month,768000.0,11.0,66.0
SERANGOON,5 ROOM,216,SERANGOON AVE 4,121.0,Improved,1985,62 years 01 month,688000.0,2.0,66.0
SERANGOON,5 ROOM,427,SERANGOON CTRL,121.0,Improved,1989,65 years 07 months,825000.0,5.0,66.0
SERANGOON,5 ROOM,205,SERANGOON CTRL,122.0,Improved,1986,63 years 05 months,770000.0,11.0,66.0
SERANGOON,5 ROOM,202,SERANGOON CTRL,122.0,Improved,1985,62 years 06 months,880000.0,2.0,66.0
SERANGOON,5 ROOM,255,SERANGOON CTRL DR,115.0,Improved,1999,75 years 11 months,770000.0,2.0,66.0
SERANGOON,5 ROOM,116,SERANGOON NTH AVE 1,121.0,Improved,1986,62 years 07 months,577000.0,11.0,66.0
SERANGOON,5 ROOM,552,SERANGOON NTH AVE 3,121.0,Improved,1997,74 years 05 months,630000.0,5.0,66.0
SERANGOON,5 ROOM,545,SERANGOON NTH AVE 3,121.0,Improved,1997,74 years 02 months,650000.0,8.0,66.0
SERANGOON,EXECUTIVE,322,SERANGOON AVE 3,146.0,Maisonette,1986,62 years 09 months,1048888.0,8.0,66.0
SERANGOON,EXECUTIVE,423,SERANGOON CTRL,146.0,Maisonette,1989,65 years 07 months,970000.0,2.0,66.0
SERANGOON,EXECUTIVE,519,SERANGOON NTH AVE 4,149.0,Apartment,1992,69 years 05 months,800000.0,8.0,66.0
SERANGOON,EXECUTIVE,519,SERANGOON NTH AVE 4,147.0,Maisonette,1992,69 years 05 months,818000.0,2.0,66.0
SERANGOON,EXECUTIVE,527,SERANGOON NTH AVE 4,146.0,Apartment,1992,69 years 04 months,858000.0,14.0,66.0
SERANGOON,EXECUTIVE,542,SERANGOON NTH AVE 4,152.0,Maisonette,1992,69 years 04 months,745000.0,8.0,66.0
SERANGOON,3 ROOM,2,LOR LEW LIAN,64.0,Improved,1983,59 years 11 months,365000.0,5.0,67.0
SERANGOON,3 ROOM,303,SERANGOON AVE 2,69.0,Improved,1984,61 years 06 months,363000.0,5.0,67.0
SERANGOON,3 ROOM,305,SERANGOON AVE 2,60.0,Improved,1985,61 years 09 months,348000.0,8.0,67.0
SERANGOON,3 ROOM,227,SERANGOON AVE 4,67.0,New Generation,1984,61 years 05 months,390000.0,5.0,67.0
SERANGOON,3 ROOM,107,SERANGOON NTH AVE 1,70.0,Improved,1984,61 years 02 months,333000.0,2.0,67.0
SERANGOON,3 ROOM,154,SERANGOON NTH AVE 1,64.0,Simplified,1986,62 years 11 months,345000.0,2.0,67.0
SERANGOON,4 ROOM,426,SERANGOON AVE 1,105.0,Model A,1988,65 years 05 months,723000.0,8.0,67.0
SERANGOON,4 ROOM,408,SERANGOON AVE 1,113.0,Model A,1989,65 years 06 months,785000.0,14.0,67.0
SERANGOON,4 ROOM,426,SERANGOON AVE 1,105.0,Model A,1988,65 years 04 months,740000.0,5.0,67.0
SERANGOON,4 ROOM,301,SERANGOON AVE 2,96.0,New Generation,1985,61 years 06 months,510000.0,2.0,67.0
SERANGOON,4 ROOM,226,SERANGOON AVE 4,93.0,New Generation,1984,61 years,545000.0,11.0,67.0
SERANGOON,4 ROOM,228,SERANGOON AVE 4,91.0,New Generation,1984,61 years 01 month,510000.0,5.0,67.0
SERANGOON,4 ROOM,220,SERANGOON AVE 4,93.0,New Generation,1984,61 years 06 months,530000.0,11.0,67.0
SERANGOON,4 ROOM,221,SERANGOON AVE 4,94.0,New Generation,1984,61 years 05 months,520888.0,8.0,67.0
SERANGOON,4 ROOM,226,SERANGOON AVE 4,91.0,New Generation,1984,61 years,460000.0,2.0,67.0
SERANGOON,4 ROOM,409,SERANGOON CTRL,103.0,Model A,1989,65 years 06 months,720000.0,11.0,67.0
SERANGOON,4 ROOM,210,SERANGOON CTRL,88.0,Simplified,1985,62 years 02 months,460000.0,2.0,67.0
SERANGOON,4 ROOM,413,SERANGOON CTRL,111.0,Model A,1989,65 years 09 months,680000.0,8.0,67.0
SERANGOON,4 ROOM,153,SERANGOON NTH AVE 1,86.0,Simplified,1986,63 years,420000.0,2.0,67.0
SERANGOON,4 ROOM,126,SERANGOON NTH AVE 1,91.0,New Generation,1985,61 years 11 months,430000.0,11.0,67.0
SERANGOON,4 ROOM,104,SERANGOON NTH AVE 1,95.0,New Generation,1984,61 years 03 months,425000.0,2.0,67.0
SERANGOON,4 ROOM,529,SERANGOON NTH AVE 4,103.0,Model A,1992,69 years 04 months,496000.0,2.0,67.0
SERANGOON,4 ROOM,518,SERANGOON NTH AVE 4,104.0,Model A,1992,69 years 04 months,518000.0,11.0,67.0
SERANGOON,4 ROOM,534,SERANGOON NTH AVE 4,104.0,Model A,1992,69 years 03 months,548888.0,5.0,67.0
SERANGOON,5 ROOM,216,SERANGOON AVE 4,121.0,Improved,1985,62 years,750000.0,14.0,67.0
SERANGOON,5 ROOM,116,SERANGOON NTH AVE 1,121.0,Improved,1986,62 years 06 months,583888.0,8.0,67.0
SERANGOON,5 ROOM,121,SERANGOON NTH AVE 1,121.0,Improved,1985,62 years,555000.0,5.0,67.0
SERANGOON,5 ROOM,551,SERANGOON NTH AVE 3,119.0,Improved,1997,74 years 04 months,718000.0,17.0,67.0
SERANGOON,5 ROOM,532,SERANGOON NTH AVE 4,122.0,Improved,1992,69 years 04 months,575000.0,2.0,67.0
SERANGOON,EXECUTIVE,319,SERANGOON AVE 2,146.0,Maisonette,1985,62 years 04 months,1000000.0,2.0,67.0
SERANGOON,EXECUTIVE,318,SERANGOON AVE 2,156.0,Maisonette,1985,61 years 11 months,955000.0,2.0,67.0
SERANGOON,EXECUTIVE,123,SERANGOON NTH AVE 1,150.0,Maisonette,1985,62 years 01 month,940000.0,11.0,67.0
SERANGOON,EXECUTIVE,535,SERANGOON NTH AVE 4,147.0,Maisonette,1992,69 years 04 months,888888.88,11.0,67.0
SERANGOON,EXECUTIVE,535,SERANGOON NTH AVE 4,149.0,Apartment,1992,69 years 04 months,780000.0,8.0,67.0
SERANGOON,EXECUTIVE,519,SERANGOON NTH AVE 4,149.0,Apartment,1992,69 years 04 months,818000.0,8.0,67.0
SERANGOON,EXECUTIVE,525,SERANGOON NTH AVE 4,147.0,Maisonette,1992,69 years 03 months,898000.0,14.0,67.0
SERANGOON,3 ROOM,1,LOR LEW LIAN,64.0,Improved,1978,54 years 09 months,375000.0,14.0,68.0
SERANGOON,3 ROOM,302,SERANGOON AVE 2,69.0,Improved,1985,61 years 07 months,395000.0,11.0,68.0
SERANGOON,3 ROOM,306,SERANGOON AVE 2,60.0,Improved,1985,61 years 07 months,383000.0,11.0,68.0
SERANGOON,3 ROOM,215,SERANGOON AVE 4,71.0,New Generation,1985,61 years 10 months,380000.0,8.0,68.0
SERANGOON,3 ROOM,227,SERANGOON AVE 4,67.0,New Generation,1984,61 years 04 months,395000.0,8.0,68.0
SERANGOON,3 ROOM,262,SERANGOON CTRL DR,64.0,Simplified,1988,65 years 01 month,401888.0,2.0,68.0
SERANGOON,3 ROOM,115,SERANGOON NTH AVE 1,72.0,New Generation,1985,61 years 07 months,400000.0,2.0,68.0
SERANGOON,3 ROOM,105,SERANGOON NTH AVE 1,60.0,Improved,1985,61 years 08 months,340000.0,5.0,68.0
SERANGOON,4 ROOM,245,SERANGOON AVE 2,89.0,Simplified,1985,62 years 04 months,535000.0,2.0,68.0
SERANGOON,4 ROOM,243,SERANGOON AVE 2,89.0,Simplified,1985,62 years 03 months,600000.0,11.0,68.0
SERANGOON,4 ROOM,325,SERANGOON AVE 3,104.0,Model A,1986,62 years 09 months,758000.0,11.0,68.0
SERANGOON,4 ROOM,329,SERANGOON AVE 3,89.0,Simplified,1986,62 years 11 months,562000.0,2.0,68.0
SERANGOON,4 ROOM,335,SERANGOON AVE 3,84.0,Simplified,1986,62 years 09 months,600000.0,11.0,68.0
SERANGOON,4 ROOM,211,SERANGOON AVE 4,91.0,New Generation,1985,62 years 01 month,518000.0,5.0,68.0
SERANGOON,4 ROOM,219,SERANGOON AVE 4,91.0,New Generation,1984,61 years 04 months,465000.0,2.0,68.0
SERANGOON,4 ROOM,225,SERANGOON AVE 4,92.0,New Generation,1985,61 years 07 months,501000.0,5.0,68.0
SERANGOON,4 ROOM,229,SERANGOON AVE 4,91.0,New Generation,1984,60 years 11 months,515000.0,5.0,68.0
SERANGOON,4 ROOM,210,SERANGOON CTRL,88.0,Simplified,1985,62 years 01 month,578888.0,5.0,68.0
SERANGOON,4 ROOM,202,SERANGOON CTRL,84.0,Simplified,1985,62 years 05 months,608000.0,5.0,68.0
SERANGOON,4 ROOM,205,SERANGOON CTRL,84.0,Simplified,1986,63 years 03 months,550000.0,5.0,68.0
SERANGOON,4 ROOM,421,SERANGOON CTRL,105.0,Model A,1989,65 years 09 months,680000.0,5.0,68.0
SERANGOON,4 ROOM,421,SERANGOON CTRL,94.0,New Generation,1989,65 years 08 months,627000.0,8.0,68.0
SERANGOON,4 ROOM,257,SERANGOON CTRL DR,99.0,Model A,1999,75 years 09 months,800000.0,14.0,68.0
SERANGOON,4 ROOM,127,SERANGOON NTH AVE 1,91.0,New Generation,1985,61 years 05 months,488000.0,2.0,68.0
SERANGOON,4 ROOM,103,SERANGOON NTH AVE 1,91.0,New Generation,1985,62 years 01 month,440000.0,8.0,68.0
SERANGOON,4 ROOM,103,SERANGOON NTH AVE 1,91.0,New Generation,1985,62 years 01 month,460000.0,8.0,68.0
SERANGOON,4 ROOM,554,SERANGOON NTH AVE 3,100.0,Model A,1997,74 years,537000.0,8.0,68.0
SERANGOON,4 ROOM,547,SERANGOON NTH AVE 3,100.0,Model A,1997,74 years 03 months,485000.0,5.0,68.0
SERANGOON,4 ROOM,551,SERANGOON NTH AVE 3,100.0,Model A,1997,74 years 03 months,477000.0,2.0,68.0
SERANGOON,4 ROOM,546,SERANGOON NTH AVE 3,100.0,Model A,1998,74 years 05 months,518000.0,8.0,68.0
SERANGOON,4 ROOM,530,SERANGOON NTH AVE 4,103.0,Model A,1992,69 years 03 months,465000.0,2.0,68.0
SERANGOON,5 ROOM,255,SERANGOON CTRL DR,115.0,Improved,1999,75 years 09 months,760000.0,2.0,68.0
SERANGOON,5 ROOM,139,SERANGOON NTH AVE 2,122.0,Improved,1989,65 years 09 months,678888.0,8.0,68.0
SERANGOON,5 ROOM,524,SERANGOON NTH AVE 4,122.0,Improved,1992,69 years 03 months,690000.0,11.0,68.0
SERANGOON,EXECUTIVE,317,SERANGOON AVE 2,151.0,Maisonette,1985,61 years 10 months,995000.0,5.0,68.0
SERANGOON,EXECUTIVE,318,SERANGOON AVE 2,151.0,Maisonette,1985,61 years 10 months,1080000.0,11.0,68.0
SERANGOON,EXECUTIVE,506,SERANGOON NTH AVE 4,149.0,Apartment,1992,69 years 03 months,765000.0,2.0,68.0
SERANGOON,EXECUTIVE,526,SERANGOON NTH AVE 4,152.0,Maisonette,1992,69 years 03 months,988000.0,5.0,68.0
SERANGOON,EXECUTIVE,535,SERANGOON NTH AVE 4,149.0,Maisonette,1992,69 years 03 months,825000.0,2.0,68.0
SERANGOON,EXECUTIVE,535,SERANGOON NTH AVE 4,149.0,Maisonette,1992,69 years 03 months,863000.0,5.0,68.0
SERANGOON,2 ROOM,8,LOR LEW LIAN,44.0,Improved,1978,54 years 08 months,263000.0,8.0,69.0
SERANGOON,2 ROOM,8,LOR LEW LIAN,44.0,Improved,1978,54 years 08 months,275000.0,5.0,69.0
SERANGOON,3 ROOM,1,LOR LEW LIAN,64.0,Improved,1978,54 years 08 months,410000.0,11.0,69.0
SERANGOON,3 ROOM,302,SERANGOON AVE 2,70.0,Improved,1985,61 years 06 months,448000.0,8.0,69.0
SERANGOON,3 ROOM,225,SERANGOON AVE 4,67.0,New Generation,1985,61 years 06 months,380000.0,2.0,69.0
SERANGOON,3 ROOM,215,SERANGOON AVE 4,67.0,New Generation,1985,61 years 07 months,400000.0,5.0,69.0
SERANGOON,3 ROOM,204,SERANGOON CTRL,64.0,Simplified,1985,62 years 01 month,440000.0,8.0,69.0
SERANGOON,3 ROOM,106,SERANGOON NTH AVE 1,70.0,Improved,1984,60 years 11 months,398000.0,11.0,69.0
SERANGOON,3 ROOM,153,SERANGOON NTH AVE 1,64.0,Simplified,1986,62 years 10 months,356000.0,5.0,69.0
SERANGOON,3 ROOM,105,SERANGOON NTH AVE 1,60.0,Improved,1985,61 years 06 months,365000.0,11.0,69.0
SERANGOON,4 ROOM,425,SERANGOON AVE 1,106.0,Model A,1989,65 years 09 months,755000.0,8.0,69.0
SERANGOON,4 ROOM,239,SERANGOON AVE 2,104.0,Model A,1985,61 years 09 months,660000.0,8.0,69.0
SERANGOON,4 ROOM,233,SERANGOON AVE 3,105.0,Model A,1985,61 years 09 months,668000.0,11.0,69.0
SERANGOON,4 ROOM,234,SERANGOON AVE 3,90.0,Simplified,1985,61 years 09 months,630000.0,11.0,69.0
SERANGOON,4 ROOM,241,SERANGOON AVE 3,89.0,Simplified,1985,62 years 03 months,510000.0,2.0,69.0
SERANGOON,4 ROOM,242,SERANGOON AVE 3,84.0,Simplified,1986,62 years 08 months,485000.0,2.0,69.0
SERANGOON,4 ROOM,235,SERANGOON AVE 3,84.0,Simplified,1985,61 years 09 months,480000.0,5.0,69.0
SERANGOON,4 ROOM,218,SERANGOON AVE 4,96.0,New Generation,1985,61 years 06 months,512000.0,5.0,69.0
SERANGOON,4 ROOM,211,SERANGOON AVE 4,91.0,New Generation,1985,62 years,500000.0,2.0,69.0
SERANGOON,4 ROOM,225,SERANGOON AVE 4,94.0,New Generation,1985,61 years 06 months,545000.0,8.0,69.0
SERANGOON,4 ROOM,419,SERANGOON CTRL,113.0,Model A,1989,65 years 08 months,735000.0,5.0,69.0
SERANGOON,4 ROOM,410,SERANGOON CTRL,113.0,Model A,1989,65 years 05 months,850000.0,14.0,69.0
SERANGOON,4 ROOM,111,SERANGOON NTH AVE 1,93.0,New Generation,1985,61 years 11 months,465000.0,14.0,69.0
SERANGOON,4 ROOM,126,SERANGOON NTH AVE 1,91.0,New Generation,1985,61 years 09 months,470000.0,14.0,69.0
SERANGOON,4 ROOM,103,SERANGOON NTH AVE 1,91.0,New Generation,1985,61 years 11 months,435000.0,8.0,69.0
SERANGOON,4 ROOM,514,SERANGOON NTH AVE 4,103.0,Model A,1992,69 years 01 month,538000.0,5.0,69.0
SERANGOON,5 ROOM,425,SERANGOON AVE 1,129.0,Improved,1989,65 years 10 months,830000.0,2.0,69.0
SERANGOON,5 ROOM,213,SERANGOON AVE 4,121.0,Improved,1985,61 years 05 months,750000.0,8.0,69.0
SERANGOON,5 ROOM,419,SERANGOON CTRL,123.0,Improved,1989,65 years 08 months,845000.0,5.0,69.0
SERANGOON,5 ROOM,255,SERANGOON CTRL DR,115.0,Improved,1999,75 years 08 months,690000.0,2.0,69.0
SERANGOON,5 ROOM,551,SERANGOON NTH AVE 3,119.0,Improved,1997,74 years 02 months,695000.0,8.0,69.0
SERANGOON,EXECUTIVE,232A,SERANGOON AVE 2,140.0,Apartment,1998,74 years 09 months,1101000.0,11.0,69.0
SERANGOON,EXECUTIVE,418,SERANGOON CTRL,146.0,Maisonette,1989,65 years 09 months,1085000.0,11.0,69.0
SERANGOON,EXECUTIVE,519,SERANGOON NTH AVE 4,147.0,Maisonette,1992,69 years 02 months,850000.0,5.0,69.0
SERANGOON,3 ROOM,2,LOR LEW LIAN,73.0,Improved,1983,59 years 08 months,460000.0,5.0,70.0
SERANGOON,3 ROOM,1,LOR LEW LIAN,64.0,Improved,1978,54 years 07 months,368000.0,2.0,70.0
SERANGOON,3 ROOM,313,SERANGOON AVE 2,67.0,New Generation,1985,61 years 07 months,388000.0,5.0,70.0
SERANGOON,3 ROOM,237,SERANGOON AVE 3,64.0,Simplified,1985,62 years 03 months,452000.0,8.0,70.0
SERANGOON,3 ROOM,218,SERANGOON AVE 4,67.0,New Generation,1985,61 years 04 months,410000.0,11.0,70.0
SERANGOON,3 ROOM,222,SERANGOON AVE 4,67.0,New Generation,1985,61 years 11 months,380000.0,5.0,70.0
SERANGOON,3 ROOM,204,SERANGOON CTRL,64.0,Simplified,1985,62 years 01 month,364000.0,2.0,70.0
SERANGOON,3 ROOM,206,SERANGOON CTRL,64.0,Simplified,1985,62 years 02 months,405000.0,8.0,70.0
SERANGOON,3 ROOM,105,SERANGOON NTH AVE 1,60.0,Improved,1985,61 years 06 months,345000.0,5.0,70.0
SERANGOON,4 ROOM,307,SERANGOON AVE 2,91.0,New Generation,1985,62 years,595000.0,8.0,70.0
SERANGOON,4 ROOM,238,SERANGOON AVE 2,84.0,Simplified,1985,61 years 08 months,515000.0,11.0,70.0
SERANGOON,4 ROOM,242,SERANGOON AVE 3,84.0,Simplified,1986,62 years 08 months,500000.0,2.0,70.0
SERANGOON,4 ROOM,232,SERANGOON AVE 3,104.0,Model A,1985,61 years 09 months,498000.0,2.0,70.0
