town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
TAMPINES,3 ROOM,803,TAMPINES AVE 4,67.0,New Generation,1984,61 years 07 months,370000.0,2.0,65.0
TAMPINES,3 ROOM,878B,TAMPINES AVE 8,68.0,Model A,2017,94 years 01 month,470000.0,5.0,65.0
TAMPINES,3 ROOM,523B,TAMPINES CTRL 7,67.0,Model A,2015,92 years 04 months,446000.0,2.0,65.0
TAMPINES,3 ROOM,523B,TAMPINES CTRL 7,67.0,Model A,2015,92 years 03 months,470888.0,17.0,65.0
TAMPINES,3 ROOM,520C,TAMPINES CTRL 8,62.0,DBSS,2014,91 years 01 month,500000.0,2.0,65.0
TAMPINES,3 ROOM,520A,TAMPINES CTRL 8,61.0,DBSS,2014,91 years 01 month,470000.0,2.0,65.0
TAMPINES,3 ROOM,110,TAMPINES ST 11,74.0,Model A,1984,60 years 09 months,375000.0,2.0,65.0
TAMPINES,3 ROOM,107,TAMPINES ST 11,74.0,Model A,1984,61 years 04 months,390000.0,11.0,65.0
TAMPINES,3 ROOM,236,TAMPINES ST 21,73.0,Model A,1984,61 years 05 months,390000.0,2.0,65.0
TAMPINES,3 ROOM,265,TAMPINES ST 21,74.0,Model A,1984,61 years 04 months,395000.0,8.0,65.0
TAMPINES,3 ROOM,204,TAMPINES ST 21,81.0,New Generation,1983,60 years 06 months,440000.0,8.0,65.0
TAMPINES,3 ROOM,262,TAMPINES ST 21,74.0,Model A,1984,61 years 06 months,405000.0,11.0,65.0
TAMPINES,3 ROOM,276,TAMPINES ST 22,74.0,Model A,1984,61 years 07 months,378000.0,8.0,65.0
TAMPINES,3 ROOM,285,TAMPINES ST 22,74.0,Model A,1984,61 years 02 months,405000.0,8.0,65.0
TAMPINES,3 ROOM,285,TAMPINES ST 22,74.0,Model A,1984,61 years 02 months,350000.0,2.0,65.0
TAMPINES,3 ROOM,217,TAMPINES ST 23,67.0,New Generation,1986,62 years 09 months,395000.0,11.0,65.0
TAMPINES,3 ROOM,215,TAMPINES ST 23,67.0,New Generation,1985,62 years 05 months,390000.0,2.0,65.0
TAMPINES,3 ROOM,408,TAMPINES ST 41,69.0,Improved,1985,62 years 01 month,380000.0,11.0,65.0
TAMPINES,3 ROOM,408,TAMPINES ST 41,69.0,Improved,1985,62 years 01 month,393000.0,8.0,65.0
TAMPINES,3 ROOM,406,TAMPINES ST 41,64.0,Simplified,1986,63 years 04 months,370000.0,11.0,65.0
TAMPINES,3 ROOM,405,TAMPINES ST 41,60.0,Improved,1985,62 years 04 months,350000.0,11.0,65.0
TAMPINES,3 ROOM,411,TAMPINES ST 41,69.0,Improved,1985,62 years 03 months,400000.0,5.0,65.0
TAMPINES,3 ROOM,494E,TAMPINES ST 43,67.0,Model A,2015,92 years 05 months,430000.0,11.0,65.0
TAMPINES,3 ROOM,436,TAMPINES ST 43,74.0,Model A,1986,63 years 04 months,375000.0,2.0,65.0
TAMPINES,3 ROOM,821,TAMPINES ST 81,83.0,New Generation,1987,64 years 04 months,420000.0,2.0,65.0
TAMPINES,3 ROOM,829,TAMPINES ST 81,67.0,New Generation,1986,63 years 04 months,390000.0,2.0,65.0
TAMPINES,3 ROOM,835,TAMPINES ST 83,64.0,Simplified,1986,63 years 02 months,365000.0,2.0,65.0
TAMPINES,3 ROOM,831,TAMPINES ST 83,64.0,Simplified,1986,62 years 11 months,380000.0,5.0,65.0
TAMPINES,4 ROOM,156,SIMEI RD,104.0,Model A,1989,65 years 09 months,508888.0,8.0,65.0
TAMPINES,4 ROOM,116,SIMEI ST 1,104.0,Model A,1988,65 years 06 months,565000.0,11.0,65.0
TAMPINES,4 ROOM,132,SIMEI ST 1,84.0,Simplified,1988,65 years 01 month,455000.0,2.0,65.0
TAMPINES,4 ROOM,137,SIMEI ST 1,84.0,Simplified,1988,65 years 03 months,435000.0,8.0,65.0
TAMPINES,4 ROOM,116,SIMEI ST 1,104.0,Model A,1988,65 years 06 months,548000.0,5.0,65.0
TAMPINES,4 ROOM,811,TAMPINES AVE 4,92.0,New Generation,1985,61 years 10 months,480000.0,5.0,65.0
TAMPINES,4 ROOM,811,TAMPINES AVE 4,92.0,New Generation,1985,61 years 10 months,505000.0,8.0,65.0
TAMPINES,4 ROOM,392,TAMPINES AVE 7,107.0,Model A,1994,70 years 10 months,530000.0,8.0,65.0
TAMPINES,4 ROOM,879A,TAMPINES AVE 8,93.0,Model A,2017,94 years 01 month,580000.0,2.0,65.0
TAMPINES,4 ROOM,868A,TAMPINES AVE 8,92.0,Model A,2015,92 years 01 month,600000.0,8.0,65.0
TAMPINES,4 ROOM,879A,TAMPINES AVE 8,93.0,Model A,2017,94 years 01 month,652888.0,14.0,65.0
TAMPINES,4 ROOM,869A,TAMPINES AVE 8,92.0,Model A,2015,92 years 01 month,568000.0,11.0,65.0
TAMPINES,4 ROOM,501,TAMPINES CTRL 1,120.0,Model A,1989,66 years 06 months,600000.0,2.0,65.0
TAMPINES,4 ROOM,523D,TAMPINES CTRL 7,93.0,Model A,2015,92 years 03 months,665000.0,11.0,65.0
TAMPINES,4 ROOM,519C,TAMPINES CTRL 8,83.0,DBSS,2014,91 years 01 month,715000.0,5.0,65.0
TAMPINES,4 ROOM,520C,TAMPINES CTRL 8,84.0,DBSS,2014,91 years 01 month,728000.0,8.0,65.0
TAMPINES,4 ROOM,519C,TAMPINES CTRL 8,83.0,DBSS,2014,91 years 01 month,738000.0,14.0,65.0
TAMPINES,4 ROOM,111,TAMPINES ST 11,103.0,Model A,1984,61 years,470000.0,11.0,65.0
TAMPINES,4 ROOM,140,TAMPINES ST 12,91.0,New Generation,1984,61 years 07 months,480000.0,8.0,65.0
TAMPINES,4 ROOM,161,TAMPINES ST 12,113.0,Model A,1984,61 years 04 months,610000.0,11.0,65.0
TAMPINES,4 ROOM,161,TAMPINES ST 12,105.0,Model A,1984,61 years 04 months,575000.0,5.0,65.0
TAMPINES,4 ROOM,166,TAMPINES ST 12,108.0,Model A,1984,61 years 01 month,535000.0,5.0,65.0
TAMPINES,4 ROOM,158,TAMPINES ST 12,91.0,New Generation,1984,61 years 01 month,530000.0,11.0,65.0
TAMPINES,4 ROOM,237,TAMPINES ST 21,104.0,Model A,1984,61 years 05 months,512000.0,5.0,65.0
TAMPINES,4 ROOM,264,TAMPINES ST 21,103.0,Model A,1984,61 years 04 months,500000.0,8.0,65.0
TAMPINES,4 ROOM,264,TAMPINES ST 21,103.0,Model A,1984,61 years 04 months,498000.0,5.0,65.0
TAMPINES,4 ROOM,203,TAMPINES ST 21,104.0,Model A,1983,60 years 05 months,500000.0,2.0,65.0
TAMPINES,4 ROOM,266,TAMPINES ST 21,103.0,Model A,1984,61 years 01 month,548888.0,8.0,65.0
TAMPINES,4 ROOM,271,TAMPINES ST 21,116.0,Model A,1984,61 years 04 months,580888.0,11.0,65.0
TAMPINES,4 ROOM,272,TAMPINES ST 22,112.0,Model A,1984,61 years 02 months,550000.0,8.0,65.0
TAMPINES,4 ROOM,277,TAMPINES ST 22,108.0,Model A,1985,61 years 09 months,505000.0,8.0,65.0
TAMPINES,4 ROOM,342,TAMPINES ST 33,109.0,Model A,1995,72 years 07 months,500000.0,11.0,65.0
TAMPINES,4 ROOM,342,TAMPINES ST 33,111.0,Model A,1995,72 years 07 months,550000.0,8.0,65.0
TAMPINES,4 ROOM,367,TAMPINES ST 34,102.0,Model A,1997,74 years,508000.0,8.0,65.0
TAMPINES,4 ROOM,416,TAMPINES ST 41,84.0,Simplified,1987,63 years 10 months,505000.0,11.0,65.0
TAMPINES,4 ROOM,493E,TAMPINES ST 43,104.0,Model A,1993,70 years 01 month,483000.0,2.0,65.0
TAMPINES,4 ROOM,463,TAMPINES ST 44,108.0,Model A,1986,63 years 04 months,506000.0,8.0,65.0
TAMPINES,4 ROOM,498M,TAMPINES ST 45,106.0,Premium Apartment,1997,74 years 02 months,535000.0,8.0,65.0
TAMPINES,4 ROOM,497C,TAMPINES ST 45,102.0,Premium Apartment,1996,73 years,510000.0,11.0,65.0
TAMPINES,4 ROOM,497G,TAMPINES ST 45,102.0,Premium Apartment,1996,73 years,513000.0,11.0,65.0
TAMPINES,4 ROOM,489B,TAMPINES ST 45,107.0,Model A,1993,70 years 04 months,500000.0,2.0,65.0
TAMPINES,4 ROOM,713,TAMPINES ST 71,100.0,Model A,1997,73 years 10 months,518000.0,8.0,65.0
TAMPINES,4 ROOM,734,TAMPINES ST 71,104.0,Model A,1997,74 years 01 month,518000.0,5.0,65.0
TAMPINES,4 ROOM,710,TAMPINES ST 71,102.0,Model A,1997,74 years 01 month,540000.0,11.0,65.0
TAMPINES,4 ROOM,726,TAMPINES ST 71,103.0,Model A,1997,74 years 02 months,539800.0,11.0,65.0
TAMPINES,4 ROOM,708,TAMPINES ST 71,100.0,Model A,1997,74 years,500000.0,8.0,65.0
TAMPINES,4 ROOM,720,TAMPINES ST 72,99.0,Model A,1997,73 years 11 months,508000.0,8.0,65.0
TAMPINES,4 ROOM,720,TAMPINES ST 72,99.0,Model A,1997,73 years 11 months,480000.0,8.0,65.0
TAMPINES,4 ROOM,723,TAMPINES ST 72,99.0,Model A,1997,73 years 11 months,508000.0,8.0,65.0
TAMPINES,4 ROOM,735,TAMPINES ST 72,101.0,Model A,1997,74 years 07 months,490000.0,2.0,65.0
TAMPINES,4 ROOM,899,TAMPINES ST 81,104.0,Model A,1988,65 years,539000.0,8.0,65.0
TAMPINES,4 ROOM,819,TAMPINES ST 81,93.0,New Generation,1984,61 years 07 months,470000.0,2.0,65.0
TAMPINES,4 ROOM,842G,TAMPINES ST 82,106.0,Model A,1995,72 years 03 months,588000.0,5.0,65.0
TAMPINES,4 ROOM,842,TAMPINES ST 82,84.0,Simplified,1986,63 years,480000.0,11.0,65.0
TAMPINES,4 ROOM,847,TAMPINES ST 83,104.0,Model A,1987,64 years 05 months,508000.0,2.0,65.0
TAMPINES,4 ROOM,871,TAMPINES ST 84,104.0,Model A,1988,65 years 05 months,480000.0,5.0,65.0
TAMPINES,4 ROOM,870A,TAMPINES ST 86,93.0,Model A,2017,93 years 08 months,650000.0,11.0,65.0
TAMPINES,4 ROOM,934,TAMPINES ST 91,104.0,Model A,1985,61 years 09 months,535888.0,11.0,65.0
TAMPINES,5 ROOM,167A,SIMEI LANE,107.0,DBSS,2011,87 years 09 months,780000.0,5.0,65.0
TAMPINES,5 ROOM,161,SIMEI RD,129.0,Improved,1989,65 years 09 months,565000.0,2.0,65.0
TAMPINES,5 ROOM,122,SIMEI ST 1,121.0,Improved,1988,64 years 11 months,558000.0,8.0,65.0
TAMPINES,5 ROOM,114,SIMEI ST 1,123.0,Improved,1988,64 years 08 months,626000.0,5.0,65.0
TAMPINES,5 ROOM,138,SIMEI ST 1,122.0,Improved,1988,65 years 02 months,580000.0,5.0,65.0
TAMPINES,5 ROOM,114,SIMEI ST 1,122.0,Improved,1988,64 years 08 months,630000.0,8.0,65.0
TAMPINES,5 ROOM,120,SIMEI ST 1,121.0,Improved,1988,65 years,655000.0,11.0,65.0
TAMPINES,5 ROOM,145,SIMEI ST 2,121.0,Improved,1988,64 years 10 months,610000.0,5.0,65.0
TAMPINES,5 ROOM,231,SIMEI ST 4,122.0,Improved,1989,65 years 11 months,615000.0,2.0,65.0
TAMPINES,5 ROOM,493A,TAMPINES AVE 9,124.0,Improved,1993,70 years 02 months,608000.0,5.0,65.0
TAMPINES,5 ROOM,515B,TAMPINES CTRL 7,108.0,DBSS,2008,85 years 07 months,845000.0,14.0,65.0
TAMPINES,5 ROOM,519D,TAMPINES CTRL 8,108.0,DBSS,2014,91 years 01 month,910000.0,14.0,65.0
TAMPINES,5 ROOM,233,TAMPINES ST 21,121.0,Improved,1985,62 years,590000.0,5.0,65.0
TAMPINES,5 ROOM,256,TAMPINES ST 21,121.0,Improved,1984,61 years 06 months,620000.0,8.0,65.0
TAMPINES,5 ROOM,254,TAMPINES ST 21,121.0,Improved,1984,61 years 04 months,610000.0,8.0,65.0
TAMPINES,5 ROOM,288,TAMPINES ST 22,139.0,Model A,1984,61 years 03 months,635000.0,8.0,65.0
TAMPINES,5 ROOM,216,TAMPINES ST 23,121.0,Improved,1985,61 years 10 months,595000.0,5.0,65.0
TAMPINES,5 ROOM,230C,TAMPINES ST 24,127.0,Improved,1993,70 years 02 months,615000.0,5.0,65.0
TAMPINES,5 ROOM,230,TAMPINES ST 24,121.0,Improved,1985,61 years 09 months,540000.0,2.0,65.0
TAMPINES,5 ROOM,304,TAMPINES ST 32,125.0,Improved,1993,70 years 02 months,615000.0,8.0,65.0
TAMPINES,5 ROOM,349,TAMPINES ST 33,126.0,Improved,1996,72 years 11 months,660000.0,8.0,65.0
TAMPINES,5 ROOM,323,TAMPINES ST 33,127.0,Improved,1995,72 years 03 months,600000.0,5.0,65.0
TAMPINES,5 ROOM,373,TAMPINES ST 34,136.0,Model A,1995,72 years 04 months,712888.0,11.0,65.0
TAMPINES,5 ROOM,494C,TAMPINES ST 43,124.0,Improved,1993,70 years 02 months,588000.0,5.0,65.0
TAMPINES,5 ROOM,496B,TAMPINES ST 43,126.0,Improved,1993,70 years 02 months,585000.0,8.0,65.0
TAMPINES,5 ROOM,493D,TAMPINES ST 43,124.0,Improved,1993,70 years 02 months,600000.0,11.0,65.0
TAMPINES,5 ROOM,491D,TAMPINES ST 45,124.0,Improved,1993,70 years 02 months,600000.0,5.0,65.0
TAMPINES,5 ROOM,497H,TAMPINES ST 45,130.0,Premium Apartment,1996,73 years 01 month,655000.0,8.0,65.0
TAMPINES,5 ROOM,492D,TAMPINES ST 45,120.0,Improved,1993,70 years 02 months,590000.0,8.0,65.0
TAMPINES,5 ROOM,491C,TAMPINES ST 45,124.0,Improved,1993,70 years 02 months,690000.0,11.0,65.0
TAMPINES,5 ROOM,492C,TAMPINES ST 45,122.0,Improved,1993,70 years 01 month,628000.0,5.0,65.0
TAMPINES,5 ROOM,498B,TAMPINES ST 45,125.0,Premium Apartment,1997,74 years 01 month,575000.0,2.0,65.0
TAMPINES,5 ROOM,712,TAMPINES ST 71,119.0,Improved,1997,73 years 11 months,650000.0,14.0,65.0
