town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
TOA PAYOH,2 ROOM,58,LOR 4 TOA PAYOH,44.0,Standard,1967,44 years 01 month,280000.0,11.0,65.0
TOA PAYOH,2 ROOM,54,LOR 5 TOA PAYOH,43.0,Standard,1967,44 years 01 month,242000.0,2.0,65.0
TOA PAYOH,3 ROOM,9,JOO SENG RD,68.0,Model A,2017,93 years 09 months,591000.0,11.0,65.0
TOA PAYOH,3 ROOM,195,KIM KEAT AVE,66.0,Improved,1973,50 years 03 months,300000.0,8.0,65.0
TOA PAYOH,3 ROOM,158,LOR 1 TOA PAYOH,65.0,Improved,1972,48 years 08 months,355000.0,11.0,65.0
TOA PAYOH,3 ROOM,98,LOR 1 TOA PAYOH,68.0,Improved,1970,46 years 08 months,320000.0,14.0,65.0
TOA PAYOH,3 ROOM,128,LOR 1 TOA PAYOH,67.0,Improved,1970,46 years 08 months,320000.0,8.0,65.0
TOA PAYOH,3 ROOM,124,LOR 1 TOA PAYOH,67.0,Improved,1970,46 years 08 months,328000.0,5.0,65.0
TOA PAYOH,3 ROOM,109,LOR 1 TOA PAYOH,66.0,Improved,1970,46 years 09 months,326000.0,8.0,65.0
TOA PAYOH,3 ROOM,113,LOR 1 TOA PAYOH,65.0,Improved,1967,44 years 01 month,350000.0,8.0,65.0
TOA PAYOH,3 ROOM,130A,LOR 1 TOA PAYOH,68.0,Model A,2018,95 years 03 months,648000.0,5.0,65.0
TOA PAYOH,3 ROOM,163,LOR 1 TOA PAYOH,65.0,Improved,1972,49 years 01 month,328000.0,8.0,65.0
TOA PAYOH,3 ROOM,128,LOR 1 TOA PAYOH,67.0,Improved,1970,46 years 07 months,325000.0,11.0,65.0
TOA PAYOH,3 ROOM,117,LOR 1 TOA PAYOH,65.0,Improved,1968,45 years 01 month,312000.0,8.0,65.0
TOA PAYOH,3 ROOM,130B,LOR 1 TOA PAYOH,68.0,Model A,2018,95 years 02 months,640000.0,8.0,65.0
TOA PAYOH,3 ROOM,138C,LOR 1A TOA PAYOH,70.0,DBSS,2012,88 years 11 months,645000.0,8.0,65.0
TOA PAYOH,3 ROOM,96,LOR 3 TOA PAYOH,68.0,Improved,1970,46 years 08 months,320000.0,5.0,65.0
TOA PAYOH,3 ROOM,96,LOR 3 TOA PAYOH,68.0,Improved,1970,46 years 07 months,282000.0,2.0,65.0
TOA PAYOH,3 ROOM,61,LOR 5 TOA PAYOH,65.0,Improved,1967,44 years 01 month,270000.0,2.0,65.0
TOA PAYOH,3 ROOM,51,LOR 6 TOA PAYOH,63.0,Standard,1983,60 years 01 month,316000.0,8.0,65.0
TOA PAYOH,3 ROOM,13,LOR 7 TOA PAYOH,66.0,Improved,1970,47 years 02 months,335000.0,11.0,65.0
TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,67.0,Improved,1969,46 years 01 month,340000.0,8.0,65.0
TOA PAYOH,3 ROOM,2,LOR 7 TOA PAYOH,67.0,Improved,1969,46 years 01 month,330000.0,8.0,65.0
TOA PAYOH,3 ROOM,231,LOR 8 TOA PAYOH,65.0,Improved,1976,53 years 06 months,290000.0,11.0,65.0
TOA PAYOH,3 ROOM,104,POTONG PASIR AVE 1,74.0,Model A,1984,61 years 06 months,480000.0,8.0,65.0
TOA PAYOH,3 ROOM,183,TOA PAYOH CTRL,67.0,Improved,1972,49 years 02 months,400000.0,2.0,65.0
TOA PAYOH,3 ROOM,23,TOA PAYOH EAST,65.0,Improved,1970,47 years 02 months,295000.0,2.0,65.0
TOA PAYOH,3 ROOM,23,TOA PAYOH EAST,65.0,Improved,1970,47 years 02 months,313000.0,2.0,65.0
TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,67.0,Improved,1971,47 years 07 months,343000.0,2.0,65.0
TOA PAYOH,3 ROOM,26,TOA PAYOH EAST,67.0,Improved,1971,47 years 08 months,338000.0,2.0,65.0
TOA PAYOH,3 ROOM,4,UPP ALJUNIED LANE,57.0,Standard,1968,45 years 01 month,298000.0,2.0,65.0
TOA PAYOH,4 ROOM,248,KIM KEAT LINK,103.0,Model A,1989,65 years 09 months,540000.0,14.0,65.0
TOA PAYOH,4 ROOM,130A,LOR 1 TOA PAYOH,93.0,Model A,2018,95 years 03 months,875000.0,11.0,65.0
TOA PAYOH,4 ROOM,156,LOR 1 TOA PAYOH,101.0,Model A,1999,75 years 09 months,800000.0,17.0,65.0
TOA PAYOH,4 ROOM,130B,LOR 1 TOA PAYOH,93.0,Model A,2018,95 years 03 months,995000.0,38.0,65.0
TOA PAYOH,4 ROOM,130A,LOR 1 TOA PAYOH,93.0,Model A,2018,95 years 03 months,905000.0,20.0,65.0
TOA PAYOH,4 ROOM,130B,LOR 1 TOA PAYOH,93.0,Model A,2018,95 years 02 months,875000.0,8.0,65.0
TOA PAYOH,4 ROOM,138A,LOR 1A TOA PAYOH,91.0,DBSS,2012,88 years 11 months,930000.0,32.0,65.0
TOA PAYOH,4 ROOM,146,LOR 2 TOA PAYOH,91.0,Model A,2006,82 years 08 months,670000.0,5.0,65.0
TOA PAYOH,4 ROOM,153,LOR 2 TOA PAYOH,101.0,Model A,1999,76 years 02 months,765000.0,11.0,65.0
TOA PAYOH,4 ROOM,80B,LOR 4 TOA PAYOH,104.0,Model A,1997,73 years 10 months,705000.0,5.0,65.0
TOA PAYOH,4 ROOM,35,LOR 5 TOA PAYOH,102.0,Model A,1997,74 years 03 months,695000.0,11.0,65.0
TOA PAYOH,4 ROOM,36,LOR 5 TOA PAYOH,102.0,Model A,1997,74 years 03 months,728888.0,17.0,65.0
TOA PAYOH,4 ROOM,113,POTONG PASIR AVE 1,100.0,New Generation,1984,61 years 05 months,570000.0,14.0,65.0
TOA PAYOH,4 ROOM,104,POTONG PASIR AVE 1,103.0,Model A,1984,61 years 06 months,577000.0,2.0,65.0
TOA PAYOH,4 ROOM,144,POTONG PASIR AVE 2,103.0,Model A,1984,61 years 02 months,635000.0,5.0,65.0
TOA PAYOH,4 ROOM,79A,TOA PAYOH CTRL,76.0,Model A,2009,85 years 11 months,750000.0,35.0,65.0
TOA PAYOH,4 ROOM,79D,TOA PAYOH CTRL,91.0,Model A,2009,85 years 11 months,778000.0,8.0,65.0
TOA PAYOH,4 ROOM,204,TOA PAYOH NTH,87.0,Improved,1973,50 years 01 month,390000.0,5.0,65.0
TOA PAYOH,5 ROOM,11,JOO SENG RD,123.0,Improved,1983,59 years 11 months,640000.0,8.0,65.0
TOA PAYOH,5 ROOM,11,JOO SENG RD,123.0,Improved,1983,59 years 11 months,640000.0,8.0,65.0
TOA PAYOH,5 ROOM,12,JOO SENG RD,132.0,Model A,1984,61 years,770000.0,20.0,65.0
TOA PAYOH,5 ROOM,250,KIM KEAT LINK,129.0,Improved,1989,65 years 08 months,770000.0,8.0,65.0
TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,124.0,Improved,1995,71 years 11 months,860000.0,20.0,65.0
TOA PAYOH,5 ROOM,239,LOR 1 TOA PAYOH,122.0,Improved,1986,63 years 04 months,666000.0,2.0,65.0
TOA PAYOH,5 ROOM,138C,LOR 1A TOA PAYOH,114.0,DBSS,2012,89 years,1250000.0,38.0,65.0
TOA PAYOH,5 ROOM,152,LOR 2 TOA PAYOH,110.0,Improved,2006,82 years 08 months,1100000.0,35.0,65.0
TOA PAYOH,5 ROOM,45,LOR 5 TOA PAYOH,125.0,Improved,1993,69 years 11 months,705000.0,2.0,65.0
TOA PAYOH,5 ROOM,36,LOR 5 TOA PAYOH,119.0,Improved,1997,74 years 03 months,820000.0,8.0,65.0
TOA PAYOH,5 ROOM,216,LOR 8 TOA PAYOH,117.0,Standard,1975,52 years 03 months,628000.0,17.0,65.0
TOA PAYOH,3 ROOM,194,KIM KEAT AVE,66.0,Improved,1973,50 years 01 month,310000.0,8.0,66.0
TOA PAYOH,3 ROOM,195,KIM KEAT AVE,66.0,Improved,1973,50 years 01 month,300000.0,5.0,66.0
TOA PAYOH,3 ROOM,195,KIM KEAT AVE,66.0,Improved,1973,50 years 01 month,280000.0,8.0,66.0
TOA PAYOH,3 ROOM,168,LOR 1 TOA PAYOH,65.0,Improved,1972,49 years 02 months,343888.0,11.0,66.0
TOA PAYOH,3 ROOM,163,LOR 1 TOA PAYOH,65.0,Improved,1972,49 years 01 month,335000.0,8.0,66.0
TOA PAYOH,3 ROOM,125,LOR 1 TOA PAYOH,67.0,Improved,1970,46 years 07 months,320000.0,11.0,66.0
TOA PAYOH,3 ROOM,163,LOR 1 TOA PAYOH,65.0,Improved,1972,49 years 01 month,410000.0,11.0,66.0
TOA PAYOH,3 ROOM,173,LOR 1 TOA PAYOH,66.0,Improved,1972,49 years 01 month,348800.0,8.0,66.0
TOA PAYOH,3 ROOM,115,LOR 1 TOA PAYOH,65.0,Improved,1967,44 years,328000.0,8.0,66.0
TOA PAYOH,3 ROOM,108,LOR 1 TOA PAYOH,66.0,Improved,1970,46 years 07 months,325000.0,8.0,66.0
TOA PAYOH,3 ROOM,130B,LOR 1 TOA PAYOH,68.0,Model A,2018,95 years 02 months,750000.0,32.0,66.0
TOA PAYOH,3 ROOM,173,LOR 1 TOA PAYOH,66.0,Improved,1972,49 years 01 month,315000.0,2.0,66.0
TOA PAYOH,3 ROOM,130A,LOR 1 TOA PAYOH,68.0,Model A,2018,95 years 02 months,652000.0,11.0,66.0
TOA PAYOH,3 ROOM,173,LOR 1 TOA PAYOH,66.0,Improved,1972,49 years 01 month,322000.0,5.0,66.0
