town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
WOODLANDS,2 ROOM,717B,WOODLANDS DR 70,47.0,2-room,2017,94 years 06 months,340000.0,11.0,65.0
WOODLANDS,3 ROOM,1,MARSILING DR,65.0,Improved,1974,51 years 02 months,315000.0,5.0,65.0
WOODLANDS,3 ROOM,6,MARSILING DR,65.0,Improved,1976,52 years 08 months,305000.0,14.0,65.0
WOODLANDS,3 ROOM,24,MARSILING DR,67.0,New Generation,1977,54 years 01 month,295000.0,14.0,65.0
WOODLANDS,3 ROOM,2,MARSILING DR,65.0,Improved,1974,51 years 02 months,300000.0,8.0,65.0
WOODLANDS,3 ROOM,24,MARSILING DR,82.0,New Generation,1977,54 years 01 month,337000.0,14.0,65.0
WOODLANDS,3 ROOM,15,MARSILING LANE,65.0,Improved,1976,52 years 08 months,277000.0,5.0,65.0
WOODLANDS,3 ROOM,19,MARSILING LANE,71.0,Improved,1987,63 years 11 months,320000.0,5.0,65.0
WOODLANDS,3 ROOM,180B,MARSILING RD,67.0,Model A,2015,92 years 02 months,440000.0,29.0,65.0
WOODLANDS,3 ROOM,571C,WOODLANDS AVE 1,67.0,Model A,2013,90 years 06 months,385000.0,11.0,65.0
WOODLANDS,3 ROOM,780A,WOODLANDS CRES,67.0,Model A,2015,92 years 02 months,395000.0,14.0,65.0
WOODLANDS,3 ROOM,886D,WOODLANDS DR 50,67.0,Premium Apartment,2015,91 years 09 months,427000.0,14.0,65.0
WOODLANDS,3 ROOM,886B,WOODLANDS DR 50,67.0,Premium Apartment,2015,91 years 09 months,418888.0,5.0,65.0
WOODLANDS,3 ROOM,785B,WOODLANDS RISE,68.0,Model A,2018,95 years 02 months,400000.0,8.0,65.0
WOODLANDS,3 ROOM,784C,WOODLANDS RISE,68.0,Model A,2018,95 years 02 months,410000.0,5.0,65.0
WOODLANDS,3 ROOM,152,WOODLANDS ST 13,73.0,Model A,1985,61 years 10 months,355000.0,11.0,65.0
WOODLANDS,3 ROOM,145,WOODLANDS ST 13,68.0,New Generation,1985,61 years 10 months,350000.0,5.0,65.0
WOODLANDS,3 ROOM,148,WOODLANDS ST 13,68.0,New Generation,1985,61 years 10 months,328000.0,8.0,65.0
WOODLANDS,3 ROOM,152,WOODLANDS ST 13,73.0,Model A,1985,61 years 10 months,310000.0,11.0,65.0
WOODLANDS,3 ROOM,319,WOODLANDS ST 31,73.0,Model A,1993,69 years 11 months,360000.0,2.0,65.0
WOODLANDS,3 ROOM,302A,WOODLANDS ST 31,67.0,Model A,2016,93 years 05 months,490000.0,32.0,65.0
WOODLANDS,4 ROOM,34,MARSILING DR,98.0,New Generation,1978,55 years 07 months,380000.0,2.0,65.0
WOODLANDS,4 ROOM,24,MARSILING DR,92.0,New Generation,1977,54 years 01 month,390000.0,5.0,65.0
WOODLANDS,4 ROOM,12B,MARSILING LANE,93.0,Model A,2013,90 years 01 month,508500.0,17.0,65.0
WOODLANDS,4 ROOM,613,WOODLANDS AVE 4,102.0,Model A,1998,75 years 02 months,438000.0,8.0,65.0
WOODLANDS,4 ROOM,791,WOODLANDS AVE 6,100.0,Model A,1997,74 years 06 months,495000.0,11.0,65.0
WOODLANDS,4 ROOM,793,WOODLANDS AVE 6,102.0,Model A,1997,74 years 06 months,452000.0,2.0,65.0
WOODLANDS,4 ROOM,719,WOODLANDS AVE 6,100.0,Model A,1997,74 years,465000.0,2.0,65.0
WOODLANDS,4 ROOM,758,WOODLANDS AVE 6,102.0,Model A,1998,74 years 09 months,440000.0,5.0,65.0
WOODLANDS,4 ROOM,761,WOODLANDS AVE 6,103.0,Model A,1998,74 years 09 months,440000.0,11.0,65.0
WOODLANDS,4 ROOM,724,WOODLANDS AVE 6,103.0,Model A,1997,74 years 04 months,445000.0,5.0,65.0
WOODLANDS,4 ROOM,679,WOODLANDS AVE 6,103.0,Model A,1998,75 years 02 months,450000.0,2.0,65.0
WOODLANDS,4 ROOM,732,WOODLANDS CIRCLE,101.0,Model A,1997,74 years 04 months,465000.0,11.0,65.0
WOODLANDS,4 ROOM,765,WOODLANDS CIRCLE,91.0,Model A,2003,80 years 02 months,425000.0,8.0,65.0
WOODLANDS,4 ROOM,775,WOODLANDS CRES,93.0,Model A2,1997,74 years 05 months,428000.0,11.0,65.0
WOODLANDS,4 ROOM,780D,WOODLANDS CRES,92.0,Model A,2015,92 years 02 months,410000.0,2.0,65.0
WOODLANDS,4 ROOM,782E,WOODLANDS CRES,92.0,Model A,2015,92 years 01 month,498000.0,11.0,65.0
WOODLANDS,4 ROOM,782C,WOODLANDS CRES,92.0,Model A,2015,92 years,450000.0,5.0,65.0
WOODLANDS,4 ROOM,526,WOODLANDS DR 14,104.0,Premium Apartment,2000,76 years 10 months,450000.0,2.0,65.0
WOODLANDS,4 ROOM,528,WOODLANDS DR 14,106.0,Premium Apartment,1999,76 years 03 months,481000.0,8.0,65.0
WOODLANDS,4 ROOM,511,WOODLANDS DR 14,107.0,Premium Apartment,1999,75 years 10 months,530000.0,5.0,65.0
WOODLANDS,4 ROOM,574B,WOODLANDS DR 16,93.0,Model A,2018,95 years 01 month,555000.0,14.0,65.0
WOODLANDS,4 ROOM,546,WOODLANDS DR 16,100.0,Model A,2000,77 years 04 months,455000.0,5.0,65.0
WOODLANDS,4 ROOM,702,WOODLANDS DR 40,102.0,Model A,1996,73 years 07 months,440000.0,5.0,65.0
WOODLANDS,4 ROOM,604,WOODLANDS DR 42,92.0,Model A2,1997,74 years 01 month,460000.0,2.0,65.0
WOODLANDS,4 ROOM,602,WOODLANDS DR 42,101.0,Model A,1997,73 years 10 months,442000.0,5.0,65.0
WOODLANDS,4 ROOM,552,WOODLANDS DR 44,100.0,Model A,2000,76 years 09 months,466000.0,11.0,65.0
WOODLANDS,4 ROOM,899C,WOODLANDS DR 50,99.0,Model A,1997,74 years 04 months,450000.0,2.0,65.0
WOODLANDS,4 ROOM,890B,WOODLANDS DR 50,93.0,Model A,2017,94 years 02 months,570000.0,17.0,65.0
WOODLANDS,4 ROOM,899B,WOODLANDS DR 50,97.0,Model A,1997,74 years 02 months,456000.0,11.0,65.0
WOODLANDS,4 ROOM,899A,WOODLANDS DR 50,100.0,Model A,1997,74 years 04 months,444000.0,2.0,65.0
WOODLANDS,4 ROOM,889A,WOODLANDS DR 50,93.0,Model A,2017,94 years 01 month,585000.0,14.0,65.0
